A	'a	 a 
guaitat	g w a j t 'a t	 g w a i t 'a t 
guaito	g w 'a j t o	 g w a 'i t o 
guatlla	g w 'a l l a	 g w 'a t ʎ a 
guèiser	g 'ɛ j z e ɾ	 g 'ɛ i z e ɾ 
guinda	g 'i n d a	 g w 'i n d a 
guineu	g i n 'e w	 g i n 'ɛ w 
guisa	g 'i z a	 g u 'i z a 
Guissona	g i s 'ɔ n a	 g i s 'o n a 
guix	g 'i ʃ	 g 'i t ʃ 
hàbitat	'a β i t a t	 a β i t 'a t 
hàbitats	'a β i t a t s	 a β i t 'a t s 
hafni	'a f n i	 i 'a f n i 
hagi	'a d ʒ i	 'ɔ d ʒ i 
hàgim	'a d ʒ i m	 'ɔ d ʒ i m 
hàgiu	'a d ʒ i w	 'ɔ d ʒ i w 
Haia	'a j a	 a 'i a 
Hainan	a j n 'a n	 a i n 'a n 
Hainaut	a j n 'a w t	 a i n a 'u t 
Haití	a j t 'i	 a i t 'i 
haixix	a j ʃ 'i ʃ	 a j ʃ 'i k s 
hamburguesa	a m b u ɾ ɣ 'e z a	 a m b u ɾ ɣ u 'ɛ z a 
he	'e	 'ɛ 
hebraic	e β ɾ 'a j k	 e β ɾ 'a i k 
hebreu	e β ɾ 'e w	 e β ɾ 'ɛ w 
Hèlios	'ɛ l i o s	 'ɔ l i o s 
hemeroteca	e m e ɾ o t 'e k a	 e m e ɾ o t 'ɛ k a 
hèrnia	'ɛ ɾ n i a	 s 'ɛ ɾ n i a 
heroi	e ɾ 'ɔ j	 e ɾ 'o i 
heroic	e ɾ 'ɔ j k	 e ɾ o 'i k 
hèrptil	'ɛ ɾ p t i l	 ɛ ɾ p t 'i l 
heu	'e w	 'ɛ w 
heure	'e w ɾ e	 a 'u ɾ e 
heus	'e w s	 'ɛ w s 
hevea	e v 'ɛ a	 e v 'e a 
hexagonal	e g z a ɣ o n 'a l	 e k s a ɣ o n 'a l 
hexé	e g z 'e	 e t ʃ 'e 
hi	'i	 i 
híbrid	'i β ɾ i t	 i β ɾ i t 
hidroelèctrica	i ð ɾ o e l 'ɛ k t ɾ i k a	 i ð ɾ o e l e k t ɾ 'i k a 
hidroelèctrics	i ð ɾ o e l 'ɛ k t ɾ i k s	 i ð ɾ o e l e k t ɾ 'i k s 
hieràtic	j e ɾ 'a t i k	 i e ɾ 'a t i k 
hieràtics	j e ɾ 'a t i k s	 i e ɾ 'a t i k s 
himne	'i m n e	 u 'i m n e 
hindi	'i n d i	 i n d i 
hinduisme	i n d w 'i z m e	 i n d u 'i z m e 
hiperespai	i p e ɾ e s p 'a j	 i p e ɾ e s p 'a i 
hiperespais	i p e ɾ e s p 'a j s	 i p e ɾ e s p 'a i s 
hipnosi	i b n 'ɔ z i	 i p n 'ɔ z i 
hipnòtic	i b n 'ɔ t i k	 i p n 'ɔ t i k 
hipnotisme	i b n o t 'i z m e	 i p n o t 'i z m e 
hipoteca	i p o t 'e k a	 i p o t 'ɛ k a 
holandesa	o l a n d 'e z a	 o l a n d 'ɛ z a 
holmi	'ɔ l m i	 u l m i 
hon	'o n	 'a n 
hondureny	o n d u ɾ 'e ɲ	 o n d u ɾ 'ɛ ɲ 
honest	o n 'e s t	 o n 'ɛ s t 
hongaresos	o ŋ g a ɾ 'e z o s	 o ŋ g a ɾ 'ɛ z o s 
hoquei	o k 'e j	 o k 'ɛ i 
hora	'ɔ ɾ a	 a ɾ a 
hores	'ɔ ɾ e s	 i 'o ɾ e s 
hòrrid	'ɔ r i t	 i r i t 
hort	'ɔ ɾ t	 i 'o ɾ t 
horta	'ɔ ɾ t a	 i ɾ t a 
hostes	'ɔ s t e s	 i s t e s 
hòstia	'ɔ s t i a	 i s t i a 
hòsties	'ɔ s t i e s	 i s t i e s 
húmer	'u m e ɾ	 a m e ɾ 
humus	'u m u s	 a m u s 
i	'i	 i 
iaia	j 'a j a	 i 'a j a 
iaies	j 'a j e s	 i a 'i e s 
iaio	j 'a j o	 i 'a j o 
iarda	j 'a ɾ ð a	 i 'a ɾ ð a 
ictus	'i k t u s	 i k t 'u s 
iemenita	j e m e n 'i t a	 i e m e n 'i t a 
immens	i m m 'e n s	 i m m 'ɛ n s 
ímpetu	'i m p e t u	 i m p e t 'u 
imposes	i m p 'ɔ z e s	 i m p 'o z e s 
impremta	i m p ɾ 'e m t a	 i m p ɾ 'ɛ m t a 
impresa	i m p ɾ 'e z a	 i m p ɾ 'ɛ z a 
impreses	i m p ɾ 'e z e s	 i m p ɾ 'ɛ z e s 
impresos	i m p ɾ 'e z o s	 i m p ɾ 'ɛ z o s 
impuresa	i m p u ɾ 'e z a	 i m p u ɾ 'ɛ z a 
induir	i n d w 'i ɾ	 i n d u 'i ɾ 
indústria	i n d 'u s t ɾ i a	 i n d u s t ɾ 'i a 
inhòspit	i n 'ɔ s p i t	 i n 'e s p i t 
ininterromput	i n i n t e r o m p 'u t	 i n 'i n t e r 'o m p 'u t 
insensatesa	i n s e n s a t 'e z a	 i n s e n s a t 'ɛ z a 
insolents	i n s o l 'e n s	 i n s o l 'e n t s 
instruir	i n s t ɾ w 'i ɾ	 i n s t ɾ u 'i ɾ 
insulinoma	i n s u l i n 'ɔ m a	 i n s u l i n 'o m a 
insultem	i n s u l t 'ɛ m	 i n s u l t 'e m 
insurgents	i n s u ɾ d ʒ 'e n s	 i n s u ɾ d ʒ 'e n t s 
intens	i n t 'e n s	 i n t 'ɛ n s 
intèrpret	i n t 'ɛ ɾ p ɾ e t	 i n t e ɾ p ɾ 'e t 
interrompre	i n t e r 'o m p ɾ e	 i n t e r 'ɔ m p ɾ e 
introduir	i n t ɾ o ð w 'i ɾ	 i n t ɾ o ð u 'i ɾ 
iogui	j 'ɔ ɣ i	 i 'ɔ ɣ i 
iogurt	j o ɣ 'u ɾ t	 i o ɣ 'u ɾ t 
iònica	j 'ɔ n i k a	 i 'ɔ n i k a 
ípsilon	'i p s i l o n	 i p s i l 'o n 
irlandesa	i ɾ l a n d 'e z a	 i ɾ l a n d 'ɛ z a 
irlandeses	i ɾ l a n d 'e z e s	 i ɾ l a n d 'ɛ z e s 
irlandesos	i ɾ l a n d 'e z o s	 i ɾ l a n d 'ɛ z o s 
irremeiable	i r e m e j 'a β l e	 i r e m e i 'a β l e 
islandesos	i z l a n d 'e z o s	 i z l a n d 'ɛ z o s 
istme	'i s m e	 'i s t m e 
Ístria	'i s t ɾ i a	 i s t ɾ 'i a 
iugoslau	j u ɣ o z l 'a w	 i w ɣ o z l 'a w 
Iugoslàvia	j u ɣ o z l 'a v i a	 i w ɣ o z l 'a v i a 
ix	'i ʃ	 'i k s 
ja	j 'a	 d ʒ 'a 
japonesos	d ʒ a p o n 'e z o s	 d ʒ a p o n 'ɛ z o s 
jazz	d ʒ 'a s	 d ʒ 'a z i 
jersei	d ʒ e ɾ s 'e j	 d ʒ e ɾ s 'ɛ i 
jeu	d ʒ 'e w	 d ʒ 'ɛ w 
jeure	d ʒ 'e w ɾ e	 d ʒ 'ɛ w ɾ e 
jove	d ʒ 'o v e	 d ʒ 'ɔ v e 
jóvens	d ʒ 'o v e n s	 d ʒ o v 'e n s 
joves	d ʒ 'o v e s	 d ʒ 'ɔ v e s 
jueu	d ʒ u 'e w	 d ʒ u 'ɛ w 
junts	d ʒ 'u n s	 d ʒ 'u n t s 
justesa	d ʒ u s t 'e z a	 d ʒ u s t 'ɛ z a 
kafkià	k a f k i 'a	 k a f i i 'a 
Kenya	k 'e ɲ a	 k 'ɛ ɲ a 
kenyà	k e ɲ 'a	 d ʒ e ɲ 'a 
kenyana	k e ɲ 'a n a	 d ʒ e ɲ 'a n a 
khmer	k m 'e ɾ	 k a 'e ɾ 
kilocaloria	k i l o k a l o ɾ 'i a	 s i l o k a l o ɾ 'i a 
kilòmetre	k i l 'ɔ m e t ɾ e	 i i l 'ɔ m e t ɾ e 
Kirguizistan	k i ɾ ɣ i z i s t 'a n	 s i ɾ ɣ i z i s t 'a n 
la	l 'a	 l a 
laberints	l a β e ɾ 'i n s	 l a β e ɾ 'i n t s 
lacrosse	l a k ɾ 'o s e	 l a k ɾ 'ɔ s e 
lemes	l 'e m e s	 l 'ɛ m e s 
lepra	l 'e p ɾ a	 l 'ɛ p ɾ a 
les	l 'e s	 l e s 
lesa	l 'e z a	 l 'ɛ z a 
leu	l 'e w	 l 'ɛ w 
li	l 'i	 l i 
Líban	l 'i β a n	 l i β 'a n 
liceu	l i s 'e w	 l i s 'ɛ w 
Liceu	l i s 'e w	 l i s 'ɛ w 
lígur	l 'i ɣ u ɾ	 l i ɣ 'u ɾ 
lingot	l i ŋ g 'o t	 l i ŋ g 'ɔ t 
liqüeféu	l i k w e f 'e w	 l i k e f 'e w 
lisosoma	l i z o z 'ɔ m a	 l i z o z 'o m a 
llampec	ʎ a m p 'e k	 ʎ a m p 'ɛ k 
llargs	ʎ 'a ɾ k s	 ʎ 'a ɾ i s 
llauna	ʎ 'a w n a	 ʎ a 'u n a 
llebre	ʎ 'e β ɾ e	 ʎ 'ɛ β ɾ e 
llega	ʎ 'e ɣ a	 ʎ 'ɛ ɣ a 
llegenda	ʎ e d ʒ 'e n d a	 ʎ e d ʒ 'ɛ n d a 
llegendes	ʎ e d ʒ 'e n d e s	 ʎ e d ʒ 'ɛ n d e s 
llei	ʎ 'e j	 ʎ 'ɛ i 
Lleida	ʎ 'e j ð a	 ʎ e 'i ð a 
lleis	ʎ 'e j s	 ʎ 'ɛ i s 
lleixa	ʎ 'e j ʃ a	 ʎ 'ɛ j ʃ a 
llencen	ʎ 'e n s e n	 ʎ 'ɛ n s e n 
llenço	ʎ 'e n s o	 ʎ 'ɛ n s o 
llenços	ʎ 'e n s o s	 ʎ 'ɛ n s o s 
llenya	ʎ 'e ɲ a	 ʎ 'ɛ ɲ a 
llepa	ʎ 'e p a	 ʎ 'ɛ p a 
llepen	ʎ 'e p e n	 ʎ 'ɛ p e n 
llépol	ʎ 'e p o l	 ʎ e p 'ɔ l 
llesques	ʎ 'e s k e s	 ʎ 'ɛ s k e s 
llest	ʎ 'e s t	 ʎ 'ɛ s t 
llesta	ʎ 'e s t a	 ʎ 'ɛ s t a 
llestes	ʎ 'e s t e s	 ʎ 'ɛ s t e s 
llestos	ʎ 'e s t o s	 ʎ 'ɛ s t o s 
lletra	ʎ 'e t ɾ a	 ʎ 'ɛ t ɾ a 
lletres	ʎ 'e t ɾ e s	 ʎ 'ɛ t ɾ e s 
lleu	ʎ 'e w	 ʎ 'ɛ w 
lleure	ʎ 'e w ɾ e	 ʎ 'ɛ w ɾ e 
lleus	ʎ 'e w s	 ʎ 'ɛ w s 
lleva	ʎ 'e v a	 ʎ 'ɛ v a 
lleves	ʎ 'e v e s	 ʎ 'ɛ v e s 
llevo	ʎ 'e v o	 ʎ 'ɛ v o 
lloa	ʎ 'o a	 ʎ 'ɔ a 
lloba	ʎ 'o β a	 ʎ 'ɔ β a 
lloen	ʎ 'o e n	 ʎ 'ɔ e n 
llop	ʎ 'o p	 ʎ 'ɔ p 
Llorach	ʎ o ɾ 'a k	 ʎ o ɾ 'a s i 
lloro	ʎ 'o ɾ o	 ʎ 'ɔ ɾ o 
lloros	ʎ 'o ɾ o s	 ʎ 'ɔ ɾ o s 
lluir	ʎ w 'i ɾ	 ʎ u 'i ɾ 
lluita	ʎ w 'i t a	 ʎ u 'i t a 
Londres	l 'o n d ɾ e s	 l 'ɔ n d ɾ e s 
luxemburguesa	l u k s e m b u ɾ ɣ 'e z a	 l u k s e m b u ɾ ɣ u 'ɛ z a 
ma	m 'a	 m a 
macedoni	m a s e ð 'ɔ n i	 m a s e ð 'o n i 
madrileny	m a ð ɾ i l 'e ɲ	 m a ð ɾ i l 'ɛ ɲ 
madrilenya	m a ð ɾ i l 'e ɲ a	 m a ð ɾ i l 'ɛ ɲ a 
madrilenyes	m a ð ɾ i l 'e ɲ e s	 m a ð ɾ i l 'ɛ ɲ e s 
madrilenys	m a ð ɾ i l 'e ɲ s	 m a ð ɾ i l 'ɛ ɲ s 
maduixer	m a ð u j ʃ 'e ɾ	 m a ð u i ʃ 'e ɾ 
maduresa	m a ð u ɾ 'e z a	 m a ð u ɾ 'ɛ z a 
Mahoma	m a 'ɔ m a	 m a m m a 
mainada	m a j n 'a ð a	 m a i n 'a ð a 
malai	m a l 'a j	 m a l 'a i 
malais	m a l 'a j s	 m a l 'a i s 
Malàisia	m a l 'a j z i a	 m a l 'a i z i a 
mallol	m a ʎ 'o l	 m a ʎ 'ɔ l 
manifest	m a n i f 'e s t	 m a n i f 'ɛ s t 
manlleu	m a n ʎ 'e w	 m a n ʎ 'ɛ w 
manlleus	m a n ʎ 'e w s	 m a n ʎ 'ɛ w s 
mantingueu	m a n t i ŋ g 'e w	 m a n t i ŋ g 'ɛ w 
manxec	m a n t ʃ 'e k	 m a n t ʃ 'ɛ k 
manxiula	m a n t ʃ 'i w l a	 m a n t ʃ i 'u l a 
maresme	m a ɾ 'e z m e	 m a ɾ 'ɛ z m e 
marquesa	m a ɾ k 'e z a	 m a ɾ k 'ɛ z a 
màrqueting	m 'a ɾ k e t i ŋ k	 m a ɾ k e t 'i ŋ k 
marrec	m a r 'e k	 m a r 'ɛ k 
matallops	m a t a ʎ 'o p s	 m a t a ʎ 'ɔ p s 
Mateu	m a t 'e w	 m a t 'ɛ w 
mausoleu	m a w z o l 'e w	 m a w z o l 'ɛ w 
me	m 'e	 m e 
meca	m 'e k a	 m 'ɛ k a 
Meca	m 'e k a	 m 'ɛ k a 
meitat	m e j t 'a t	 m e i t 'a t 
membre	m 'e m b ɾ e	 m 'ɛ m b ɾ e 
membres	m 'e m b ɾ e s	 m 'ɛ m b ɾ e s 
menen	m 'e n e n	 m 'ɛ n e n 
mengen	m 'e n d ʒ e n	 m 'ɛ n d ʒ e n 
menges	m 'e n d ʒ e s	 m 'ɛ n d ʒ e s 
menja	m 'e n d ʒ a	 m 'ɛ n d ʒ a 
menjo	m 'e n d ʒ o	 m 'ɛ n d ʒ o 
mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
menys	m 'e ɲ s	 m 'ɛ ɲ s 
mero	m 'e ɾ o	 m 'ɛ ɾ o 
mes	m 'e s	 m 'ɛ s 
mesa	m 'e z a	 m 'ɛ z a 
mescla	m 'e s k l a	 m 'ɛ s k l a 
mesclen	m 'e s k l e n	 m 'ɛ s k l e n 
mescles	m 'e s k l e s	 m 'ɛ s k l e s 
meses	m 'e z e s	 m 'ɛ z e s 
mesos	m 'e z o s	 m 'ɛ z o s 
mestra	m 'e s t ɾ a	 m 'ɛ s t ɾ a 
mestre	m 'e s t ɾ e	 m 'ɛ s t ɾ e 
mestres	m 'e s t ɾ e s	 m 'ɛ s t ɾ e s 
metem	m e t 'ɛ m	 m e t 'e m 
metre	m 'e t ɾ e	 m 'ɛ t ɾ e 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
metro	m 'e t ɾ o	 m 'ɛ t ɾ o 
metxa	m 'e t ʃ a	 m 'ɛ t ʃ a 
meu	m 'e w	 m 'ɛ w 
meua	m 'e w a	 m 'ɛ w a 
meus	m 'e w s	 m 'ɛ w s 
meva	m 'e v a	 m 'ɛ v a 
meves	m 'e v e s	 m 'ɛ v e s 
mig	m 'i t ʃ	 m 'i k 
migcampista	m i k k a m p 'i s t a	 m i ɣ k a m p 'i s t a 
milanesa	m i l a n 'e z a	 m i l a n 'ɛ z a 
miop	m i 'o p	 m i 'ɔ p 
misàndria	m i z 'a n d ɾ i a	 m i z a n d ɾ 'i a 
mix	m 'i ʃ	 m 'i k s 
mocs	m 'o k s	 m 'ɔ k s 
modest	m o ð 'e s t	 m o ð 'ɛ s t 
mogol	m o ɣ 'o l	 m o ɣ 'ɔ l 
moher	m o 'ɛ ɾ	 m o 'e ɾ 
molsa	m 'o l s a	 m 'ɔ l s a 
molts	m 'o l s	 m 'o l t s 
mòlts	m 'ɔ l s	 m 'ɔ l t s 
monàrquica	m o n 'a ɾ k i k a	 m o n a ɾ k 'i k a 
monàrquics	m o n 'a ɾ k i k s	 m o n a ɾ k 'i k s 
moneda	m o n 'e ð a	 m o n 'ɛ ð a 
monocroma	m o n o k ɾ 'ɔ m a	 m o n o k ɾ 'o m a 
monocromes	m o n o k ɾ 'ɔ m e s	 m o n o k ɾ 'o m e s 
monologuista	m o n o l o ɣ 'i s t a	 m o n o l o ɣ u 'i s t a 
Montse	m 'o n s e	 m 'ɔ n d z e 
Montseny	m o n s 'e ɲ	 m o n s 'ɛ ɲ 
morro	m 'o r o	 m 'ɔ r o 
morros	m 'o r o s	 m 'ɔ r o s 
mort	m 'ɔ ɾ t	 m 'o ɾ t 
mosaic	m o z 'a j k	 m o z 'a i k 
mosca	m 'o s k a	 m 'ɔ s k a 
mosques	m 'o s k e s	 m 'ɔ s k e s 
mossàrab	m o s 'a ɾ a p	 m o s 'a ɾ a β 
mossega	m o s 'e ɣ a	 m o s 'ɛ ɣ a 
mossegaire	m o s e ɣ 'a j ɾ e	 m o s e ɣ a 'i ɾ e 
mosso	m 'o s o	 m 'ɔ s o 
mossos	m 'o s o s	 m 'ɔ s o s 
mot	m 'o t	 m 'ɔ t 
motllura	m o l l 'u ɾ a	 m o ʎ l 'u ɾ a 
motllurada	m o l l u ɾ 'a ð a	 m o l ʎ u ɾ 'a ð a 
motllurades	m o l l u ɾ 'a ð e s	 m o l ʎ u ɾ 'a ð e s 
motllurar	m o l l u ɾ 'a ɾ	 m o l ʎ u ɾ 'a ɾ 
motllurat	m o l l u ɾ 'a t	 m o l ʎ u ɾ 'a t 
motllurats	m o l l u ɾ 'a t s	 m o l ʎ u ɾ 'a t s 
moto	m 'o t o	 m 'ɔ t o 
motos	m 'o t o s	 m 'ɔ t o s 
motoserra	m o t o z 'ɛ r a	 m o t o s 'ɛ r a 
mou	m 'ɔ w	 m 'o w 
mous	m 'ɔ w s	 m o 'u s 
mudèjar	m u ð 'ɛ d ʒ a ɾ	 m u ð e d ʒ 'a ɾ 
mujol	m u d ʒ 'o l	 m u d ʒ 'ɔ l 
multivers	m u l t i v 'ɛ ɾ s	 m u l t i v 'e ɾ s 
museu	m u z 'e w	 m u z 'ɛ w 
nadius	n a ð 'i w s	 n a ð i 'u s 
nahua	n a 'u a	 n a j a 
naturalesa	n a t u ɾ a l 'e z a	 n a t u ɾ a l 'ɛ z a 
nàufrag	n 'a w f ɾ a k	 n a w f ɾ 'a k 
navarresa	n a v a r 'e z a	 n a v a r 'ɛ z a 
navarreses	n a v a r 'e z e s	 n a v a r 'ɛ z e s 
navarresos	n a v a r 'e z o s	 n a v a r 'ɛ z o s 
neboda	n e β 'o ð a	 n e β 'ɔ ð a 
nebot	n e β 'o t	 n e β 'ɔ t 
neda	n 'e ð a	 n 'ɛ ð a 
neden	n 'e ð e n	 n 'ɛ ð e n 
nedes	n 'e ð e s	 n 'ɛ ð e s 
neerlandesa	n e e ɾ l a n d 'e z a	 n e e ɾ l a n d 'ɛ z a 
nega	n 'e ɣ a	 n 'ɛ ɣ a 
nego	n 'e ɣ o	 n 'ɛ ɣ o 
negra	n 'e ɣ ɾ a	 n 'ɛ ɣ ɾ a 
negre	n 'e ɣ ɾ e	 n 'ɛ ɣ ɾ e 
negres	n 'e ɣ ɾ e s	 n 'ɛ ɣ ɾ e s 
neguen	n 'e ɣ e n	 n 'ɛ ɣ e n 
negues	n 'e ɣ e s	 n 'ɛ ɣ e s 
nen	n 'e n	 n 'ɛ n 
nens	n 'e n s	 n 'ɛ n s 
nepalesa	n e p a l 'e z a	 n e p a l 'ɛ z a 
nepaleses	n e p a l 'e z e s	 n e p a l 'ɛ z e s 
nepalesos	n e p a l 'e z o s	 n e p a l 'ɛ z o s 
neu	n 'e w	 n 'ɛ w 
neulir	n e w l 'i ɾ	 n e u l 'i ɾ 
neus	n 'e w s	 n 'ɛ w s 
neva	n 'e v a	 n 'ɛ v a 
niciesa	n i s i 'e z a	 n i s i 'ɛ z a 
noblesa	n o β l 'e z a	 n o β l 'ɛ z a 
noi	n 'ɔ j	 n 'o i 
nois	n 'ɔ j s	 n 'o i s 
nombre	n 'o m b ɾ e	 n 'ɔ m b ɾ e 
nombres	n 'o m b ɾ e s	 n 'ɔ m b ɾ e s 
Nombres	n 'o m b ɾ e s	 n 'ɔ m b ɾ e s 
nord	n 'ɔ ɾ t	 n 'o ɾ t 
nores	n 'ɔ ɾ e s	 n 'o ɾ e s 
norma	n 'o ɾ m a	 n 'ɔ ɾ m a 
normes	n 'o ɾ m e s	 n 'ɔ ɾ m e s 
noruec	n o ɾ u 'e k	 n o ɾ u 'ɛ k 
Noruega	n o ɾ u 'e ɣ a	 n o ɾ u 'ɛ ɣ a 
nou	n 'ɔ w	 n 'o w 
noucasat	n o w k a z 'a t	 n o u k a z 'a t 
nous	n 'ɔ w s	 n o 'u s 
novembre	n o v 'e m b ɾ e	 n o v 'ɛ m b ɾ e 
noya	n 'ɔ j a	 n 'ɔ a 
noyes	n 'ɔ j e s	 n 'ɔ e s 
nuesa	n u 'e z a	 n u 'ɛ z a 
oasi	o 'a z i	 o 'a s i 
obrellaunes	o β ɾ e ʎ 'a w n e s	 o β ɾ e ʎ a 'u n e s 
obscenes	o p s 'e n e s	 o p s k 'e n e s 
obscens	o p s 'e n s	 o p s k 'ɛ n s 
octubre	o k t 'u β ɾ e	 ɔ k t 'u β ɾ e 
oest	o 'e s t	 o 'ɛ s t 
ofec	o f 'e k	 o f 'ɛ k 
ofega	o f 'e ɣ a	 o f 'ɛ ɣ a 
ofendre	o f 'e n d ɾ e	 o f 'ɛ n d ɾ e 
oi	'ɔ j	 'o i 
olíban	o l 'i β a n	 o l i β 'a n 
oligàrquica	o l i ɣ 'a ɾ k i k a	 o l i ɣ a ɾ k 'i k a 
oligàrquics	o l i ɣ 'a ɾ k i k s	 o l i ɣ a ɾ k 'i k s 
ombra	'o m b ɾ a	 'ɔ m b ɾ a 
ombres	'o m b ɾ e s	 'ɔ m b ɾ e s 
omega	o m 'e ɣ a	 o m 'ɛ ɣ a 
ometre	o m 'e t ɾ e	 o m 'ɛ t ɾ e 
òmicron	'ɔ m i k ɾ o n	 ɔ m i k ɾ 'o n 
omple	'o m p l e	 'ɔ m p l e 
omplen	'o m p l e n	 'ɔ m p l e n 
omples	'o m p l e s	 'ɔ m p l e s 
omplo	'o m p l o	 'ɔ m p l o 
oncle	'o ŋ k l e	 'ɔ ŋ k l e 
oncles	'o ŋ k l e s	 'ɔ ŋ k l e s 
onomatopeia	o n o m a t o p 'e j a	 o n o m a t o p e 'i a 
onzes	'o n z e s	 'ɔ n z e s 
opta	'o p t a	 'ɔ p t a 
opten	'o p t e n	 'ɔ p t e n 
opto	'o p t o	 'ɔ p t o 
orca	'o ɾ k a	 'ɔ ɾ k a 
orde	'o ɾ ð e	 'ɔ ɾ ð e 
ordeno	o ɾ ð 'e n o	 o ɾ ð 'ɛ n o 
ordes	'o ɾ ð e s	 'ɔ ɾ ð e s 
ordre	'o ɾ ð ɾ e	 'ɔ ɾ ð ɾ e 
ordres	'o ɾ ð ɾ e s	 'ɔ ɾ ð ɾ e s 
ores	'ɔ ɾ e s	 'o ɾ e s 
orgull	o ɾ ɣ 'u ʎ	 ɔ ɾ ɣ 'u ʎ 
ornament	o ɾ n a m 'e n t	 ɔ ɾ n a m 'e n t 
oro	'o ɾ o	 'ɔ ɾ o 
orques	'o ɾ k e s	 'ɔ ɾ k e s 
orquestra	o ɾ k 'e s t ɾ a	 o ɾ k 'ɛ s t ɾ a 
ortodoxa	o ɾ t o ð 'o k s a	 o ɾ t o ð 'ɔ k s a 
ossos	'o s o s	 'ɔ s o s 
osteosarcoma	o s t e o z a ɾ k 'ɔ m a	 o s t e o z a ɾ k 'o m a 
òstria	'ɔ s t ɾ i a	 ɔ s t ɾ 'i a 
ou	'ɔ w	 'o w 
ous	'ɔ w s	 o 'u s 
oxímoron	o k s 'i m o ɾ o n	 o k s i m o ɾ 'o n 
paiol	p a j 'o l	 p a j 'ɔ l 
pairal	p a j ɾ 'a l	 p a i ɾ 'a l 
pakistanesa	p a k i s t a n 'e z a	 p a z i s t a n 'ɛ z a 
pakistaneses	p a k i s t a n 'e z e s	 p a z i s t a n 'ɛ z e s 
pakistanesos	p a k i s t a n 'e z o s	 p a z i s t a n 'ɛ z o s 
pallol	p a ʎ 'o l	 p a ʎ 'ɔ l 
pamperol	p a m p e ɾ 'o l	 p a m p e ɾ 'ɔ l 
panameny	p a n a m 'e ɲ	 p a n a m 'ɛ ɲ 
pandemoni	p a n d e m 'ɔ n i	 p a n d e m 'o n i 
papagai	p a p a ɣ 'a j	 p a p a ɣ 'a i 
papil·loma	p a p i l 'ɔ m a	 p a p i l 'o m a 
paranoic	p a ɾ a n 'ɔ j k	 p a ɾ a n o 'i k 
paranoide	p a ɾ a n 'ɔ j ð e	 p a ɾ a n o 'i ð e 
paraula	p a ɾ 'a w l a	 p a ɾ a 'u l a 
parènquima	p a ɾ 'ɛ ŋ k i m a	 p a ɾ e ŋ k 'i m a 
parlessin	p a ɾ l 'e s i n	 p a ɾ l 'ɛ s i n 
parleu	p a ɾ l 'e w	 p a ɾ l 'ɛ w 
parlotaire	p a ɾ l o t 'a j ɾ e	 p a ɾ l o t a 'i ɾ e 
pàrquing	p 'a ɾ k i ŋ k	 p a ɾ k 'i ŋ k 
patracol	p a t ɾ a k 'o l	 p a t ɾ a k 'ɔ l 
patrimoni	p a t ɾ i m 'ɔ n i	 p a t ɾ i m 'o n i 
pebre	p 'e β ɾ e	 p 'ɛ β ɾ e 
peca	p 'e k a	 p 'ɛ k a 
pedra	p 'e ð ɾ a	 p 'ɛ ð ɾ a 
pedres	p 'e ð ɾ e s	 p 'ɛ ð ɾ e s 
pega	p 'e ɣ a	 p 'ɛ ɣ a 
pego	p 'e ɣ o	 p 'ɛ ɣ o 
peguen	p 'e ɣ e n	 p 'ɛ ɣ e n 
pegues	p 'e ɣ e s	 p 'ɛ ɣ e s 
peixos	p 'e j ʃ o s	 p 'ɛ j ʃ o s 
pèlag	p 'ɛ l a k	 p e l 'a k 
pendeloc	p e n d e l 'o k	 p e n d e l 'ɔ k 
penetra	p e n 'e t ɾ a	 p e n 'ɛ t ɾ a 
pengen	p 'e n d ʒ e n	 p 'ɛ n d ʒ e n 
penges	p 'e n d ʒ e s	 p 'ɛ n d ʒ e s 
penja	p 'e n d ʒ a	 p 'ɛ n d ʒ a 
penjo	p 'e n d ʒ o	 p 'ɛ n d ʒ o 
penombra	p e n 'o m b ɾ a	 p e n 'ɔ m b ɾ a 
pensa	p 'e n s a	 p 'ɛ n s a 
pensen	p 'e n s e n	 p 'ɛ n s e n 
penses	p 'e n s e s	 p 'ɛ n s e s 
penso	p 'e n s o	 p 'ɛ n s o 
penya	p 'e ɲ a	 p 'ɛ ɲ a 
penyes	p 'e ɲ e s	 p 'ɛ ɲ e s 
pequem	p e k 'ɛ m	 p e k 'e m 
pequen	p 'e k e n	 p 'ɛ k e n 
pequinesos	p e k i n 'e z o s	 p e k i n 'ɛ z o s 
per	p 'e ɾ	 p e ɾ 
Pere	p 'e ɾ e	 p 'ɛ ɾ e 
perenne	p e ɾ 'e n n e	 p e ɾ 'ɛ n n e 
peresa	p e ɾ 'e z a	 p e ɾ 'ɛ z a 
permesa	p e ɾ m 'e z a	 p e ɾ m 'ɛ z a 
permeses	p e ɾ m 'e z e s	 p e ɾ m 'ɛ z e s 
permesos	p e ɾ m 'e z o s	 p e ɾ m 'ɛ z o s 
permetre	p e ɾ m 'e t ɾ e	 p e ɾ m 'ɛ t ɾ e 
perseguida	p e ɾ s e ɣ 'i ð a	 p e ɾ s e ɣ u 'i ð a 
perseguides	p e ɾ s e ɣ 'i ð e s	 p e ɾ s e ɣ u 'i ð e s 
