Aaró	a a ɾ 'o
nedat	n e ð 'a t
nedats	n e ð 'a t s
neden	n 'e ð e n
nedes	n 'e ð e s
nefand	n e f 'a n
nefrita	n e f ɾ 'i t a
nefritis	n e f ɾ 'i t i s
nefropatia	n e f ɾ o p a t 'i a
nefropaties	n e f ɾ o p a t 'i e s
nega	n 'e ɣ a
negada	n e ɣ 'a ð a
negades	n e ɣ 'a ð e s
negant	n e ɣ 'a n
negar	n e ɣ 'a
negarà	n e ɣ a ɾ 'a
negares	n e ɣ 'a ɾ e s
negaria	n e ɣ a ɾ 'i a
negat	n e ɣ 'a t
negativa	n e ɣ a t 'i β a
negatives	n e ɣ a t 'i β e s
negativitat	n e ɣ a t i β i t 'a t
negativitats	n e ɣ a t i β i t 'a t s
negats	n e ɣ 'a t s
negava	n e ɣ 'a β a
negaves	n e ɣ 'a β e s
negligent	n e ɣ l i ʒ 'e n
negligida	n e ɣ l i ʒ 'i ð a
negligides	n e ɣ l i ʒ 'i ð e s
negligir	n e ɣ l i ʒ 'i
negligit	n e ɣ l i ʒ 'i t
negligits	n e ɣ l i ʒ 'i t s
nego	n 'e ɣ o
negra	n 'e ɣ ɾ a
negre	n 'e ɣ ɾ e
negrer	n e ɣ ɾ 'e
negres	n 'e ɣ ɾ e s
negror	n e ɣ ɾ 'o
negrós	n e ɣ ɾ 'o s
neguem	n e ɣ 'e m
neguen	n 'e ɣ e n
negues	n 'e ɣ e s
negués	n e ɣ 'e s
neguit	n e ɣ 'i t
neguitejar	n e ɣ i t e ʒ 'a
neguitejat	n e ɣ i t e ʒ 'a t
neguitós	n e ɣ i t 'o s
negundo	n e ɣ 'u n d o
néixer	n 'e j ʃ e
Nèmesi	n 'ɛ m e z i
neó	n e 'o
neòfit	n e 'ɔ f i t
neòfita	n e 'ɔ f i t a
Nepal	n e p 'a l
nepalés	n e p a l 'e s
nepalesa	n e p a l 'e z a
nepaleses	n e p a l 'e z e s
nepalesos	n e p a l 'e z o s
nepta	n 'ɛ p t a
Neptú	n e p t 'u
neptuni	n e p t 'u n i
net	n 'e t
nét	n 'e t
neta	n 'e t a
néta	n 'e t a
netastra	n e t 'a s t ɾ a
netastre	n e t 'a s t ɾ e
netedat	n e t e ð 'a t
netegies	n e t e ʒ 'i e s
netejada	n e t e ʒ 'a ð a
netejades	n e t e ʒ 'a ð e s
netejador	n e t e ʒ a ð 'o
netejar	n e t e ʒ 'a
netejat	n e t e ʒ 'a t
netejats	n e t e ʒ 'a t s
netejavidres	n e t e ʒ a β 'i ð ɾ e s
netes	n 'e t e s
nétes	n 'e t e s
nets	n 'e t s
néts	n 'e t s
neva	n 'e β a
Nevada	n e β 'a ð a
nevada	n e β 'a ð a
nevades	n e β 'a ð e s
nevat	n e β 'a t
nevats	n e β 'a t s
nevera	n e β 'e ɾ a
nevós	n e β 'o s
ni	n 'i
Niça	n 'i s a
nici	n 'i s i
nicis	n 'i s i s
nicotina	n i k o t 'i n a
nigerí	n i ʒ e ɾ 'i
Nil	n 'i l
niló	n i l 'o
nilòtic	n i l 'ɔ t i k
Nils	n 'i l s
nimbe	n 'i m b e
nin	n 'i n
nina	n 'i n a
nines	n 'i n e s
ningú	n i ŋ g 'u
Nínive	n 'i n i β e
nino	n 'i n o
ninos	n 'i n o s
ninot	n i n 'ɔ t
nins	n 'i n s
ninxo	n 'i n tʃ o
nínxol	n 'i n tʃ o l
nipó	n i p 'o
níquel	n 'i k e l
nissaga	n i s 'a ɣ a
nit	n 'i t
nítid	n 'i t i t
nítida	n 'i t i ð a
nítides	n 'i t i ð e s
nítids	n 'i t i t s
nitrat	n i t ɾ 'a t
nitrificada	n i t ɾ i f i k 'a ð a
nitrificades	n i t ɾ i f i k 'a ð e s
nitrificar	n i t ɾ i f i k 'a
nitrificat	n i t ɾ i f i k 'a t
nitrificats	n i t ɾ i f i k 'a t s
nitrit	n i t ɾ 'i t
nitrós	n i t ɾ 'o s
nitrur	n i t ɾ 'u
nivell	n i β 'e ʎ
no	n 'o
nobeli	n o β 'ɛ l i
noblesa	n o β l 'e z a
noces	n 'ɔ s e s
nòctul	n 'ɔ k t u l
nodrida	n o ð ɾ 'i ð a
nodrides	n o ð ɾ 'i ð e s
nodriment	n o ð ɾ i m 'e n
nodrissa	n o ð ɾ 'i s a
nodrit	n o ð ɾ 'i t
nodrits	n o ð ɾ 'i t s
nogat	n o ɣ 'a t
noguda	n o ɣ 'u ð a
nogudes	n o ɣ 'u ð e s
noguera	n o ɣ 'e ɾ a
Noguera	n o ɣ 'e ɾ a
nogui	n 'ɔ ɣ i
noguin	n 'ɔ ɣ i n
noguis	n 'ɔ ɣ i s
nogut	n o ɣ 'u t
noguts	n o ɣ 'u t s
noi	n 'ɔ j
nois	n 'ɔ j s
noli	n 'ɔ l i
nòmada	n 'ɔ m a ð a
nòmades	n 'ɔ m a ð e s
nomadism	n o m a ð 'i z m
nombrós	n o m b ɾ 'o s
nombrosa	n o m b ɾ 'o z a
nombrosos	n o m b ɾ 'o z o s
nomenada	n o m e n 'a ð a
nomenades	n o m e n 'a ð e s
nomenament	n o m e n a m 'e n
nomenar	n o m e n 'a
nomenat	n o m e n 'a t
nomenats	n o m e n 'a t s
nomenclatura	n o m e ŋ k l a t 'u ɾ a
només	n o m 'e s
nòmina	n 'ɔ m i n a
nominada	n o m i n 'a ð a
nominades	n o m i n 'a ð e s
nominal	n o m i n 'a l
nominalitzada	n o m i n a l i d z 'a ð a
nominalitzades	n o m i n a l i d z 'a ð e s
nominalitzar	n o m i n a l i d z 'a
nominalitzat	n o m i n a l i d z 'a t
nominalitzats	n o m i n a l i d z 'a t s
nominar	n o m i n 'a
nominat	n o m i n 'a t
nominativa	n o m i n a t 'i β a
nominatives	n o m i n a t 'i β e s
nominats	n o m i n 'a t s
noranta	n o ɾ 'a n t a
nores	n 'ɔ ɾ e s
noruec	n o ɾ u 'e k
Noruega	n o ɾ u 'e ɣ a
nos	n 'o s
nós	n 'o s
nosaltres	n o z 'a l t ɾ e s
nostàlgic	n o s t 'a l dʒ i k
nostrada	n o s t ɾ 'a ð a
nostrades	n o s t ɾ 'a ð e s
nostramo	n o s t ɾ 'a m o
nostrats	n o s t ɾ 'a t s
nostro	n 'ɔ s t ɾ o
nota	n 'ɔ t a
notable	n o t 'a β l e
notables	n o t 'a β l e s
notada	n o t 'a ð a
notades	n o t 'a ð e s
notar	n o t 'a
notari	n o t 'a ɾ i
notaria	n o t a ɾ 'i a
notat	n o t 'a t
notats	n o t 'a t s
notes	n 'ɔ t e s
noti	n 'ɔ t i
notificar	n o t i f i k 'a
notin	n 'ɔ t i n
notis	n 'ɔ t i s
novel·la	n o β 'ɛ l a
novel·lista	n o β e l 'i s t a
novembre	n o β 'e m b ɾ e
novena	n o β 'e n a
novençà	n o β e n s 'a
novici	n o β 'i s i
novicis	n o β 'i s i s
nu	n 'u
nua	n 'u a
nuada	n u 'a ð a
nuades	n u 'a ð e s
nuar	n u 'a
nuat	n u 'a t
nuats	n u 'a t s
nuca	n 'u k a
nucleó	n u k l e 'o
nucli	n 'u k l i
nudista	n u ð 'i s t a
nues	n 'u e s
nuesa	n u 'e z a
nul	n 'u l
nul·la	n 'u l a
nul·les	n 'u l e s
nuls	n 'u l s
numerari	n u m e ɾ 'a ɾ i
numeraris	n u m e ɾ 'a ɾ i s
numèric	n u m 'ɛ ɾ i k
numèrica	n u m 'ɛ ɾ i k a
numèrics	n u m 'ɛ ɾ i k s
numèriques	n u m 'ɛ ɾ i k e s
número	n 'u m e ɾ o
números	n 'u m e ɾ o s
nus	n 'u s
nuvi	n 'u β i
núvol	n 'u β o l
nuvolada	n u β o l 'a ð a
nuvolat	n u β o l 'a t
nuvolós	n u β o l 'o s
nyam	ɲ 'a m
nyàmera	ɲ 'a m e ɾ a
nyandú	ɲ a n d 'u
nyap	ɲ 'a p
nyerro	ɲ 'ɛ r o
nyerros	ɲ 'ɛ r o s
nyicris	ɲ 'i k ɾ i s
nyinya	ɲ 'i ɲ a
nyoca	ɲ 'ɔ k a
nyu	ɲ 'u
oasi	o 'a z i
obac	o β 'a k
obaga	o β 'a ɣ a
obeí	o β e 'i
obeïda	o β e 'i ð a
obeïdes	o β e 'i ð e s
obeir	o β e 'i
obeït	o β e 'i t
obeïts	o β e 'i t s
obesitat	o β e z i t 'a t
obi	'ɔ β i
obis	'ɔ β i s
òbit	'ɔ β i t
obituari	o β i t u 'a ɾ i
objecte	o b dʒ 'ɛ k t e
objectives	o b dʒ e k t 'i β e s
objectivitat	o b dʒ e k t i β i t 'a t
oblic	o β l 'i k
oblidable	o β l i ð 'a β l e
oblidada	o β l i ð 'a ð a
oblidades	o β l i ð 'a ð e s
oblidadís	o β l i ð a ð 'i s
oblidadissos	o β l i ð a ð 'i s o s
oblidar	o β l i ð 'a
oblidat	o β l i ð 'a t
oblidats	o β l i ð 'a t s
oblidós	o β l i ð 'o s
obligada	o β l i ɣ 'a ð a
obligades	o β l i ɣ 'a ð e s
obligar	o β l i ɣ 'a
obligat	o β l i ɣ 'a t
obligatori	o β l i ɣ a t 'ɔ ɾ i
obligats	o β l i ɣ 'a t s
obliquada	o β l i k w 'a ð a
obliquades	o β l i k w 'a ð e s
obliquar	o β l i k w 'a
obliquat	o β l i k w 'a t
obliquats	o β l i k w 'a t s
oblit	o β l 'i t
obliterador	o β l i t e ɾ a ð 'o
obliterar	o β l i t e ɾ 'a
oblong	o β l 'o ŋ
obrada	o β ɾ 'a ð a
obrades	o β ɾ 'a ð e s
obrador	o β ɾ a ð 'o
obrar	o β ɾ 'a
obrat	o β ɾ 'a t
obrats	o β ɾ 'a t s
obrer	o β ɾ 'e
obri	'ɔ β ɾ i
obridor	o β ɾ i ð 'o
obrin	'ɔ β ɾ i n
obrint	o β ɾ 'i n
obrir	o β ɾ 'i
obris	'ɔ β ɾ i s
obscena	o p s 'e n a
obscenes	o p s 'e n e s
obscens	o p s 'e n s
obscurir	o p s k u ɾ 'i
obscuritat	o p s k u ɾ i t 'a t
obsessiva	o p s e s 'i β a
obsessives	o p s e s 'i β e s
obsolet	o p s o l 'e t
obsoleta	o p s o l 'e t a
obsoletes	o p s o l 'e t e s
obsolets	o p s o l 'e t s
obstacle	o p s t 'a k l e
obstaculitzada	o p s t a k u l i d z 'a ð a
obstaculitzades	o p s t a k u l i d z 'a ð e s
obstaculitzar	o p s t a k u l i d z 'a
obstaculitzat	o p s t a k u l i d z 'a t
obstaculitzats	o p s t a k u l i d z 'a t s
obstètric	o p s t 'ɛ t ɾ i k
obstètrica	o p s t 'ɛ t ɾ i k a
obstètrics	o p s t 'ɛ t ɾ i k s
obstètriques	o p s t 'ɛ t ɾ i k e s
obstinat	o p s t i n 'a t
obstruïda	o p s t ɾ u 'i ð a
obstruïdes	o p s t ɾ u 'i ð e s
obstruït	o p s t ɾ u 'i t
obstruïts	o p s t ɾ u 'i t s
obtenir	o p t e n 'i
obtindre	o p t 'i n d ɾ e
obtinguda	o p t i ŋ g 'u ð a
obtingudes	o p t i ŋ g 'u ð e s
obtingut	o p t i ŋ g 'u t
obtinguts	o p t i ŋ g 'u t s
obturar	o p t u ɾ 'a
obtús	o p t 'u s
obús	o β 'u s
obvi	'ɔ b b i
obvis	'ɔ b b i s
oca	'ɔ k a
ocarina	o k a ɾ 'i n a
ocàs	o k 'a s
occida	o k s 'i ð a
occident	o k s i ð 'e n
occidental	o k s i ð e n t 'a l
occidentalitzada	o k s i ð e n t a l i d z 'a ð a
occidentalitzades	o k s i ð e n t a l i d z 'a ð e s
occidentalitzar	o k s i ð e n t a l i d z 'a
occidentalitzat	o k s i ð e n t a l i d z 'a t
occidentalitzats	o k s i ð e n t a l i d z 'a t s
occides	o k s 'i ð e s
occipital	o k s i p i t 'a l
occir	o k s 'i
occit	o k s 'i t
occità	o k s i t 'a
occitana	o k s i t 'a n a
occitanisme	o k s i t a n 'i z m e
occits	o k s 'i t s
oceà	o s e 'a
Oceà	o s e 'a
Oceania	o s e a n 'i a
oceànica	o s e 'a n i k a
oceànics	o s e 'a n i k s
oceàniques	o s e 'a n i k e s
ocell	o s 'e ʎ
oci	'ɔ s i
ocorreguda	o k o r e ɣ 'u ð a
ocorregudes	o k o r e ɣ 'u ð e s
ocorregut	o k o r e ɣ 'u t
ocorreguts	o k o r e ɣ 'u t s
ocórrer	o k 'o r e
octà	o k t 'a
octal	o k t 'a l
octals	o k t 'a l s
octava	o k t 'a β a
Octavi	o k t 'a β i
octubre	o k t 'u β ɾ e
òcul	'ɔ k u l
oculta	o k 'u l t a
ocultada	o k u l t 'a ð a
ocultades	o k u l t 'a ð e s
ocultar	o k u l t 'a
ocultat	o k u l t 'a t
ocultats	o k u l t 'a t s
ocultisme	o k u l t 'i z m e
ocultista	o k u l t 'i s t a
ocupa	o k 'u p a
ocupada	o k u p 'a ð a
ocupades	o k u p 'a ð e s
ocupant	o k u p 'a n
ocupar	o k u p 'a
ocupat	o k u p 'a t
ocupats	o k u p 'a t s
odi	'ɔ ð i
odis	'ɔ ð i s
odissea	o ð i s 'e a
odre	'ɔ ð ɾ e
oest	o 'e s t
ofec	o f 'e k
ofega	o f 'e ɣ a
ofegà	o f e ɣ 'a
ofegada	o f e ɣ 'a ð a
ofegades	o f e ɣ 'a ð e s
ofegament	o f e ɣ a m 'e n
ofegar	o f e ɣ 'a
ofegarà	o f e ɣ a ɾ 'a
ofegaràs	o f e ɣ a ɾ 'a s
ofegàrem	o f e ɣ 'a ɾ e m
ofegares	o f e ɣ 'a ɾ e s
ofegaria	o f e ɣ a ɾ 'i a
ofegat	o f e ɣ 'a t
ofegats	o f e ɣ 'a t s
ofegava	o f e ɣ 'a β a
ofegàvem	o f e ɣ 'a β e m
ofeguem	o f e ɣ 'e m
ofegués	o f e ɣ 'e s
ofeguéssim	o f e ɣ 'e s i m
ofèn	o f 'ɛ n
ofendre	o f 'e n d ɾ e
ofensiva	o f e n s 'i β a
ofensives	o f e n s 'i β e s
oferiment	o f e ɾ i m 'e n
oferir	o f e ɾ 'i
ofi	'ɔ f i
ofici	o f 'i s i
oficina	o f i s 'i n a
oficis	o f 'i s i s
oftàlmic	o f t 'a l m i k
oganessó	o ɣ a n e s 'o
oi	'ɔ j
oïble	o 'i β l e
oidà	o j ð 'a
oïda	o 'i ð a
oïdes	o 'i ð e s
oïdi	o 'i ð i
oïdor	o i ð 'o
oint	o 'i n
oir	o 'i
oït	o 'i t
oïts	o 'i t s
oleaginós	o l e a ʒ i n 'o s
oli	'ɔ l i
òliba	'ɔ l i β a
olíban	o l 'i β a n
oligosacàrid	o l i ɣ o z a k 'a ɾ i t
oligosacàrids	o l i ɣ o z a k 'a ɾ i t s
oligoxé	o l i ɣ o k s 'e
Olimp	o l 'i m
olimpíada	o l i m p 'i a ð a
olímpic	o l 'i m p i k
olímpica	o l 'i m p i k a
olis	'ɔ l i s
oliva	o l 'i β a
Oliva	o l 'i β a
olivaci	o l i β 'a s i
Oliver	o l i β 'e
oliver	o l i β 'e
Olivera	o l i β 'e ɾ a
olives	o l 'i β e s
olivina	o l i β 'i n a
ollada	o ʎ 'a ð a
ollam	o ʎ 'a m
olor	o l 'o
olorada	o l o ɾ 'a ð a
olorades	o l o ɾ 'a ð e s
olorar	o l o ɾ 'a
olorat	o l o ɾ 'a t
olorats	o l o ɾ 'a t s
olorós	o l o ɾ 'o s
Olot	o l 'ɔ t
olotí	o l o t 'i
om	'o m
Oman	o m 'a n
omanita	o m a n 'i t a
ombra	'o m b ɾ a
ombrar	o m b ɾ 'a
ombratge	o m b ɾ 'a dʒ e
ombrejar	o m b ɾ e ʒ 'a
ombren	'ɔ m b ɾ e n
ombres	'o m b ɾ e s
ombri	'ɔ m b ɾ i
ombrin	'ɔ m b ɾ i n
ombris	'ɔ m b ɾ i s
ombro	'ɔ m b ɾ o
ombrós	o m b ɾ 'o s
omega	o m 'e ɣ a
ometre	o m 'e t ɾ e
òmicron	'ɔ m i k ɾ o n
ominós	o m i n 'o s
omnipotent	o m n i p o t 'e n
omòplat	o m 'ɔ p l a t
omple	'o m p l e
omplen	'o m p l e n
omples	'o m p l e s
ompli	'ɔ m p l i
omplidor	o m p l i ð 'o
omplin	'ɔ m p l i n
omplir	o m p l 'i
omplis	'ɔ m p l i s
omplo	'o m p l o
on	'o n
ona	'o n a
onada	o n 'a ð a
onça	'ɔ n s a
onclastre	o ŋ k l 'a s t ɾ e
oncle	'o ŋ k l e
oncles	'o ŋ k l e s
onclo	'ɔ ŋ k l o
oncòleg	o ŋ k 'ɔ l e k
oncologia	o ŋ k o l o ʒ 'i a
oncològic	o ŋ k o l 'ɔ ʒ i k
oncològica	o ŋ k o l 'ɔ ʒ i k a
oncològics	o ŋ k o l 'ɔ ʒ i k s
oncològiques	o ŋ k o l 'ɔ ʒ i k e s
ondular	o n d u l 'a
onejada	o n e ʒ 'a ð a
onejades	o n e ʒ 'a ð e s
onejar	o n e ʒ 'a
onejat	o n e ʒ 'a t
onejats	o n e ʒ 'a t s
ones	'o n e s
oníric	o n 'i ɾ i k
onomàstic	o n o m 'a s t i k
onomàstica	o n o m 'a s t i k a
ontologia	o n t o l o ʒ 'i a
onze	'o n z e
onzes	'o n z e s
opac	o p 'a k
opaca	o p 'a k a
opacitat	o p a s i t 'a t
opacs	o p 'a k s
òpal	'ɔ p a l
open	'ɔ p e n
òpera	'ɔ p e ɾ a
operada	o p e ɾ 'a ð a
operades	o p e ɾ 'a ð e s
operar	o p e ɾ 'a
operari	o p e ɾ 'a ɾ i
operat	o p e ɾ 'a t
operatori	o p e ɾ a t 'ɔ ɾ i
operats	o p e ɾ 'a t s
operi	o p 'ɛ ɾ i
operista	o p e ɾ 'i s t a
operístic	o p e ɾ 'i s t i k
opi	'ɔ p i
opina	o p 'i n a
opinada	o p i n 'a ð a
opinades	o p i n 'a ð e s
opinar	o p i n 'a
opinares	o p i n 'a ɾ e s
opinaria	o p i n a ɾ 'i a
opinat	o p i n 'a t
opinats	o p i n 'a t s
opinava	o p i n 'a β a
opino	o p 'i n o
oposà	o p o z 'a
oposada	o p o z 'a ð a
oposades	o p o z 'a ð e s
oposar	o p o z 'a
oposat	o p o z 'a t
oposats	o p o z 'a t s
opositor	o p o z i t 'o
opositora	o p o z i t 'o ɾ a
opositors	o p o z i t 'o s
oprimida	o p ɾ i m 'i ð a
oprimides	o p ɾ i m 'i ð e s
oprimir	o p ɾ i m 'i
oprimit	o p ɾ i m 'i t
oprimits	o p ɾ i m 'i t s
oprobi	o p ɾ 'ɔ β i
opsonitzar	o p s o n i d z 'a
opta	'o p t a
optada	o p t 'a ð a
optades	o p t 'a ð e s
optar	o p t 'a
optat	o p t 'a t
optats	o p t 'a t s
opten	'o p t e n
optes	'ɔ p t e s
opti	'ɔ p t i
òptic	'ɔ p t i k
òptica	'ɔ p t i k a
òptim	'ɔ p t i m
optimitzar	o p t i m i d z 'a
optin	'ɔ p t i n
optis	'ɔ p t i s
opto	'o p t o
oques	'ɔ k e s
oracle	o ɾ 'a k l e
orada	o ɾ 'a ð a
orades	o ɾ 'a ð e s
orador	o ɾ a ð 'o
oradors	o ɾ a ð 'o s
oral	o ɾ 'a l
oralitat	o ɾ a l i t 'a t
orals	o ɾ 'a l s
orangutan	o ɾ a ŋ g u t 'a n
orar	o ɾ 'a
orares	o ɾ 'a ɾ e s
oraria	o ɾ a ɾ 'i a
orat	o ɾ 'a t
oratge	o ɾ 'a dʒ e
oratjós	o ɾ a dʒ 'o s
oratori	o ɾ a t 'ɔ ɾ i
orats	o ɾ 'a t s
orava	o ɾ 'a β a
orejar	o ɾ e ʒ 'a
orella	o ɾ 'e ʎ a
orellada	o ɾ e ʎ 'a ð a
orellana	o ɾ e ʎ 'a n a
orelluda	o ɾ e ʎ 'u ð a
orelludes	o ɾ e ʎ 'u ð e s
orellut	o ɾ e ʎ 'u t
orelluts	o ɾ e ʎ 'u t s
oren	'ɔ ɾ e n
oreneta	o ɾ e n 'e t a
ores	'ɔ ɾ e s
ori	'ɔ ɾ i
orifici	o ɾ i f 'i s i
orificis	o ɾ i f 'i s i s
origen	o ɾ 'i ʒ e n
orígens	o ɾ 'i ʒ e n s
origina	o ɾ i ʒ 'i n a
originada	o ɾ i ʒ i n 'a ð a
originades	o ɾ i ʒ i n 'a ð e s
original	o ɾ i ʒ i n 'a l
originalitat	o ɾ i ʒ i n a l i t 'a t
originar	o ɾ i ʒ i n 'a
originari	o ɾ i ʒ i n 'a ɾ i
originaria	o ɾ i ʒ i n a ɾ 'i a
originaris	o ɾ i ʒ i n 'a ɾ i s
originat	o ɾ i ʒ i n 'a t
originats	o ɾ i ʒ i n 'a t s
origini	o ɾ i ʒ 'i n i
origino	o ɾ i ʒ 'i n o
orin	'ɔ ɾ i n
orina	o ɾ 'i n a
orinada	o ɾ i n 'a ð a
orinades	o ɾ i n 'a ð e s
orinar	o ɾ i n 'a
orinat	o ɾ i n 'a t
orinats	o ɾ i n 'a t s
oripellar	o ɾ i p e ʎ 'a
oris	'ɔ ɾ i s
Oristany	o ɾ i s t 'a ɲ
orografia	o ɾ o ɣ ɾ a f 'i a
orogràfic	o ɾ o ɣ ɾ 'a f i k
orogràfica	o ɾ o ɣ ɾ 'a f i k a
orogràfics	o ɾ o ɣ ɾ 'a f i k s
orografies	o ɾ o ɣ ɾ a f 'i e s
orogràfiques	o ɾ o ɣ ɾ 'a f i k e s
oros	'ɔ ɾ o s
orri	'ɔ r i
ós	'o s
oscar	o s k 'a
Òscar	'ɔ s k a
oscil·lada	o s i l 'a ð a
oscil·lades	o s i l 'a ð e s
oscil·lar	o s i l 'a
oscil·lat	o s i l 'a t
oscil·lats	o s i l 'a t s
osco	'ɔ s k o
Oslo	'ɔ z l o
osmi	'ɔ z m i
osmomètric	o z m o m 'ɛ t ɾ i k
osmomètrica	o z m o m 'ɛ t ɾ i k a
osmomètrics	o z m o m 'ɛ t ɾ i k s
osmomètriques	o z m o m 'ɛ t ɾ i k e s
osonenc	o z o n 'e ŋ
ospa	'ɔ s p a
osquen	'ɔ s k e n
osqui	'ɔ s k i
osquin	'ɔ s k i n
osquis	'ɔ s k i s
ossa	'ɔ s a
óssa	'o s a
ossada	o s 'a ð a
ossades	o s 'a ð e s
osses	'ɔ s e s
ósses	'o s e s
ossi	'ɔ s i
ossicle	o s 'i k l e
ossificada	o s i f i k 'a ð a
ossificades	o s i f i k 'a ð e s
ossificar	o s i f i k 'a
ossificat	o s i f i k 'a t
ossificats	o s i f i k 'a t s
ossis	'ɔ s i s
ossós	o s 'o s
óssos	'o s o s
ostatge	o s t 'a dʒ e
ostentar	o s t e n t 'a
osteològic	o s t e o l 'ɔ ʒ i k
osteològica	o s t e o l 'ɔ ʒ i k a
osteològics	o s t e o l 'ɔ ʒ i k s
osteològiques	o s t e o l 'ɔ ʒ i k e s
ostracisme	o s t ɾ a s 'i z m e
otòlit	o t 'ɔ l i t
otòlits	o t 'ɔ l i t s
otològic	o t o l 'ɔ ʒ i k
otològica	o t o l 'ɔ ʒ i k a
otològics	o t o l 'ɔ ʒ i k s
otològiques	o t o l 'ɔ ʒ i k e s
otorrinolaringologia	o t o r i n o l a ɾ i ŋ g o l o ʒ 'i a
oval	o β 'a l
ovalada	o β a l 'a ð a
ovalades	o β a l 'a ð e s
ovalat	o β a l 'a t
ovalats	o β a l 'a t s
ovals	o β 'a l s
ovella	o β 'e ʎ a
ovelles	o β 'e ʎ e s
oví	o β 'i
Ovidi	o β 'i ð i
ovni	'ɔ b n i
òvul	'ɔ β u l
oxàlic	o k s 'a l i k
òxid	'ɔ k s i t
oxidada	o k s i ð 'a ð a
oxidar	o k s i ð 'a
oxigen	o k s 'i ʒ e n
oxigenar	o k s i ʒ e n 'a
oxímoron	o k s 'i m o ɾ o n
ozó	o z 'o
pa	p 'a
pacana	p a k 'a n a
pacífic	p a s 'i f i k
pacífica	p a s 'i f i k a
pacifisme	p a s i f 'i z m e
pacifista	p a s i f 'i s t a
pactada	p a k t 'a ð a
pactades	p a k t 'a ð e s
pactar	p a k t 'a
pactat	p a k t 'a t
pactats	p a k t 'a t s
pacte	p 'a k t e
pàdel	p 'a ð e l
padellàs	p a ð e ʎ 'a s
padrastre	p a ð ɾ 'a s t ɾ e
padrí	p a ð ɾ 'i
padrina	p a ð ɾ 'i n a
padró	p a ð ɾ 'o
Pàdua	p 'a ð u a
paga	p 'a ɣ a
pagà	p a ɣ 'a
pagada	p a ɣ 'a ð a
pagades	p a ɣ 'a ð e s
pagafantes	p a ɣ a f 'a n t e s
pagana	p a ɣ 'a n a
paganes	p a ɣ 'a n e s
paganitzar	p a ɣ a n i d z 'a
pagar	p a ɣ 'a
pagat	p a ɣ 'a t
pagats	p a ɣ 'a t s
pagellida	p a ʒ e ʎ 'i ð a
pagesia	p a ʒ e z 'i a
pagesívol	p a ʒ e z 'i β o l
pàgina	p 'a ʒ i n a
pàgines	p 'a ʒ i n e s
pago	p 'a ɣ o
pagre	p 'a ɣ ɾ e
païda	p a 'i ð a
païdes	p a 'i ð e s
païdor	p a i ð 'o
pailó	p a j l 'o
pair	p a 'i
pairal	p a j ɾ 'a l
país	p a 'i s
paisatge	p a j z 'a dʒ e
països	p a 'i z o s
paït	p a 'i t
païts	p a 'i t s
paixà	p a j ʃ 'a
pakistanesa	p a k i s t a n 'e z a
pakistaneses	p a k i s t a n 'e z e s
pakistanesos	p a k i s t a n 'e z o s
pal	p 'a l
pala	p 'a l a
paladar	p a l a ð 'a
paladejada	p a l a ð e ʒ 'a ð a
paladejades	p a l a ð e ʒ 'a ð e s
paladejar	p a l a ð e ʒ 'a
paladejat	p a l a ð e ʒ 'a t
paladejats	p a l a ð e ʒ 'a t s
palafanga	p a l a f 'a ŋ g a
palaí	p a l a 'i
palanca	p a l 'a ŋ k a
palangana	p a l a ŋ g 'a n a
palanques	p a l 'a ŋ k e s
palanquí	p a l a ŋ k 'i
palatal	p a l a t 'a l
palatalitzar	p a l a t a l i d z 'a
palatí	p a l a t 'i
palatina	p a l a t 'i n a
palatines	p a l a t 'i n e s
palejador	p a l e ʒ a ð 'o
palejar	p a l e ʒ 'a
paleòleg	p a l e 'ɔ l e k
paleòlegs	p a l e 'ɔ l e k s
pales	p 'a l e s
palestí	p a l e s t 'i
Palestina	p a l e s t 'i n a
paleta	p a l 'e t a
pali	p 'a l i
palla	p 'a ʎ a
pal·ladi	p a l 'a ð i
pallassa	p a ʎ 'a s a
pallassada	p a ʎ a s 'a ð a
pallasso	p a ʎ 'a s o
paller	p a ʎ 'e
pàl·lid	p 'a l i t
pàl·lidament	p 'a l i ð a m 'e n
pallissa	p a ʎ 'i s a
pallol	p a ʎ 'o l
pallús	p a ʎ 'u s
palma	p 'a l m a
palmari	p a l m 'a ɾ i
palmell	p a l m 'e ʎ
palmera	p a l m 'e ɾ a
palmerar	p a l m e ɾ 'a
palmesà	p a l m e z 'a
palomida	p a l o m 'i ð a
palpable	p a l p 'a β l e
palpebra	p a l p 'ɛ β ɾ a
palpís	p a l p 'i s
pals	p 'a l s
Pals	p 'a l s
paltó	p a l t 'o
palúdic	p a l 'u ð i k
paludisme	p a l u ð 'i z m e
palustre	p a l 'u s t ɾ e
pam	p 'a m
pampalluguejar	p a m p a ʎ u ɣ e ʒ 'a
pampallugues	p a m p a ʎ 'u ɣ e s
pamperol	p a m p e ɾ 'o l
pamplonés	p a m p l o n 'e s
pàmpol	p 'a m p o l
pàmpola	p 'a m p o l a
Pan	p 'a n
pana	p 'a n a
panacea	p a n a s 'e a
panada	p a n 'a ð a
Panamà	p a n a m 'a
panamà	p a n a m 'a
panameny	p a n a m 'e ɲ
panarra	p a n 'a r a
pancreàtic	p a ŋ k ɾ e 'a t i k
pancreàtica	p a ŋ k ɾ e 'a t i k a
