A	'a	 a 
rossos	r 'o s o s	 r 'ɔ s o s 
rotonda	r o t 'o n d a	 r o t 'ɔ n d a 
roure	r 'o w ɾ e	 r 'ɔ w ɾ e 
rouró	r o w ɾ 'o	 r o u ɾ 'o 
rovell	r o v 'e ʎ	 r o v 'ɛ ʎ 
ruandesa	r u a n d 'e z a	 r u 'a n d 'ɛ z a 
ruandesos	r u a n d 'e z o s	 r u 'a n d 'ɛ z o s 
rugbi	r 'u g b i	 r 'u g β i 
ruixada	r u j ʃ 'a ð a	 r i ʃ 'a ð a 
ruixades	r u j ʃ 'a ð e s	 r i ʃ 'a ð e s 
ruixar	r u j ʃ 'a ɾ	 r i ʃ 'a ɾ 
ruixat	r u j ʃ 'a t	 r i ʃ 'a t 
ruixats	r u j ʃ 'a t s	 r i ʃ 'a t s 
ruixim	r u j ʃ 'i m	 r i ʃ 'i m 
ruleta	r u l 'e t a	 r u l 'ɛ t a 
rumb	r 'u m p	 r 'u m b 
ruptura	r u p t 'u ɾ a	 r 'u p t 'u ɾ a 
rutherfordi	r u t e ɾ f 'ɔ ɾ ð i	 r 'u t e ɾ f 'ɔ ɾ ð i 
sa	s 'a	 s a 
Sabadell	s a β a ð 'e ʎ	 s a β a ð 'ɛ ʎ 
sabadellenc	s a β a ð e ʎ 'e ŋ k	 s a β a ð e ʎ 'ɛ ŋ k 
sabadellenca	s a β a ð e ʎ 'e ŋ k a	 s a β a ð e ʎ 'ɛ ŋ k a 
sabater	s a β a t 'e ɾ	 s a β a t 'ɛ ɾ 
Sabater	s a β a t 'e ɾ	 s a β a t 'ɛ ɾ 
saber	s a β 'e ɾ	 s a β 'ɛ ɾ 
sacerdot	s a s e ɾ ð 'ɔ t	 s a s e ɾ ð 'o t 
sacerdotessa	s a s e ɾ ð o t 'e s a	 s a s 'ɛ ɾ ð o t 'ɛ s a 
saciarà	s a s i a ɾ 'a	 s a s i 'a ɾ 'a 
safareig	s a f a ɾ 'e t ʃ	 s a f a ɾ 'ɛ t ʃ 
sagrament	s a ɣ ɾ a m 'e n t	 s 'a ɣ ɾ a m 'ɛ n t 
sagrera	s a ɣ ɾ 'e ɾ a	 s a ɣ ɾ 'ɛ ɾ a 
saharià	s a a ɾ i 'a	 s a w a ɾ i 'a 
sahrauí	s a ɾ a w 'i	 s a r a w 'i 
sainet	s a j n 'e t	 s a i n 'ɛ t 
salmorra	s a l m 'o r a	 s a l m 'ɔ r a 
samarreta	s a m a r 'e t a	 s a m a r 'ɛ t a 
sanefa	s a n 'e f a	 s a n 'ɛ f a 
sanejament	s a n e d ʒ a m 'e n t	 s a n 'ɛ d ʒ a m 'ɛ n t 
sanguinolent	s a ŋ g i n o l 'e n t	 s a ŋ g i n o l 'ɛ n t 
saqueig	s a k 'e t ʃ	 s a k 'ɛ t ʃ 
satisfer	s a t i s f 'e ɾ	 s a t i s f 'ɛ ɾ 
satisfet	s a t i s f 'e t	 s a t i s f 'ɛ t 
satisfeta	s a t i s f 'e t a	 s a t i s f 'ɛ t a 
satisfetes	s a t i s f 'e t e s	 s a t i s f 'ɛ t e s 
satisfets	s a t i s f 'e t s	 s a t i s f 'ɛ t s 
saturní	s a t u ɾ n 'i	 s a t 'u ɾ n 'i 
sauna	s 'a w n a	 s 'a 'u n a 
saviesa	s a v i 'e z a	 s a v i 'ɛ z a 
Sebastòpol	s e β a s t 'ɔ p o l	 s 'e β a s t 'ɔ p o l 
sec	s 'e k	 s 'ɛ k 
seca	s 'e k a	 s 'ɛ k a 
secret	s e k ɾ 'e t	 s e k ɾ 'ɛ t 
secreta	s e k ɾ 'e t a	 s e k ɾ 'ɛ t a 
secretes	s e k ɾ 'e t e s	 s e k ɾ 'ɛ t e s 
secrets	s e k ɾ 'e t s	 s e k ɾ 'ɛ t s 
secs	s 'e k s	 s 'ɛ k s 
seda	s 'e ð a	 s 'ɛ ð a 
sedassar	s e ð a s 'a ɾ	 s 'e ð a s 'a ɾ 
sedes	s 'e ð e s	 s 'ɛ ð e s 
seduir	s e ð w 'i ɾ	 s e ð u 'i ɾ 
sega	s 'e ɣ a	 s 'ɛ ɣ a 
segadora	s e ɣ a ð 'o ɾ a	 s e ɣ a ð 'ɔ ɾ a 
segarrenc	s e ɣ a r 'e ŋ k	 s e ɣ a r 'ɛ ŋ k 
segell	s e d ʒ 'e ʎ	 s e d ʒ 'ɛ ʎ 
segle	s 'e ɣ l e	 s 'ɛ ɣ l e 
segles	s 'e ɣ l e s	 s 'ɛ ɣ l e s 
segment	s e g m 'e n t	 s 'ɛ g m 'ɛ n t 
segrest	s e ɣ ɾ 'e s t	 s e ɣ ɾ 'ɛ s t 
seguici	s e ɣ 'i s i	 s e ɣ u 'i s i 
seguida	s e ɣ 'i ð a	 s e ɣ u 'i ð a 
seguides	s e ɣ 'i ð e s	 s e ɣ u 'i ð e s 
seient	s e j 'e n t	 s e i 'ɛ n t 
seitó	s e j t 'o	 s e i t 'o 
sembla	s 'e m b l a	 s 'ɛ m b l a 
semblen	s 'e m b l e n	 s 'ɛ m b l e n 
sembles	s 'e m b l e s	 s 'ɛ m b l e s 
semblo	s 'e m b l o	 s 'ɛ m b l o 
sembra	s 'e m b ɾ a	 s 'ɛ m b ɾ a 
sembren	s 'e m b ɾ e n	 s 'ɛ m b ɾ e n 
semen	s 'e m e n	 s 'ɛ m e n 
semestre	s e m 'e s t ɾ e	 s e m 'ɛ s t ɾ e 
semiautònoma	s e m i a w t 'ɔ n o m a	 s e m i 'a w t 'ɔ n o m a 
semiautònomes	s e m i a w t 'ɔ n o m e s	 s e m i 'a w t 'ɔ n o m e s 
semiautònoms	s e m i a w t 'ɔ n o m s	 s e m i 'a w t 'ɔ n o m s 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
sena	s 'e n a	 s 'ɛ n a 
sencer	s e n s 'e ɾ	 s e n s 'ɛ ɾ 
senda	s 'e n d a	 s 'ɛ n d a 
sender	s e n d 'e ɾ	 s e n d 'ɛ ɾ 
senegalesa	s e n e ɣ a l 'e z a	 s e n e ɣ 'a l 'ɛ z a 
senegalesos	s e n e ɣ a l 'e z o s	 s e n e ɣ 'a l 'ɛ z o s 
sengles	s 'e ŋ g l e s	 s 'ɛ ŋ g l e s 
sénia	s 'e n i a	 s 'e n 'i a 
sens	s 'e n s	 s 'ɛ n s 
sense	s 'e n s e	 s 'ɛ n s e 
sent	s 'e n t	 s 'ɛ n t 
senten	s 'e n t e n	 s 'ɛ n t e n 
sentiment	s e n t i m 'e n t	 s 'ɛ n t i m 'ɛ n t 
sentinella	s e n t i n 'e ʎ a	 s e n t i n 'ɛ ʎ a 
sento	s 'e n t o	 s 'ɛ n t o 
seny	s 'e ɲ	 s 'ɛ ɲ 
senyera	s e ɲ 'e ɾ a	 s e ɲ 'ɛ ɾ a 
senyes	s 'e ɲ e s	 s 'ɛ ɲ e s 
senyora	s e ɲ 'o ɾ a	 s e ɲ 'ɔ ɾ a 
senyores	s e ɲ 'o ɾ e s	 s e ɲ 'ɔ ɾ e s 
senyoret	s e ɲ o ɾ 'e t	 s e ɲ o ɾ 'ɛ t 
senyoreta	s e ɲ o ɾ 'e t a	 s e ɲ o ɾ 'ɛ t a 
senzillesa	s e n z i ʎ 'e z a	 s e n z 'i ʎ 'ɛ z a 
separarem	s e p a ɾ a ɾ 'e m	 s e p a ɾ a ɾ 'ɛ m 
separem	s e p a ɾ 'e m	 s e p a ɾ 'ɛ m 
sépia	s 'e p i a	 s 'e p 'i a 
sepultura	s e p u l t 'u ɾ a	 s e p 'u l t 'u ɾ a 
seques	s 'e k e s	 s 'ɛ k e s 
ser	s 'e ɾ	 s 'ɛ ɾ 
sergent	s e ɾ d ʒ 'e n t	 s e ɾ d ʒ 'ɛ n t 
serp	s 'e ɾ p	 s 'ɛ ɾ p 
serrell	s e r 'e ʎ	 s e r 'ɛ ʎ 
servei	s e ɾ v 'e j	 s e ɾ v 'ɛ i 
servera	s e ɾ v 'e ɾ a	 s e ɾ v 'ɛ ɾ a 
ses	s 'e s	 s e s 
sèsam	s 'ɛ z a m	 s 'ɛ z 'a m 
setembre	s e t 'e m b ɾ e	 s e t 'ɛ m b ɾ e 
setze	s 'e d z e	 s 'ɛ d z e 
seu	s 'e w	 s 'ɛ w 
seua	s 'e w a	 s 'ɛ w a 
Seül	s e 'u l	 s 'e 'u l 
seure	s 'e w ɾ e	 s 'ɛ w ɾ e 
seus	s 'e w s	 s 'ɛ w s 
seva	s 'e v a	 s 'ɛ v a 
sever	s e v 'e ɾ	 s e v 'ɛ ɾ 
Sever	s e v 'e ɾ	 s e v 'ɛ ɾ 
severa	s e v 'e ɾ a	 s e v 'ɛ ɾ a 
severes	s e v 'e ɾ e s	 s e v 'ɛ ɾ e s 
seves	s 'e v e s	 s 'ɛ v e s 
sextet	s e k s t 'e t	 s e k s t 'ɛ t 
si	s 'i	 s i 
siameses	s i a m 'e z e s	 s i 'a m 'ɛ z e s 
siamesos	s i a m 'e z o s	 s i 'a m 'ɛ z o s 
silent	s i l 'e n t	 s i l 'ɛ n t 
silesià	s i l e z i 'a	 s 'i l e z i 'a 
síl·laba	s 'i l a β a	 s 'i l 'a β a 
silueta	s i l u 'e t a	 s i l u 'ɛ t a 
simptomàtic	s i m t o m 'a t i k	 s i m p t o m 'a t i k 
simptomàtica	s i m t o m 'a t i k a	 s i m p t o m 'a t i k a 
simptomàtics	s i m t o m 'a t i k s	 s i m p t o m 'a t i k s 
simultaneïtat	s i m u l t a n e i t 'a t	 s i m u l t 'a n e i t 'a t 
sinagoga	s i n a ɣ 'o ɣ a	 s i n a ɣ 'ɔ ɣ a 
sincer	s i n s 'e ɾ	 s i n s 'ɛ ɾ 
sincera	s i n s 'e ɾ a	 s i n s 'ɛ ɾ a 
síndria	s 'i n d ɾ i a	 s 'i n d ɾ 'i a 
síndrome	s 'i n d ɾ o m e	 s 'i n d ɾ 'ɔ m e 
sirena	s i ɾ 'e n a	 s i ɾ 'ɛ n a 
sistema	s i s t 'e m a	 s i s t 'ɛ m a 
sivella	s i v 'e ʎ a	 s i v 'ɛ ʎ a 
sobra	s 'o β ɾ a	 s 'ɔ β ɾ a 
sobre	s 'o β ɾ e	 s 'ɔ β ɾ e 
sobta	s 'o p t a	 s 'ɔ p t a 
sofre	s 'o f ɾ e	 s 'ɔ f ɾ e 
sofriment	s o f ɾ i m 'e n t	 s 'ɔ f ɾ i m 'ɛ n t 
sol	s 'ɔ l	 s 'o l 
solem	s o l 'e m	 s o l 'ɛ m 
solemne	s o l 'e m n e	 s o l 'ɛ m n e 
solera	s o l 'e ɾ a	 s o l 'ɛ ɾ a 
sòlids	s 'ɔ l i t s	 s 'ɔ l i 'a s 
solos	s 'o l o s	 s 'ɔ l o s 
solquen	s 'o l k e n	 s 'ɔ l k e n 
sols	s 'ɔ l s	 s 'o l s 
solter	s o l t 'e ɾ	 s 'ɔ l t 'ɛ ɾ 
sonda	s 'o n d a	 s 'ɔ n d a 
sondeig	s o n d 'e t ʃ	 s o n d 'ɛ t ʃ 
sondes	s 'o n d e s	 s 'ɔ n d e s 
sonet	s o n 'e t	 s o n 'ɛ t 
sonora	s o n 'o ɾ a	 s o n 'ɔ ɾ a 
sopa	s 'o p a	 s 'ɔ p a 
sopen	s 'o p e n	 s 'ɔ p e n 
sopes	s 'o p e s	 s 'ɔ p e s 
sorda	s 'o ɾ ð a	 s 'ɔ ɾ ð a 
sordes	s 'o ɾ ð e s	 s 'ɔ ɾ ð e s 
sordesa	s o ɾ ð 'e z a	 s 'o ɾ ð 'ɛ z a 
sorna	s 'o ɾ n a	 s 'ɔ ɾ n a 
sorneguer	s o ɾ n e ɣ 'e ɾ	 s o ɾ n e ɣ 'ɛ ɾ 
sorpresa	s o ɾ p ɾ 'e z a	 s o ɾ p ɾ 'ɛ z a 
sorpreses	s o ɾ p ɾ 'e z e s	 s o ɾ p ɾ 'ɛ z e s 
sorpresos	s o ɾ p ɾ 'e z o s	 s o ɾ p ɾ 'ɛ z o s 
sorra	s 'o r a	 s 'ɔ r a 
sorrut	s o r 'u t	 s 'o r 'u t 
sort	s 'ɔ ɾ t	 s 'o ɾ t 
sorteig	s o ɾ t 'e t ʃ	 s o ɾ t 'ɛ t ʃ 
sosa	s 'o z a	 s 'ɔ z a 
sostinguda	s o s t i ŋ g 'u ð a	 s o s t 'i ŋ g 'u ð a 
sostingudes	s o s t i ŋ g 'u ð e s	 s o s t 'i ŋ g 'u ð e s 
sostingut	s o s t i ŋ g 'u t	 s o s t 'i ŋ g 'u t 
sostinguts	s o s t i ŋ g 'u t s	 s o s t 'i ŋ g 'u t s 
sostre	s 'o s t ɾ e	 s 'ɔ s t ɾ e 
sostres	s 'o s t ɾ e s	 s 'ɔ s t ɾ e s 
sostret	s o s t ɾ 'e t	 s o s t ɾ 'ɛ t 
sostretes	s o s t ɾ 'e t e s	 s o s t ɾ 'ɛ t e s 
sostrets	s o s t ɾ 'e t s	 s o s t ɾ 'ɛ t s 
sostreure	s o s t ɾ 'e w ɾ e	 s o s t ɾ 'ɛ w ɾ e 
sot	s 'ɔ t	 s 'o t 
sota	s 'o t a	 s 'ɔ t a 
soterrament	s o t e r a m 'e n t	 s o t 'ɛ r a m 'ɛ n t 
sotmesa	s o d m 'e z a	 s o d m 'ɛ z a 
sotmeses	s o d m 'e z e s	 s o d m 'ɛ z e s 
sotmesos	s o d m 'e z o s	 s o d m 'ɛ z o s 
sotmetiment	s o d m e t i m 'e n t	 s o d m 'ɛ t i m 'ɛ n t 
sotmetre	s o d m 'e t ɾ e	 s o d m 'ɛ t ɾ e 
sotsobrar	s o t s o β ɾ 'a ɾ	 s 'ɔ t s o β ɾ 'a ɾ 
sotsprefectura	s o t s p ɾ e f e k t 'u ɾ a	 s o t s p ɾ e f 'e k t 'u ɾ a 
sous	s 'ɔ w s	 s 'o 'u s 
sovintejada	s o v i n t e d ʒ 'a ð a	 s o v 'i n t e d ʒ 'a ð a 
sovintejades	s o v i n t e d ʒ 'a ð e s	 s o v 'i n t e d ʒ 'a ð e s 
sovintejar	s o v i n t e d ʒ 'a ɾ	 s o v 'i n t e d ʒ 'a ɾ 
sovintejat	s o v i n t e d ʒ 'a t	 s o v 'i n t e d ʒ 'a t 
sovintejats	s o v i n t e d ʒ 'a t s	 s o v 'i n t e d ʒ 'a t s 
subduir	s u b d w 'i ɾ	 s u b d u 'i ɾ 
subhasta	s u β 'a s t a	 s u β u 'a s t a 
subministrament	s u b m i n i s t ɾ a m 'e n t	 s u b m i n 'i s t ɾ a m 'ɛ n t 
subsaharià	s u p s a a ɾ i 'a	 s u p s a w a ɾ i 'a 
suec	s u 'e k	 s u 'ɛ k 
sueca	s u 'e k a	 s u 'ɛ k a 
suficient	s u f i s i 'e n t	 s u f i s i 'ɛ n t 
suggeriment	s u g d ʒ e ɾ i m 'e n t	 s u g d ʒ 'ɛ ɾ i m 'ɛ n t 
supera	s u p 'e ɾ a	 s u p 'ɛ ɾ a 
supero	s u p 'e ɾ o	 s u p 'ɛ ɾ o 
supervivent	s u p e ɾ v i v 'e n t	 s u p e ɾ v i v 'ɛ n t 
suplement	s u p l e m 'e n t	 s 'u p l e m 'ɛ n t 
suplent	s u p l 'e n t	 s u p l 'ɛ n t 
suport	s u p 'ɔ ɾ t	 s u p 'o ɾ t 
suprem	s u p ɾ 'e m	 s u p ɾ 'ɛ m 
suspendre	s u s p 'e n d ɾ e	 s 'u s p 'ɛ n d ɾ e 
sutzura	s u d z 'u ɾ a	 s 'u d z 'u ɾ a 
t'estimo	t a s t 'i m o	 t e s t 'i m o 
tabaquer	t a β a k 'e ɾ	 t a β a k 'ɛ ɾ 
tabaquera	t a β a k 'e ɾ a	 t a β a k 'ɛ ɾ a 
tabloide	t a β l 'ɔ j ð e	 t 'a β l 'ɔ 'i ð e 
tabú	t a β 'u	 t 'a β 'u 
tafaner	t a f a n 'e ɾ	 t a f a n 'ɛ ɾ 
tailandesa	t a j l a n d 'e z a	 t 'a j l 'a n d 'ɛ z a 
Tailàndia	t a j l 'a n d i a	 t a i l 'a n d i a 
talent	t a l 'e n t	 t a l 'ɛ n t 
taller	t a ʎ 'e ɾ	 t a ʎ 'ɛ ɾ 
tamboret	t a m b o ɾ 'e t	 t a m b o ɾ 'ɛ t 
tampoc	t a m p 'ɔ k	 t a m p 'o k 
tancament	t a ŋ k a m 'e n t	 t 'a ŋ k a m 'ɛ n t 
tangent	t a n d ʒ 'e n t	 t a n d ʒ 'ɛ n t 
tanmateix	t a m m a t 'e j ʃ	 t a n m a t 'ɛ j ʃ 
tapadora	t a p a ð 'o ɾ a	 t a p a ð 'ɔ ɾ a 
taquiller	t a k i ʎ 'e ɾ	 t a k i ʎ 'ɛ ɾ 
targeta	t a ɾ d ʒ 'e t a	 t a ɾ d ʒ 'ɛ t a 
Tarragona	t a r a ɣ 'o n a	 t a r a ɣ 'ɔ n a 
tàrtar	t 'a ɾ t a ɾ	 t 'a ɾ t 'a ɾ 
Tàrtar	t 'a ɾ t a ɾ	 t 'a ɾ t 'a ɾ 
tartera	t a ɾ t 'e ɾ a	 t 'a ɾ t 'ɛ ɾ a 
tastet	t a s t 'e t	 t a s t 'ɛ t 
tauler	t a w l 'e ɾ	 t 'a w l 'ɛ ɾ 
taüt	t a 'u t	 t 'a 'u t 
te	t 'e	 t e 
tecla	t 'e k l a	 t 'ɛ k l a 
tecles	t 'e k l e s	 t 'ɛ k l e s 
tecnicisme	t e g n i s 'i z m e	 t e k n i s 'i z m e 
tecnoestructura	t e g n o e s t ɾ u k t 'u ɾ a	 t e k n o e s t ɾ 'u k t 'u ɾ a 
teia	t 'e j a	 t 'ɛ j a 
teix	t 'e j ʃ	 t 'ɛ j ʃ 
telèfons	t e l 'ɛ f o n s	 t e l 'ɛ f 'o n s 
telègraf	t e l 'ɛ ɣ ɾ a f	 t e l 'ɛ ɣ ɾ 'a f 
teler	t e l 'e ɾ	 t e l 'ɛ ɾ 
teletreball	t e l e t ɾ e β 'a ʎ	 t e l 'e t ɾ e β 'a ʎ 
televident	t e l e v i ð 'e n t	 t e l e v i ð 'ɛ n t 
tellerina	t e ʎ e ɾ 'i n a	 t 'e ʎ e ɾ 'i n a 
teloner	t e l o n 'e ɾ	 t e l o n 'ɛ ɾ 
tem	t 'e m	 t 'ɛ m 
tema	t 'e m a	 t 'ɛ m a 
temen	t 'e m e n	 t 'ɛ m e n 
temes	t 'e m e s	 t 'ɛ m e s 
temo	t 'e m o	 t 'ɛ m o 
temperament	t e m p e ɾ a m 'e n t	 t e m p 'ɛ ɾ a m 'ɛ n t 
tempesta	t e m p 'e s t a	 t e m p 'ɛ s t a 
templa	t 'e m p l a	 t 'ɛ m p l a 
temple	t 'e m p l e	 t 'ɛ m p l e 
temples	t 'e m p l e s	 t 'ɛ m p l e s 
temporer	t e m p o ɾ 'e ɾ	 t e m p o ɾ 'ɛ ɾ 
temps	t 'e m s	 t 'ɛ m p s 
tempteig	t e m t 'e t ʃ	 t e m t 'ɛ t ʃ 
tenda	t 'e n d a	 t 'ɛ n d a 
tendenciosa	t e n d e n s i 'o z a	 t e n d e n s i 'ɔ z a 
tendencioses	t e n d e n s i 'o z e s	 t e n d e n s i 'ɔ s e s 
tendenciosos	t e n d e n s i 'o z o s	 t e n d e n s i 'ɔ z o s 
tendes	t 'e n d e s	 t 'ɛ n d e s 
tenebra	t e n 'e β ɾ a	 t e n 'ɛ β ɾ a 
tenebres	t e n 'e β ɾ e s	 t e n 'ɛ β ɾ e s 
tenebrosa	t e n e β ɾ 'o z a	 t e n e β ɾ 'ɔ z a 
tenebroses	t e n e β ɾ 'o z e s	 t e n e β ɾ 'ɔ z e s 
tenebrosos	t e n e β ɾ 'o z o s	 t e n e β ɾ 'ɔ z o s 
tenen	t 'e n e n	 t 'ɛ n e n 
tens	t 'e n s	 t 'ɛ n s 
tensa	t 'e n s a	 t 'ɛ n s a 
tenses	t 'e n s e s	 t 'ɛ n s e s 
tensos	t 'e n s o s	 t 'ɛ n s o s 
téntol	t 'e n t o l	 t 'e n t 'ɔ l 
teorema	t e o ɾ 'e m a	 t e o ɾ 'ɛ m a 
Ter	t 'e ɾ	 t 'ɛ ɾ 
tercer	t e ɾ s 'e ɾ	 t e ɾ s 'ɛ ɾ 
tercera	t e ɾ s 'e ɾ a	 t e ɾ s 'ɛ ɾ a 
Teresa	t e ɾ 'e z a	 t e ɾ 'ɛ z a 
terrassenc	t e r a s 'e ŋ k	 t e r a s 'ɛ ŋ k 
terrassenca	t e r a s 'e ŋ k a	 t e r a s 'ɛ ŋ k a 
terreny	t e r 'e ɲ	 t e r 'ɛ ɲ 
terrestre	t e r 'e s t ɾ e	 t e r 'ɛ s t ɾ e 
terrestres	t e r 'e s t ɾ e s	 t e r 'ɛ s t ɾ e s 
tertúlia	t e ɾ t 'u l i a	 t 'e ɾ t 'u l i a 
tes	t 'e s	 t e s 
Teseu	t e z 'ɛ w	 t e s 'ɛ w 
test	t 'e s t	 t 'ɛ s t 
testa	t 'e s t a	 t 'ɛ s t a 
testament	t e s t a m 'e n t	 t 'ɛ s t a m 'ɛ n t 
testos	t 'e s t o s	 t 'ɛ s t o s 
tètan	t 'ɛ t a n	 t 'ɛ t 'a n 
tètanus	t 'ɛ t a n u s	 t 'ɛ t a n 'u s 
teu	t 'e w	 t 'ɛ w 
teula	t 'e w l a	 t 'ɛ w l a 
teuladí	t e w l a ð 'i	 t e w l 'a ð 'i 
teus	t 'e w s	 t 'ɛ w s 
teva	t 'e v a	 t 'ɛ v a 
teves	t 'e v e s	 t 'ɛ v e s 
Texas	t 'ɛ k s a s	 t 'ɛ k s 'a s 
tiet	t i 'e t	 t 'i 'ɛ t 
tieta	t i 'e t a	 t i 'ɛ t a 
timoner	t i m o n 'e ɾ	 t i m o n 'ɛ ɾ 
tinamú	t i n a m 'u	 t i n 'a m 'u 
tinença	t i n 'e n s a	 t i n 'ɛ n s a 
tinent	t i n 'e n t	 t i n 'ɛ n t 
tinguda	t i ŋ g 'u ð a	 t 'i ŋ g 'u ð a 
tingudes	t i ŋ g 'u ð e s	 t 'i ŋ g 'u ð e s 
tingut	t i ŋ g 'u t	 t 'i ŋ g 'u t 
tinguts	t i ŋ g 'u t s	 t 'i ŋ g 'u t s 
tinter	t i n t 'e ɾ	 t i n t 'ɛ ɾ 
tirarem	t i ɾ a ɾ 'e m	 t i ɾ a ɾ 'ɛ m 
tiroteig	t i ɾ o t 'e t ʃ	 t i ɾ o t 'ɛ t ʃ 
tisora	t i z 'o ɾ a	 t i z 'ɔ ɾ a 
tisores	t i z 'o ɾ e s	 t i z 'ɔ ɾ e s 
titella	t i t 'e ʎ a	 t i t 'ɛ ʎ a 
titllada	t i l l 'a ð a	 t i t e l 'a ð a 
titllades	t i l l 'a ð e s	 t i t e l 'a ð e s 
titllar	t i l l 'a ɾ	 t i t a l 'a ɾ 
titllat	t i l l 'a t	 t i t u l 'a t 
titllats	t i l l 'a t s	 t i t u l 'a t s 
titot	t i t 'ɔ t	 t i t 'o t 
toc	t 'ɔ k	 t 'o k 
tocs	t 'ɔ k s	 t 'o k s 
tomb	t 'o m p	 t 'o m b 
tomba	t 'o m b a	 t 'ɔ m b a 
tomben	t 'o m b e n	 t 'ɔ m b e n 
tombes	t 'o m b e s	 t 'ɔ m b e s 
tona	t 'o n a	 t 'ɔ n a 
tones	t 'o n e s	 t 'ɔ n e s 
topa	t 'o p a	 t 'ɔ p a 
topants	t o p 'a n s	 t o p 'a n t s 
topen	t 'o p e n	 t 'ɔ p e n 
topo	t 'o p o	 t 'ɔ p o 
toquem	t o k 'e m	 t 'ɔ k 'ɛ m 
tora	t 'o ɾ a	 t 'ɔ ɾ a 
torçuda	t o ɾ s 'u ð a	 t 'o ɾ s 'u ð a 
torçudes	t o ɾ s 'u ð e s	 t 'o ɾ s 'u ð e s 
torçut	t o ɾ s 'u t	 t 'o ɾ s 'u t 
torçuts	t o ɾ s 'u t s	 t 'o ɾ s 'u t s 
torna	t 'o ɾ n a	 t 'ɔ ɾ n a 
torneig	t o ɾ n 'e t ʃ	 t 'o ɾ n 'ɛ t ʃ 
tornen	t 'o ɾ n e n	 t 'ɔ ɾ n e n 
tornes	t 'o ɾ n e s	 t 'ɔ ɾ n e s 
torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
torpede	t o ɾ p 'e ð e	 t 'o ɾ p 'ɛ ð e 
torradora	t o r a ð 'o ɾ a	 t o r a ð 'ɔ ɾ a 
torre	t 'o r e	 t 'ɔ r e 
torrent	t o r 'e n t	 t 'o r 'ɛ n t 
torres	t 'o r e s	 t 'ɔ r e s 
tort	t 'ɔ ɾ t	 t 'o ɾ t 
tortell	t o ɾ t 'e ʎ	 t 'o ɾ t 'ɛ ʎ 
tortuga	t o ɾ t 'u ɣ a	 t 'o ɾ t 'u ɣ a 
tortura	t o ɾ t 'u ɾ a	 t 'o ɾ t 'u ɾ a 
tortures	t o ɾ t 'u ɾ e s	 t 'o ɾ t 'u ɾ e s 
torturo	t o ɾ t 'u ɾ o	 t 'o ɾ t 'u ɾ o 
tosca	t 'o s k a	 t 'ɔ s k a 
tossut	t o s 'u t	 t 'ɔ s 'u t 
tota	t 'o t a	 t 'ɔ t a 
totes	t 'o t e s	 t 'ɔ t e s 
totxo	t 'o t ʃ o	 t 'ɔ t ʃ o 
tova	t 'o v a	 t 'ɔ v a 
tovallola	t o v a ʎ 'ɔ l a	 t o v 'a ʎ 'ɔ l a 
toves	t 'o v e s	 t 'ɔ v e s 
tractament	t ɾ a k t a m 'e n t	 t ɾ 'a k t a m 'ɛ n t 
traduir	t ɾ a ð w 'i ɾ	 t ɾ a ð u 'i ɾ 
traïdora	t ɾ a i ð 'o ɾ a	 t ɾ a i ð 'ɔ ɾ a 
traïdores	t ɾ a i ð 'o ɾ e s	 t ɾ a i ð 'ɔ ɾ e s 
trametre	t ɾ a m 'e t ɾ e	 t ɾ a m 'ɛ t ɾ e 
transmesa	t ɾ a n z m 'e z a	 t ɾ a n z m 'ɛ z a 
transmeses	t ɾ a n z m 'e z e s	 t ɾ a n z m 'ɛ z e s 
transmesos	t ɾ a n z m 'e z o s	 t ɾ a n z m 'ɛ z o s 
transmetre	t ɾ a n z m 'e t ɾ e	 t ɾ a n z m 'ɛ t ɾ e 
transparent	t ɾ a n s p a ɾ 'e n t	 t ɾ a n s p a ɾ 'ɛ n t 
transsexual	t ɾ a n s e k s u 'a l	 t ɾ 'a n s e k s u 'a l 
transsexualitat	t ɾ a n s e k s u a l i t 'a t	 t ɾ 'a n s e k s u a l i t 'a t 
trapezista	t ɾ a p e z 'i s t a	 t ɾ 'a p e z 'i s t a 
trapezoide	t ɾ a p e z 'ɔ j ð e	 t ɾ 'a p e z 'ɔ 'i ð e 
traqueobronquitis	t ɾ a k e o β ɾ o ŋ k 'i t i s	 t ɾ a k e o β ɾ 'ɔ ŋ k 'i t i s 
trasplantament	t ɾ a s p l a n t a m 'e n t	 t ɾ a s p l 'a n t a m 'ɛ n t 
traster	t ɾ a s t 'e ɾ	 t ɾ a s t 'ɛ ɾ 
travessada	t ɾ a v e s 'a ð a	 t ɾ 'a v e s 'a ð a 
travessades	t ɾ a v e s 'a ð e s	 t ɾ 'a v e s 'a ð e s 
travessar	t ɾ a v e s 'a ɾ	 t ɾ 'a v e s 'a ɾ 
travessat	t ɾ a v e s 'a t	 t ɾ 'a v e s 'a t 
travessats	t ɾ a v e s 'a t s	 t ɾ 'a v e s 'a t s 
travessia	t ɾ a v e s 'i a	 t ɾ 'a v e s 'i a 
travessies	t ɾ a v e s 'i e s	 t ɾ 'a v e s 'i e s 
traveta	t ɾ a v 'e t a	 t ɾ a v 'ɛ t a 
trec	t ɾ 'e k	 t ɾ 'ɛ k 
