big	b 'i tʃ
esguard	a z ɣ u 'a ɾ i
guadall	g w a ð 'a ʎ
guaiaba	g w a j 'a β a
guaiacs	g w a j 'a k s
guaires	g u 'a j ɾ e s
guaitam	g w a i t 'a m
guaitar	g w a i t 'a
guaitas	g u a j t 'a s
guaitat	g w a i t 'a t
guaitau	g w a i t a 'u
guaitem	g w a j t 'ɛ m
guaiten	g u 'a j t e n
guaites	g u 'a j t e s
guaiteu	g w 'a j t 'ɛ 'u
guaitin	g u 'a i t i n
guaitis	g u 'a j t i s
guaitxí	g w a i tʃ 'i
guaités	g w a j t 'e s
guaixam	g w a j ʃ 'a m
guaixar	g w a j ʃ 'a
guaixas	g w 'a j ʃ a s
guaixat	g w a j ʃ 'a t
guaixau	g w a j ʃ 'a
guaixem	g w a j ʃ 'ɛ m
guaixen	g w 'a j ʃ e n
guaixes	g w 'a j ʃ e s
guaixeu	g w a j ʃ 'ɛ
guaixin	g w 'a j ʃ i n
guaixis	g w 'a j ʃ i s
guaixos	g w 'a j ʃ o s
guaixés	g w a j ʃ 'e s
guajira	g w a ʒ 'i ɾ a
gualbes	g u 'a l β e s
gualosa	g w a l 'o z a
guanacs	g w a n 'a k s
guanera	g w a n 'e ɾ a
guanina	g w a n 'i n a
guanter	g w a n t 'e
guanxes	g w 'a n tʃ e s
guanyam	g w a ɲ 'a m
guanyar	g w a ɲ 'a
guanyas	g w 'a ɲ a s
guanyat	g w a ɲ 'a t
guanyau	g w a ɲ 'a u
guanyem	g w a ɲ 'ɛ m
guanyen	g w 'a ɲ e n
guanyes	g w 'a ɲ e s
guanyeu	g w a ɲ e 'u
guanyin	g w 'a ɲ i n
guanyis	g w 'a ɲ i s
guanyés	g w a ɲ 'e s
guapesa	g w a p 'ɛ z a
guapeta	g w a p 'ɛ t a
guapets	g w a p 'ɛ t s
guapors	g w a p 'o s
guaques	g w 'a k e s
guarana	g w a ɾ 'a n a
guarani	g w a ɾ 'a n i
guarans	g w a ɾ 'a n s
guaranà	g w a ɾ a n 'a
guaraní	g w a ɾ a n 'i
guarapo	g w a ɾ 'a p o
guardam	g u a ð 'a m
guardar	g u a ð 'a
guardas	g u 'a ð a s
guardat	g u a ð 'a t
guardau	g u a d 'a u
guardem	g u a d 'ɛ m
guarden	g u 'a ð e n
guardes	g u 'a ð e s
guardeu	g u 'a d 'ɛ 'u
guardia	g w a ɾ d 'i a
guardin	g u 'a ɾ ð i n
guardis	g u 'a ɾ ð i s
guardià	g w a ɾ d i 'a
guardon	g w a ɾ d 'o n
guardés	g w a ɾ d 'e s
guareix	g w a ɾ 'ɛ j ʃ
guaresc	g w a ɾ 'ɛ s k
guareta	g w a ɾ 'ɛ t a
guarete	g w a ɾ 'ɛ t e
guareti	g w a ɾ 'ɛ t i
guareto	g w a ɾ 'ɛ t o
guarets	g w a ɾ 'ɛ t s
guaretà	g w a ɾ e t 'a
guaretí	g w a ɾ e t 'i
guaretó	g w a ɾ e t 'o
guarida	g w a ɾ 'i ð a
guariem	g w a ɾ i 'ɛ m
guarien	g w a ɾ 'i e n
guaries	g w a ɾ 'i e s
guarieu	g w a ɾ 'i 'ɛ 'u
guarini	g w a ɾ 'i n i
guarino	g w a ɾ 'i n o
guarint	g w a ɾ 'i n
guarira	g w a ɾ 'i ɾ a
guarire	g w a ɾ 'i ɾ e
guarirà	g w a ɾ i ɾ 'a
guariré	g w a ɾ i ɾ 'e
guarisc	g w a ɾ 'i s k
guarits	g w a ɾ 'i t s
guarixo	g w a ɾ 'i tʃ o
guarnes	g u 'a n e s
guarnia	g w a ɾ n 'i a
guarnim	g w a n 'i m
guarnir	g w a ɾ n 'i
guarnis	g u 'a ɾ n i s
guarnit	g w a ɾ n 'i t
guarniu	g w a ɾ n i 'u
guarnix	g w a n 'i tʃ
guarnís	g w a ɾ n 'i s
guaríem	g w a ɾ 'i e m
guaríeu	g w a ɾ 'i e u
guaspes	g w 'a s p e s
guatles	g w 'a t l e s
guatlla	g w 'a ʎ ʎ a
guatlot	g w a t l 'ɔ t
igualam	i ɣ u a l 'a m
igualar	i ɣ u a l 'a
igualas	i ɣ u 'a l a s
igualat	i ɣ u a l 'a t
igualau	i ɣ u a l a 'u
igualem	i ɣ u a l 'ɛ m
igualen	i ɣ u 'a l e n
iguales	i ɣ u 'a l e s
igualeu	i ɣ 'u a l 'ɛ 'u
igualin	i ɣ u 'a l i n
igualis	i ɣ u 'a l i s
igualés	i ɣ u a l 'e s
iguanes	i ɣ u 'a n e s
iguanid	i ɣ u a n 'i ð
jaguars	dʒ a ɣ u 'a s
liguana	l i ɣ u 'a n a
liguans	l i ɣ u 'a n s
lingual	l i ŋ g w 'a l
linguat	l i ŋ g w 'a t
llengua	ʎ 'ɛ ŋ g w a
macagua	m a k 'a g w a
manigua	m a n 'i ɣ u a
miragua	m i ɾ 'a ɣ u a
paguaga	p a ɣ u 'a ɣ a
patagua	p a t 'a ɣ u a
piragua	p i ɾ 'a ɣ u a
reguany	r e ɣ u 'a ɲ
reguard	r e ɣ u 'a ɾ i
Aiguader	a j ɣ u a ð 'e
Alguaire	a l ɣ u 'a j ɾ e
Amengual	a m e ŋ g w 'a l
Araguaia	a ɾ a ɣ u a 'i a
Delaigua	d e l 'a i ɣ u a
Guadalop	g w a ð a l 'ɔ p
Guadiana	g w a ð i 'a n a
Gualbert	g w a l β 'ɛ t
Guarines	g w a ɾ 'i n e s
Igualada	i ɣ u a l 'a ð a
Laguarda	l a ɣ u 'a ð a
Maraguat	m a ɾ a ɣ u 'a t
Paraguai	p a ɾ a ɣ u 'a i
Regualta	r e ɣ u 'a l t a
Titaguas	t i t a ɣ 'u a s
aguaitam	a ɣ u a j t 'a m
aguaitar	a ɣ u a i t 'a
aguaitas	a ɣ u a j t 'a s
aguaitat	a ɣ u a i t 'a t
aguaitau	a ɣ u 'a j t 'a 'u
aguaitem	a ɣ u a j t 'ɛ m
aguaiten	a ɣ u 'a j t e n
aguaites	a ɣ u 'a j t e s
aguaiteu	a ɣ u 'a j t 'ɛ 'u
aguaitin	a ɣ u 'a i t i n
aguaitis	a ɣ u 'a j t i s
aguaités	a ɣ u a j t 'e s
aguanesa	a ɣ u a n 'ɛ z a
aguantam	a ɣ w a n t 'a m
aguantar	a ɣ w a n t 'a
aguantas	a ɣ u 'a n t a s
aguantat	a ɣ w a n t 'a t
aguantau	a ɣ w a n t 'a u
aguantem	a ɣ u a n t 'ɛ m
aguanten	a ɣ u 'a n t e n
aguantes	a ɣ u 'a n t e s
aguanteu	a ɣ u a n t 'ɛ u
aguantin	a ɣ u 'a n t i n
aguantis	a ɣ u 'a n t i s
aguantés	a ɣ u a n t 'e s
aguariem	a ɣ u a ɾ i 'ɛ m
aguarien	a ɣ u a ɾ 'i e n
aguaries	a ɣ u a ɾ 'i e s
aguarieu	a ɣ u a ɾ 'i 'ɛ 'u
aguaríem	a ɣ u a ɾ 'i e m
aguaríeu	a ɣ u a ɾ 'i e u
aguasils	a ɣ u a s 'i l s
aguassem	a ɣ u a s 'ɛ m
aguassen	a ɣ u 'a s e n
aguasses	a ɣ u 'a s e s
aguasseu	a ɣ u a s 'ɛ u
aguassim	a ɣ u a s 'i m
aguassin	a ɣ u 'a s i n
aguassis	a ɣ u 'a s i s
aguassiu	a ɣ u a s 'i u
aiguabat	a j ɣ u a β 'a t
aiguader	a j ɣ u a ð 'e
aiguades	a i ɣ u 'a ð e s
aiguagim	a j ɣ u a ʒ 'i m
aigualia	a j ɣ u a l 'i a
aigualim	a j ɣ u a l 'i m
aigualir	a j ɣ u a l 'i
aigualis	a i ɣ u 'a l i s
aigualit	a j ɣ u a l 'i t
aigualiu	a j ɣ 'u a l 'i 'u
aigualix	a j ɣ u a l 'i tʃ
aigualls	a i ɣ u 'a ʎ s
aigualos	a i ɣ u 'a l o s
aigualís	a j ɣ u a l 'i s
aigualós	a j ɣ u a l 'o s
aiguamel	a j ɣ u a m 'ɛ l
aiguanaf	a j ɣ u a n 'a f
aiguaneu	a j ɣ 'u a n 'ɛ 'u
aiguasos	a i ɣ u 'a z o s
aiguatge	a i ɣ u 'a dʒ e
aiguaves	a i ɣ u 'a β e s
aiguavés	a j ɣ u a β 'e s
allargua	a ʎ 'a ɾ g w a
anguatib	a ŋ g w a t 'i β
baguales	b a ɣ u 'a l e s
caguanet	k a ɣ w a n 'ɛ t
capguard	k a p ɣ u 'a ɾ i
cassogua	k a s 'ɔ ɣ u a
contigua	k o n t 'i ɣ u a
còssigua	k o s i ɣ 'u a
desaigua	d e z 'a i ɣ u a
desguaix	d e z ɣ u 'a j ʃ
desigual	d e z i ɣ u 'a l
domingua	d o m 'i ŋ g w a
eguasser	e ɣ u a s 'e
eixaguar	e j ʃ a ɣ u 'a
eixaguat	e j ʃ a ɣ u 'a t
enaiguam	a n a i ɣ u 'a m
enaiguar	a n a i ɣ u 'a
enaiguas	a n a i ɣ u 'a s
enaiguat	a n a i ɣ u 'a t
enaiguau	a n a i ɣ u 'a
endergua	a n d 'ɛ ɾ g w a
enguanta	a ŋ g w 'a n t a
enguante	a ŋ g w 'a n t e
enguanti	a ŋ g w 'a n t i
enguanto	a ŋ g w 'a n t o
enguantà	a ŋ g w a n t 'a
enguantí	a ŋ g w a n t 'i
esguarda	a z ɣ u 'a ð a
esguarde	a z ɣ u 'a ð e
esguardi	a z ɣ u 'a ɾ ð i
esguardo	a z ɣ u 'a ð o
esguards	a z ɣ u 'a ɾ i s
esguardà	a z ɣ u a ð 'a
esguardí	a z ɣ u a ð 'i
guacamai	g w a k a m 'a i
guadamir	g w a ð a m 'i
guaiaber	g w a i a β 'e
guaiabes	g w a j 'a β e s
guaiacol	g w a i a k 'ɔ l
guaianès	g w a j a n 'ɛ s
guaianés	g w a i a n 'e s
guaicurú	g w a j k u ɾ 'u
guaimins	g w a i m 'i n s
guaitada	g w a i t 'a ð a
guaitant	g w a i t 'a n
guaitara	g w a i t 'a ɾ a
guaitare	g w a i t 'a ɾ e
guaitarà	g w a j t a ɾ 'a
guaitaré	g w a j t a ɾ 'e
guaitats	g w a i t 'a t s
guaitava	g w a i t 'a β a
guaixada	g w a j ʃ 'a ð a
guaixant	g w a j ʃ 'a n
guaixara	g w a j ʃ 'a ɾ a
guaixare	g w a j ʃ 'a ɾ e
guaixarà	g w a j ʃ a ɾ 'a
guaixaré	g w a j ʃ a ɾ 'e
guaixats	g w a j ʃ 'a t s
guaixava	g w a j ʃ 'a β a
guajires	g w a ʒ 'i ɾ e s
gualbenc	g w a l β 'e ŋ
gualoses	g w a l 'o z e s
gualosos	g w a l 'o z o s
gualtenc	g w a l t 'e ŋ
gualterí	g w a l t e ɾ 'i
gualteró	g w a l t e ɾ 'o
guaneres	g w a n 'e ɾ e s
guanilat	g w a n i l 'a t
guanines	g w a n 'i n e s
guantada	g w a n t 'a ð a
guantera	g w a n t 'e ɾ a
guanters	g w a n t 'e s
guanyada	g w a ɲ 'a ð a
guanyant	g w a ɲ 'a n
guanyapa	g w a ɲ 'a p a
guanyapà	g w a ɲ a p 'a
guanyara	g w a ɲ 'a ɾ a
guanyare	g w a ɲ 'a ɾ e
guanyarà	g w a ɲ a ɾ 'a
guanyaré	g w a ɲ a ɾ 'e
guanyats	g w a ɲ 'a t s
guanyava	g w a ɲ 'a β a
guanílic	g w a n 'i l i k
guaperes	g w a p 'e ɾ e s
guaperia	g w a p e ɾ 'i a
guapetes	g w a p 'ɛ t e s
guaracha	g w a ɾ a k 'a
guaranas	g w a ɾ 'a n a s
guaraner	g w a ɾ a n 'e
guaranis	g w a ɾ 'a n i s
guaranàs	g w a ɾ a n 'a s
guaranís	g w a ɾ a n 'i s
guarapos	g w a ɾ 'a p o s
guardada	g u a ð 'a ð a
guardama	g u a ð 'a m a
guardamà	g u a ð a m 'a
guardant	g u a ð 'a n
guardara	g u a ð 'a ɾ a
guardare	g u a ð 'a ɾ e
guardarà	g u a ð a ɾ 'a
guardaré	g u a ð a ɾ 'e
guardats	g u a ð 'a t s
guardava	g u a ð 'a β a
guardies	g w a ɾ d 'i e s
guardini	g w a ɾ d 'i n i
guardins	g w a ɾ d 'i n s
guardona	g w a ɾ d 'o n a
guardone	g u a d 'ɔ n e
guardoni	g w a ɾ d 'o n i
guardono	g w a ɾ d 'o n o
guardons	g w a ɾ d 'o n s
guardonà	g u a ð o n 'a
guardoní	g u a ð o n 'i
guareixi	g w a ɾ 'ɛ j ʃ i
guareixo	g w a ɾ 'ɛ j ʃ o
guaresca	g w a ɾ 'ɛ s k a
guaretam	g w a ɾ e t 'a m
guaretar	g w a ɾ e t 'a
guaretas	g w a ɾ e t 'a s
guaretat	g w a ɾ e t 'a t
guaretau	g w a ɾ e t 'a
guaretem	g w a ɾ e t 'ɛ m
guareten	g w a ɾ 'ɛ t e n
guaretes	g w a ɾ 'ɛ t e s
guareteu	g w a ɾ e t e 'u
guaretin	g w a ɾ 'ɛ t i n
guaretis	g w a ɾ 'ɛ t i s
guaretés	g w a ɾ e t 'e s
guarible	g w a ɾ 'i β l e
guaricio	g w a ɾ i s 'i o
guarició	g w a ɾ i s i 'o
guarides	g w a ɾ 'i ð e s
guaridor	g w a ɾ i ð 'o
guariran	g w a ɾ i ɾ 'a n
guariras	g w a ɾ i ɾ 'a s
guarirem	g w a ɾ i ɾ 'ɛ m
guariren	g w a ɾ 'i ɾ e n
guarires	g w a ɾ 'i ɾ e s
guarireu	g w a ɾ i ɾ e 'u
guariria	g w a ɾ i ɾ 'i a
guariràs	g w a ɾ i ɾ 'a s
guarisca	g w a ɾ 'i s k a
guarisme	g w a ɾ 'i z m e
guarixen	g w a ɾ 'i tʃ e n
guarixes	g w a ɾ 'i tʃ e s
guarneix	g w a n 'ɛ j ʃ
guarneri	g w a n 'ɛ ɾ i
guarnesc	g w a n 'ɛ s k
guarnida	g w a n 'i ð a
guarniem	g w a ɾ n i 'ɛ m
guarnien	g w a ɾ n 'i e n
guarnies	g w a ɾ n 'i e s
guarnieu	g w a ɾ n 'i 'ɛ 'u
guarnint	g w a ɾ n 'i n
guarnira	g w a ɾ n 'i ɾ a
guarnire	g w a ɾ n 'i ɾ e
guarnirà	g w a ɾ n i ɾ 'a
guarniré	g w a ɾ n i ɾ 'e
guarnisc	g w a ɾ n 'i s k
guarnits	g w a ɾ n 'i t s
guarnixo	g w a n 'i tʃ o
guarníem	g w a ɾ n 'i e m
guarníeu	g w a ɾ n i e 'u
guarírem	g w a ɾ 'i ɾ e m
guaríreu	g w a ɾ i ɾ e 'u
guatambú	g w a t a m b 'u
guatlera	g w a t l 'e ɾ a
guatlles	g w 'a ʎ ʎ e s
guatllot	g w a ʎ ʎ 'ɔ t
guatlots	g w a t l 'ɔ t s
hurtagua	u ɾ t 'a ɣ u a
iguadont	i ɣ u a ð 'o n
igualada	i ɣ u a l 'a ð a
igualadi	i ɣ u a l 'a ð i
igualadí	i ɣ u a l a ð 'i
igualant	i ɣ u a l 'a n
igualara	i ɣ u a l 'a ɾ a
igualare	i ɣ u a l 'a ɾ e
igualarà	i ɣ u a l a ɾ 'a
igualaré	i ɣ u a l a ɾ 'e
igualats	i ɣ u a l 'a t s
igualava	i ɣ u a l 'a β a
igualona	i ɣ u a l 'o n a
igualons	i ɣ u a l 'o n s
igualtat	i ɣ u a l t 'a t
iguanids	i ɣ u a n 'i ð s
liguanes	l i ɣ u 'a n e s
linguada	l i ŋ g w 'a ð a
linguals	l i ŋ g w 'a l s
linguats	l i ŋ g w 'a t s
llenguat	ʎ e ŋ g w 'a t
macegual	m a s e ɣ u 'a l
malguany	m a l ɣ w 'a ɲ
oliaigua	o l i 'a i ɣ u a
paraigua	p a ɾ 'a i ɣ u a
parigual	p a ɾ i ɣ u 'a l
reguanya	r e ɣ u 'a ɲ a
reguanye	r e ɣ u 'a ɲ e
reguanyi	r e ɣ u 'a ɲ i
reguanyo	r e ɣ u 'a ɲ o
reguanyà	r e ɣ u a ɲ 'a
reguanyí	r e ɣ u a ɲ 'i
reguarda	r e ɣ u 'a ð a
Aiguaviva	a j ɣ u a β 'i β a
Capdaigua	k a p d 'a i ɣ u a
Dos Aguas	d 'o s   a ɣ 'u a s
Guadalest	g w a ð a l 'ɛ s t
Guadalupe	g w a ð a l 'u p e
Guanyador	g w a ɲ a ð 'o
Guardamar	g u a ð a m 'a
Guardiola	g w a ɾ d i 'ɔ l a
Guatemala	g w a t e m 'a l a
Masguaret	m a z ɣ u a ɾ 'ɛ t
Nicaragua	n i k a ɾ 'a ɣ u a
aguaitada	a ɣ u a i t 'a ð a
aguaitant	a ɣ u a i t 'a n
aguaitara	a ɣ u a i t 'a ɾ a
aguaitare	a ɣ u a i t 'a ɾ e
aguaitarà	a ɣ u a j t a ɾ 'a
aguaitaré	a ɣ u a j t a ɾ 'e
aguaitats	a ɣ u a i t 'a t s
aguaitava	a ɣ u a i t 'a β a
aguaneses	a ɣ u a n 'ɛ z e s
aguanesos	a ɣ u a n 'ɛ z o s
aguantada	a ɣ w a n t 'a ð a
aguantant	a ɣ w a n t 'a n
aguantara	a ɣ w a n t 'a ɾ a
aguantare	a ɣ w a n t 'a ɾ e
aguantarà	a ɣ w a n t a ɾ 'a
aguantaré	a ɣ w a n t a ɾ 'e
aguantats	a ɣ w a n t 'a t s
aguantava	a ɣ w a n t 'a β a
aigua-ros	a i ɣ u 'a ɾ o s
aigua-sal	a j ɣ u a z 'a l
aiguabata	a j ɣ u a β 'a t a
aiguabate	a j ɣ u a β 'a t e
aiguabati	a j ɣ u a β 'a t i
aiguabato	a j ɣ u a β 'a t o
aiguabats	a j ɣ u a β 'a t s
aiguabaté	a j ɣ u a β a t 'e
aiguabatí	a j ɣ u a β a t 'i
aiguacuit	a j ɣ u a k 'u j t
aiguadeix	a j ɣ u a ð 'ɛ j ʃ
aiguadera	a j ɣ u a ð 'e ɾ a
aiguaders	a j ɣ u a ð 'e s
aiguadura	a j ɣ u a ð 'u ɾ a
aiguafons	a j ɣ u a f 'o n s
aiguafort	a j ɣ u a f 'o t
aiguagoma	a j ɣ u a ɣ 'o m a
aigualada	a j ɣ u a l 'a ð a
aigualege	a j ɣ u a l 'ɛ ʒ e
aigualegi	a j ɣ u a l 'ɛ ʒ i
aigualegí	a j ɣ u a l e ʒ 'i
aigualeig	a j ɣ 'u a l 'ɛ 'i
aigualeix	a j ɣ u a l 'ɛ j ʃ
aigualeja	a j ɣ u a l 'ɛ ʒ a
aigualejo	a j ɣ u a l 'ɛ ʒ o
aigualejà	a j ɣ u a l e ʒ 'a
aigualera	a j ɣ u a l 'e ɾ a
aigualesc	a j ɣ u a l 'ɛ s k
aigualida	a j ɣ u a l 'i ð a
aigualiem	a j ɣ u a l i 'ɛ m
aigualien	a j ɣ u a l 'i e n
aigualies	a j ɣ u a l 'i e s
aigualieu	a j ɣ u a l 'i 'ɛ 'u
aigualint	a j ɣ u a l 'i n
aigualira	a j ɣ u a l 'i ɾ a
aigualire	a j ɣ u a l 'i ɾ e
aigualirà	a j ɣ u a l i ɾ 'a
aigualiré	a j ɣ u a l i ɾ 'e
aigualisc	a j ɣ u a l 'i s k
aigualits	a j ɣ u a l 'i t s
aigualixo	a j ɣ u a l 'i k s o
aigualosa	a j ɣ u a l 'o z a
aigualíem	a j ɣ u a l 'i e m
aigualíeu	a j ɣ u a l 'i e u
aiguamans	a j ɣ u a m 'a n s
aiguamels	a j ɣ u a m 'ɛ l s
aiguamoix	a j ɣ u a m 'o tʃ
aiguamoll	a j ɣ u a m 'o ʎ
aiguamort	a j ɣ u a m 'o t
aiguanafs	a j ɣ u a n 'a f s
aiguanaix	a j ɣ u a n 'a j ʃ
aiguaneix	a j ɣ u a n 'ɛ j ʃ
aiguaneus	a j ɣ 'u a n 'ɛ 'u s
aiguapoll	a j ɣ u a p 'o ʎ
aiguarras	a i ɣ u 'a r a s
aiguarràs	a j ɣ u a r 'a s
aiguatges	a i ɣ u 'a dʒ e s
aiguavent	a j ɣ u a β 'e n
aiguavivà	a j ɣ u a β i β 'a
alguatzil	a l ɣ u a d z 'i l
anguarina	a ŋ g w a ɾ 'i n a
anguatibs	a ŋ g w a t 'i p s
biguanida	b i ɣ u a n 'i ð a
caguanets	k a ɣ w a n 'ɛ t s
calaguala	k a l a ɣ u 'a l a
capguarda	k a p ɣ u 'a ð a
capguarde	k a p ɣ u 'a ð e
capguardi	k a p ɣ u 'a ɾ ð i
capguardo	k a p ɣ u 'a ð o
capguardà	k a p ɣ u a ð 'a
capguardí	k a p ɣ u a ð 'i
conguaita	k o ŋ g u 'a j t a
dalguaire	d a l ɣ u 'a j ɾ e
desaiguam	d e z a i ɣ u 'a m
desaiguar	d e z a i ɣ u 'a
desaiguas	d e z a i ɣ u 'a s
desaiguat	d e z a i ɣ u 'a t
desaiguau	d e z a i ɣ u 'a
desguarni	d e z ɣ u 'a ɾ n i
desguarní	d e z ɣ u a n 'i
desguassa	d e z ɣ u 'a s a
desguasse	d e z ɣ u 'a s e
desguassi	d e z ɣ u 'a s i
desguasso	d e z ɣ u 'a s o
desguassà	d e z ɣ u a s 'a
desguassí	d e z ɣ u a s 'i
desiguala	d e z i ɣ u 'a l a
desiguale	d e z i ɣ u 'a l e
desiguali	d e z i ɣ u 'a l i
desigualo	d e z i ɣ u 'a l o
desiguals	d e z i ɣ u 'a l s
desigualà	d e z i ɣ u a l 'a
desigualí	d e z i ɣ u a l 'i
eguassada	e ɣ u a s 'a ð a
eguassera	e ɣ u a s 'e ɾ a
eguassers	e ɣ u a s 'e s
eixaguada	e j ʃ a ɣ u 'a ð a
eixaguall	e j ʃ a ɣ u 'a ʎ
eixaguant	e j ʃ a ɣ u 'a n
eixaguarà	e j ʃ a ɣ u a ɾ 'a
eixaguaré	'e j ʃ a ɣ u 'a ɾ 'e
eixaguats	e j ʃ a ɣ u 'a t s
eixaguava	e j ʃ a ɣ u 'a β a
enaiguada	a n a i ɣ u 'a ð a
enaiguant	a n a i ɣ u 'a n
enaiguara	a n a i ɣ u 'a ɾ a
enaiguare	a n a i ɣ u 'a ɾ e
enaiguarà	a n a i ɣ u a ɾ 'a
enaiguaré	a n a 'i ɣ 'u a ɾ 'e
enaiguats	a n a i ɣ u 'a t s
enaiguava	a n a i ɣ u 'a β a
enguantam	a ŋ g w a n t 'a m
enguantar	a ŋ g w a n t 'a
enguantas	a ŋ g w 'a n t a s
enguantat	a ŋ g w a n t 'a t
enguantau	a ŋ g w a n t 'a u
enguantem	a ŋ g w a n t 'ɛ m
enguanten	a ŋ g w 'a n t e n
enguantes	a ŋ g w 'a n t e s
enguanteu	a ŋ g w a n t 'ɛ u
enguantin	a ŋ g w 'a n t i n
enguantis	a ŋ g w 'a n t i s
enguantés	a ŋ g w a n t 'e s
ennaiguar	a n n a i ɣ u 'a
esguardam	a z ɣ u a ð 'a m
esguardar	a z ɣ u a ð 'a
esguardas	a z ɣ u 'a ð a s
esguardat	a z ɣ u a ð 'a t
esguardau	a z ɣ u a d 'a u
esguardem	a z ɣ u a d 'ɛ m
esguarden	a z ɣ u 'a ð e n
esguardes	a z ɣ u 'a ð e s
esguardeu	a z ɣ u 'a d 'ɛ 'u
esguardin	a z ɣ u 'a ɾ ð i n
esguardis	a z ɣ u 'a ɾ ð i s
esguardés	a z ɣ u a d 'e s
guacamais	g w a k a m 'a i s
guacamole	g w a k a m 'ɔ l e
guadalupà	g w a ð a l u p 'a
guadianés	g w a ð i a n 'e s
guaiabers	g w a i a β 'e s
guaiacols	g w a i a k 'ɔ l s
guaianesa	g w a j a n 'ɛ z a
guaicurús	g w a j k u ɾ 'u s
guaitades	g w a i t 'a ð e s
guaitaran	g w a j t a ɾ 'a n
guaitaras	g w a i t 'a ɾ a s
guaitarem	g w a j t a ɾ 'ɛ m
guaitaren	g w a i t 'a ɾ e n
guaitares	g w a i t 'a ɾ e s
guaitareu	g w a j t a ɾ e 'u
guaitaria	g w a j t a ɾ 'i a
guaitaràs	g w a j t a ɾ 'a s
guaitavem	g w a j t a β 'ɛ m
guaitaven	g w a i t 'a β e n
guaitaves	g w a i t 'a β e s
guaitaveu	g w a j t a β e 'u
guaitxins	g w a i tʃ 'i n s
guaitàrem	g w a i t 'a ɾ e m
guaitàreu	g w a i t 'a ɾ e u
guaitàvem	g w a i t 'a β e m
guaitàveu	g w a i t a β e 'u
guaixades	g w a j ʃ 'a ð e s
guaixaran	g w a j ʃ a ɾ 'a n
guaixaras	g w a j ʃ 'a ɾ a s
guaixarem	g w a j ʃ a ɾ 'ɛ m
guaixaren	g w a j ʃ 'a ɾ e n
guaixares	g w a j ʃ 'a ɾ e s
guaixareu	g w a j ʃ a ɾ e 'u
guaixaria	g w a j ʃ a ɾ 'i a
guaixaràs	g w a j ʃ a ɾ 'a s
guaixavem	g w a j ʃ a β 'ɛ m
guaixaven	g w a j ʃ 'a β e n
guaixaves	g w a j ʃ 'a β e s
guaixaveu	g w a j ʃ a β e 'u
guaixàrem	g w a j ʃ 'a ɾ e m
guaixàreu	g w a j ʃ 'a ɾ e u
guaixàvem	g w a j ʃ 'a β e m
guaixàveu	g w a j ʃ a β e 'u
gualatina	g w a l a t 'i n a
gualbenca	g w a l β 'e ŋ a
gualbencs	g w a l β 'e ŋ s
gualdrapa	g w a l d ɾ 'a p a
gualtenca	g w a l t 'e ŋ a
gualtencs	g w a l t 'e ŋ s
guanabana	g w a n a β 'a n a
guanidina	g w a n i ð 'i n a
guanidini	g w a n i ð 'i n i
guanilats	g w a n i l 'a t s
guanosina	g w a n o z 'i n a
guantades	g w a n t 'a ð e s
guanteres	g w a n t 'e ɾ e s
guanteria	g w a n t e ɾ 'i a
guanyades	g w a ɲ 'a ð e s
guanyador	g w a ɲ a ð 'o
guanyaran	g w a ɲ a ɾ 'a n
guanyaras	g w a ɲ 'a ɾ a s
guanyarem	g w a ɲ a ɾ 'ɛ m
guanyaren	g w a ɲ 'a ɾ e n
guanyares	g w a ɲ 'a ɾ e s
guanyareu	g w a ɲ a ɾ e 'u
guanyaria	g w a ɲ a ɾ 'i a
guanyaràs	g w a ɲ a ɾ 'a s
guanyavem	g w a ɲ a β 'ɛ m
guanyaven	g w a ɲ 'a β e n
guanyaves	g w a ɲ 'a β e s
guanyaveu	g w a ɲ a β e 'u
guanyàrem	g w a ɲ 'a ɾ e m
guanyàreu	g w a ɲ 'a ɾ e u
guanyàvem	g w a ɲ 'a β e m
guanyàveu	g w a ɲ a β e 'u
guanàbana	g w a n 'a β a n a
guapíssim	g w a p 'i s i m
guaraches	g w a ɾ 'a s e s
guaranans	g w a ɾ a n 'a n s
guardades	g u a ð 'a ð e s
guardador	g u a ð a ð 'o
guardafoc	g u a ð a f 'ɔ k
guardafum	g u a ð a f 'u m
guardamic	g u a ð a m 'i k
guardanas	g u a ð 'a n a s
guardanàs	g w a ɾ ð a n 'a s
guardapeu	g u 'a ð a p 'ɛ 'u
guardapit	g u a ð a p 'i t
guardaran	g u a ð a ɾ 'a n
guardaras	g u a ð 'a ɾ a s
guardarem	g u a ð a ɾ 'ɛ m
guardaren	g u a ð 'a ɾ e n
guardares	g u a ð 'a ɾ e s
guardareu	g u 'a ð a ɾ 'ɛ 'u
guardaria	g u a ð a ɾ 'i a
guardaràs	g u a ð a ɾ 'a s
guardavem	g u a ð a β 'ɛ m
guardaven	g u a ð 'a β e n
guardaves	g u a ð 'a β e s
guardaveu	g u 'a ð a β 'ɛ 'u
guardavia	g u a ð a β 'i a
guarderia	g u a ð e ɾ 'i a
guardessa	g w a ɾ d 'e s a
guardiana	g w a ɾ d i 'a n a
guardians	g w a ɾ d i 'a n s
guardiola	g w a ɾ d i 'ɔ l a
guardonam	g u a ð o n 'a m
guardonar	g u a ð o n 'a
guardonas	g u a d 'ɔ n a s
guardonat	g u a ð o n 'a t
guardonau	g u 'a ð o n 'a 'u
