big	b 'i tʃ }
Guarner	g w ə ɾ n 'e }
Laguart	l ə ɣ u 'a ɾ t }
Managua	m ə n 'a ɣ ə }
Mengual	m ə ŋ g w 'a l }
Reguant	r ə ɣ u 'a n t }
Reguard	r ə ɣ u 'a ɾ ə }
Uruguai	u ɾ u ɣ u 'a i }
abargua	ə β 'a ɾ ɣ u ə }
aguades	ə ɣ u 'a ð ə s }
aguaita	ə ɣ u 'a j t ə }
aguaite	ə ɣ u 'a j t ə }
aguaiti	ə ɣ u 'a j t i }
aguaito	ə ɣ u 'a j t o }
aguaits	ə ɣ u ə 'i t s }
aguaità	ə ɣ u ə j t 'a }
aguaití	ə ɣ u ə j t 'i }
aguaitó	ə ɣ u ə j t 'o }
aguanta	ə ɣ u 'a n t ə }
aguante	ə ɣ u 'a n t ə }
aguanti	ə ɣ u 'a n t i }
aguanto	ə ɣ u 'a n t o }
aguants	ə ɣ u 'a n s }
aguantà	ə ɣ u ə n t 'a }
aguantí	ə ɣ u ə n t 'i }
aguanés	ə ɣ u ə n 'e s }
aguaran	ə ɣ u ə ɾ 'a n }
aguaras	ə ɣ u 'a ɾ ə s }
aguarem	ə ɣ ə ɾ 'e m }
aguaren	ə ɣ u 'a ɾ ə n }
aguares	ə ɣ u 'a ɾ ə s }
aguareu	ə ɣ u ə ɾ 'ə w }
aguaria	ə ɣ u ə ɾ 'i ə }
aguaràs	ə ɣ u ə ɾ 'a s }
aguasil	ə ɣ u ə z 'i l }
aguavem	ə ɣ u ə v 'e m }
aguaven	ə ɣ u 'a v ə n }
aguaves	ə ɣ u 'a v ə s }
aguaveu	ə ɣ u ə v 'ə w }
aiguada	ə j ɣ u 'a ð ə }
aiguadé	ə j ɣ u ə ð 'e }
aiguali	ə j ɣ u 'a l i }
aiguall	ə j ɣ u 'a ʎ }
aiguals	ə j ɣ u 'a l s }
aigualí	ə j ɣ u ə l 'i }
aiguats	ə j ɣ u 'a t s }
ambigua	ə m b 'i ɣ u ə }
antigua	ə n t 'i ɣ u ə }
ayguals	ə ŋ g w 'a l s }
baguala	b ə ɣ u 'a l ə }
desguas	d ə z ɣ u 'a s }
eixagua	ə ʃ ə ɣ 'u ə }
enaigua	ə n 'a i ɣ u ə }
enguant	ə ŋ g w 'a n t }
enguany	ə ŋ g w 'a ɲ }
esguard	ə z ɣ u 'a ɾ ə }
guadall	g w ə ð 'a ʎ }
guaiaba	g w ə j 'a β ə }
guaiacs	g w ə j 'a t s }
guaires	g w 'a j ɾ ə s }
guaitam	g w ə i t 'a m }
guaitar	g w ə i t 'a }
guaitas	g w 'a j t ə s }
guaitat	g w ə i t 'a t }
guaitau	g w ə i t 'a w }
guaitem	g w ə j t 'e m }
guaiten	g w 'a j t ə n }
guaites	g w 'a j t ə s }
guaiteu	g w ə j t 'ɛ w }
guaitin	g w 'a i t i n }
guaitis	g w 'a j t i s }
guaitxí	g w ə j tʃ 'i }
guaités	g w ə j t 'e s }
guaixam	g w ə ʃ 'a m }
guaixar	g w ə ʃ 'a }
guaixas	g w 'a ʃ ə s }
guaixat	g w ə ʃ 'a t }
guaixau	g w ə ʃ 'a w }
guaixem	g w ə ʃ 'e m }
guaixen	g w 'a ʃ ə n }
guaixes	g w 'a ʃ ə s }
guaixeu	g w ə ʃ 'ɛ w }
guaixin	g w 'a ʃ i n }
guaixis	g w 'a ʃ i s }
guaixos	g w 'a ʃ o s }
guaixés	g w ə ʃ 'e s }
guajira	g w ə ʒ 'i ɾ ə }
gualbes	g w 'a l β ə s }
gualosa	g w ə l 'o z ə }
guanacs	g w ə n 'a t s }
guanera	g w ə n 'e ɾ ə }
guanina	g w ə n 'i n ə }
guanter	g w ə n t 'e }
guanxes	g w 'a n ʃ ə s }
guanyam	g w ə ɲ 'a m }
guanyar	g w ə ɲ 'a }
guanyas	g w 'a ɲ ə s }
guanyat	g w ə ɲ 'a t }
guanyau	g w ə ɲ 'a w }
guanyem	g w ə ɲ 'e m }
guanyen	g w 'a ɲ ə n }
guanyes	g w 'a ɲ ə s }
guanyeu	g w ə ɲ 'ɛ w }
guanyin	g w 'a ɲ i n }
guanyis	g w 'a ɲ i s }
guanyés	g w ə ɲ 'e s }
guapesa	g w ə p 'e z ə }
guapeta	g w ə p 'e t ə }
guapets	g w ə p 'e t s }
guapors	g w ə p 'o s }
guaques	g w 'a k ə s }
guarana	g w ə ɾ 'a n ə }
guarani	g w ə ɾ 'a n i }
guarans	g w ə ɾ 'a n s }
guaranà	g w ə ɾ ə n 'a }
guaraní	g w ə ɾ ə n 'i }
guarapo	g w ə ɾ 'a p o }
guardam	g w ə ɾ ð 'a m }
guardar	g w ə ɾ ð 'a }
guardas	g w 'a ɾ ð ə s }
guardat	g w ə ɾ ð 'a t }
guardau	g w ə ɾ ð 'a w }
guardem	g w ə ɾ ð 'e m }
guarden	g w 'a ɾ ð ə n }
guardes	g w 'a ɾ ð ə s }
guardeu	g w ə ɾ ð 'ɛ w }
guardia	g w ə ɾ ð 'i ə }
guardin	g w 'a ɾ ð i n }
guardis	g w 'a ɾ ð i s }
guardià	g w ə ɾ ð i 'a }
guardon	g w ə ɾ ð 'o n }
guardés	g w ə ɾ ð 'e s }
guareix	g w ə ɾ 'e ʃ }
guaresc	g w ə ɾ 'ə s k }
guareta	g w ə ɾ 'e t ə }
guarete	g w ə ɾ 'ə t ə }
guareti	g w ə ɾ 'ə t i }
guareto	g w ə ɾ 'ə t o }
guarets	g w ə ɾ 'e t s }
guaretà	g w ə ɾ ə t 'a }
guaretí	g w ə ɾ ə t 'i }
guaretó	g w ə ɾ ə t 'o }
guarida	g w ə ɾ 'i ð ə }
guariem	g w ə ɾ i 'e m }
guarien	g w ə ɾ 'i ə n }
guaries	g w ə ɾ 'i ə s }
guarieu	g w ə ɾ i 'ɛ w }
guarini	g w ə ɾ 'i n i }
guarino	g w ə ɾ 'i n o }
guarint	g w ə ɾ 'i n t }
guarira	g w ə ɾ 'i ɾ ə }
guarire	g w ə ɾ 'i ɾ ə }
guarirà	g w ə ɾ i ɾ 'a }
guariré	g w ə ɾ i ɾ 'e }
guarisc	g w ə ɾ 'i s k }
guarits	g w ə ɾ 'i t s }
guarixo	g w ə ɾ 'i ʃ o }
guarnes	g w 'a ɾ n ə s }
guarnia	g w ə ɾ n 'i ə }
guarnim	g w ə ɾ n 'i m }
guarnir	g w ə ɾ n 'i }
guarnis	g w 'a ɾ n i s }
guarnit	g w ə ɾ n 'i t }
guarniu	g w ə ɾ n 'i w }
guarnix	g w ə ɾ n 'i }
guarnís	g w ə ɾ n 'i s }
guaríem	g w ə ɾ 'i ə m }
guaríeu	g w ə ɾ 'i ə w }
guaspes	g w 'a s p ə s }
guatles	g w 'a b b l ə s }
guatlla	g w 'a ʎ ʎ ə }
guatlot	g w ə t l 'ɔ t }
igualam	i ɣ u ə l 'a m }
igualar	i ɣ u ə l 'a }
igualas	i ɣ u 'a l ə s }
igualat	i ɣ u ə l 'a t }
igualau	i ɣ u ə l 'a w }
igualem	i ɣ u ə l 'e m }
igualen	i ɣ u 'a l ə n }
iguales	i ɣ u 'a l ə s }
igualeu	i ɣ u ə l 'ə w }
igualin	i ɣ u 'a l i n }
igualis	i ɣ u 'a l i s }
igualés	i ɣ u ə l 'e s }
iguanes	i ɣ u 'a n ə s }
iguanid	i ɣ u ə n 'i ð }
jaguars	ʒ ə ɣ 'a s }
liguana	l i ɣ u 'a n ə }
liguans	l i ɣ u 'a n s }
lingual	l i ŋ g w 'a l }
linguat	l i ŋ g w 'a t }
llengua	ʎ 'ə ŋ g w ə }
macagua	m ə k 'a ɣ ə }
manigua	m ə n 'i ɣ u ə }
miragua	m i ɾ 'a ɣ u ə }
paguaga	p ə ɣ u 'a ɣ ə }
patagua	p ə t 'a ɣ ə }
piragua	p i ɾ 'a ɣ u ə }
reguany	r ə ɣ w 'a ɲ }
reguard	r ə ɣ u 'a ɾ ə }
Aiguader	ə j ɣ u ə ð 'e }
Alguaire	ə l ɣ u 'a j ɾ ə }
Amengual	ə m ə ŋ g w 'a l }
Araguaia	ə ɾ ə ɣ u 'a j ə }
Delaigua	d ə l 'a j ɣ u ə }
Guadalop	g w ə ð ə l 'ɔ p }
Guadiana	g w ə ð i 'a n ə }
Gualbert	g w ə l β 'ɛ ɾ t }
Guarines	g w ə ɾ 'i n ə s }
Igualada	i ɣ u ə l 'a ð ə }
Laguarda	l ə ɣ u 'a ɾ ð ə }
Maraguat	m ə ɾ ə ɣ 'a t }
Paraguai	p ə ɾ ə ɣ u 'a i }
Regualta	r ə ɣ u 'a l t ə }
Titaguas	t i t 'a ɣ ə s }
aguaitam	ə ɣ u ə j t 'a m }
aguaitar	ə ɣ u ə i t 'a }
aguaitas	ə ɣ u 'a j t ə s }
aguaitat	ə ɣ u ə i t 'a t }
aguaitau	ə ɣ u ə j t 'a w }
aguaitem	ə ɣ u ə j t 'e m }
aguaiten	ə ɣ u 'a j t ə n }
aguaites	ə ɣ u 'a j t ə s }
aguaiteu	ə ɣ u ə j t 'ɛ w }
aguaitin	ə ɣ u 'a i t i n }
aguaitis	ə ɣ u 'a j t i s }
aguaités	ə ɣ u ə j t 'e s }
aguanesa	ə ɣ u ə n 'e z ə }
aguantam	ə ɣ u ə n t 'a m }
aguantar	ə ɣ u ə n t 'a }
aguantas	ə ɣ u 'a n t ə s }
aguantat	ə ɣ u ə n t 'a t }
aguantau	ə ɣ u ə n t 'a w }
aguantem	ə ɣ u ə n t 'e m }
aguanten	ə ɣ u 'a n t ə n }
aguantes	ə ɣ u 'a n t ə s }
aguanteu	ə ɣ u ə n t 'ɛ w }
aguantin	ə ɣ u 'a n t i n }
aguantis	ə ɣ u 'a n t i s }
aguantés	ə ɣ u ə n t 'e s }
aguariem	ə ɣ u ə ɾ i 'e m }
aguarien	ə ɣ u ə ɾ 'i ə n }
aguaries	ə ɣ u ə ɾ 'i ə s }
aguarieu	ə ɣ u ə ɾ i 'ɛ w }
aguaríem	ə ɣ u ə ɾ 'i ə m }
aguaríeu	ə ɣ u ə ɾ 'i ə w }
aguasils	ə ɣ u ə z 'i l s }
aguassem	ə ɣ u ə s 'e m }
aguassen	ə ɣ 'a s ə n }
aguasses	ə ɣ 'a s ə s }
aguasseu	ə ɣ u ə s 'ɛ w }
aguassim	ə ɣ u ə s 'i m }
aguassin	ə ɣ 'a s i n }
aguassis	ə ɣ 'a s i s }
aguassiu	ə ɣ u ə s 'i w }
aiguabat	ə j ɣ u ə β 'a t }
aiguader	ə j ɣ u ə ð 'e }
aiguades	ə j ɣ u 'a ð ə s }
aiguagim	ə j ɣ u ə ʒ 'i m }
aigualia	ə j ɣ u ə l 'i ə }
aigualim	ə j ɣ u ə l 'i m }
aigualir	ə j ɣ u ə l 'i }
aigualis	ə j ɣ u 'a l i s }
aigualit	ə j ɣ u ə l 'i t }
aigualiu	ə j ɣ u ə l 'i w }
aigualix	ə j ɣ u ə l 'i }
aigualls	ə j ɣ u 'a ʎ s }
aigualos	ə j ɣ u 'a l o s }
aigualís	ə j ɣ u ə l 'i s }
aigualós	ə j ɣ u ə l 'o s }
aiguamel	ə j ɣ u ə m 'ɛ l }
aiguanaf	ə j ɣ u ə n 'a f }
aiguaneu	ə j ɣ u ə n 'ə w }
aiguasos	ə j ɣ u 'a z o s }
aiguatge	ə j ɣ u 'a dʒ ə }
aiguaves	ə j ɣ u 'a v ə s }
aiguavés	ə j ɣ u ə v 'e s }
allargua	ə ʎ 'a ɾ ɣ u ə }
anguatib	ə ŋ g w ə t 'i β }
baguales	b ə ɣ u 'a l ə s }
caguanet	k ə ɣ ə n 'e t }
capguard	k ə p ɣ u 'a ɾ ə }
cassogua	k ə s 'ɔ ɣ u ə }
contigua	k o n t 'i ɣ u ə }
còssigua	k 'ɔ s i ɣ ə }
desaigua	d ə z 'a i ɣ u ə }
desguaix	d ə z ɣ u 'a ʃ }
desigual	d ə z i ɣ u 'a l }
domingua	d o m 'i ŋ g w ə }
eguasser	ə ɣ u ə s 'e }
eixaguar	ə ʃ ə ɣ 'a }
eixaguat	ə ʃ ə ɣ u 'a t }
enaiguam	ə n ə j ɣ u 'a m }
enaiguar	ə n ə j ɣ u 'a }
enaiguas	ə n ə i ɣ u 'a s }
enaiguat	ə n ə j ɣ u 'a t }
enaiguau	ə n ə j ɣ u 'a w }
endergua	ə n d ə ɾ ɣ 'u ə }
enguanta	ə ŋ g w 'a n t ə }
enguante	ə ŋ g w 'a n t ə }
enguanti	ə ŋ g w 'a n t i }
enguanto	ə ŋ g w 'a n t o }
enguantà	ə ŋ g w ə n t 'a }
enguantí	ə ŋ g w ə n t 'i }
esguarda	ə z ɣ u 'a ɾ ð ə }
esguarde	ə z ɣ u 'a ɾ ð ə }
esguardi	ə z ɣ u 'a ɾ ð i }
esguardo	ə z ɣ u 'a ɾ ð o }
esguards	ə z ɣ u 'a ɾ t s }
esguardà	ə z ɣ u ə ɾ ð 'a }
esguardí	ə z ɣ u ə ɾ ð 'i }
guacamai	g w ə k ə m 'a j }
guadamir	g w ə ð ə m 'i }
guaiaber	g w ə j ə β 'e }
guaiabes	g w ə j 'a β ə s }
guaiacol	g w ə i ə k 'ɔ l }
guaianès	g w ə j ə n 'ə s }
guaianés	g w ə j ə n 'e s }
guaicurú	g w ə j k u ɾ 'u }
guaimins	g w ə i m 'i n s }
guaitada	g w ə i t 'a ð ə }
guaitant	g w ə i t 'a n t }
guaitara	g w ə i t 'a ɾ ə }
guaitare	g w ə i t 'a ɾ ə }
guaitarà	g w ə j t ə ɾ 'a }
guaitaré	g w ə j t ə ɾ 'e }
guaitats	g w ə i t 'a t s }
guaitava	g w ə i t 'a v ə }
guaixada	g w ə ʃ 'a ð ə }
guaixant	g w ə ʃ 'a n t }
guaixara	g w ə ʃ 'a ɾ ə }
guaixare	g w ə ʃ 'a ɾ ə }
guaixarà	g w ə ʃ ə ɾ 'a }
guaixaré	g w ə ʃ ə ɾ 'e }
guaixats	g w ə ʃ 'a t s }
guaixava	g w ə ʃ 'a v ə }
guajires	g w ə ʒ 'i ɾ ə s }
gualbenc	g w ə l β 'e ŋ k }
gualoses	g w ə l 'o z ə s }
gualosos	g w ə l 'o z o s }
gualtenc	g w ə l t 'e ŋ k }
gualterí	g w ə l t ə ɾ 'i }
gualteró	g w ə l t ə ɾ 'o }
guaneres	g w ə n 'e ɾ ə s }
guanilat	g w ə n i l 'a t }
guanines	g w ə n 'i n ə s }
guantada	g w ə n t 'a ð ə }
guantera	g w ə n t 'e ɾ ə }
guanters	g w ə n t 'e s }
guanyada	g w ə ɲ 'a ð ə }
guanyant	g w ə ɲ 'a n t }
guanyapa	g w ə ɲ 'a p ə }
guanyapà	g w ə ɲ ə p 'a }
guanyara	g w ə ɲ 'a ɾ ə }
guanyare	g w ə ɲ 'a ɾ ə }
guanyarà	g w ə ɲ ə ɾ 'a }
guanyaré	g w ə ɲ ə ɾ 'e }
guanyats	g w ə ɲ 'a t s }
guanyava	g w ə ɲ 'a v ə }
guanílic	g w ə n 'i l i k }
guaperes	g w ə p 'e ɾ ə s }
guaperia	g w ə p ə ɾ 'i ə }
guapetes	g w ə p 'e t ə s }
guaracha	g w ə ɾ 'a k ə }
guaranas	g w ə ɾ 'a n ə s }
guaraner	g w ə ɾ ə n 'e }
guaranis	g w ə ɾ 'a n i s }
guaranàs	g w ə ɾ ə n 'a s }
guaranís	g w ə ɾ ə n 'i s }
guarapos	g w ə ɾ 'a p o s }
guardada	g w ə ɾ ð 'a ð ə }
guardama	g w ə ɾ ð 'a m ə }
guardamà	g w ə ɾ ð ə m 'a }
guardant	g w ə ɾ ð 'a n t }
guardara	g w ə ɾ ð 'a ɾ ə }
guardare	g w ə ɾ ð 'a ɾ ə }
guardarà	g w ə ɾ ð ə ɾ 'a }
guardaré	g w ə ɾ ð ə ɾ 'e }
guardats	g w ə ɾ ð 'a t s }
guardava	g w ə ɾ ð 'a v ə }
guardies	g w ə ɾ ð 'i ə s }
guardini	g w ə ɾ ð 'i n i }
guardins	g w ə ɾ ð 'i n s }
guardona	g w ə ɾ ð 'o n ə }
guardone	g w ə ɾ ð 'ɔ n ə }
guardoni	g w ə ɾ ð 'o n i }
guardono	g w ə ɾ ð 'o n o }
guardons	g w ə ɾ ð 'o n s }
guardonà	g w ə ɾ ð o n 'a }
guardoní	g w ə ɾ ð o n 'i }
guareixi	g w ə ɾ 'ɛ ʃ i }
guareixo	g w ə ɾ 'e ʃ o }
guaresca	g w ə ɾ 'ə s k ə }
guaretam	g w ə ɾ ə t 'a m }
guaretar	g w ə ɾ ə t 'a }
guaretas	g w ə ɾ 'ə t ə s }
guaretat	g w ə ɾ ə t 'a t }
guaretau	g w ə ɾ ə t 'a w }
guaretem	g w ə ɾ ə t 'e m }
guareten	g w ə ɾ 'e t ə n }
guaretes	g w ə ɾ 'e t ə s }
guareteu	g w ə ɾ ə t 'ɛ w }
guaretin	g w ə ɾ 'ɛ t i n }
guaretis	g w ə ɾ 'ə t i s }
guaretés	g w ə ɾ ə t 'e s }
guarible	g w ə ɾ 'i b b l ə }
guaricio	g w ə ɾ i s 'i o }
guarició	g w ə ɾ i s i 'o }
guarides	g w ə ɾ 'i ð ə s }
guaridor	g w ə ɾ i ð 'o }
guariran	g w ə ɾ i ɾ 'a n }
guariras	g w ə ɾ 'i ɾ ə s }
guarirem	g w ə ɾ i ɾ 'e m }
guariren	g w ə ɾ 'i ɾ ə n }
guarires	g w ə ɾ 'i ɾ ə s }
guarireu	g w ə ɾ i ɾ 'ə w }
guariria	g w ə ɾ i ɾ 'i ə }
guariràs	g w ə ɾ i ɾ 'a s }
guarisca	g w ə ɾ 'i s k ə }
guarisme	g w ə ɾ 'i z m ə }
guarixen	g w ə ɾ 'i ʃ ə n }
guarixes	g w ə ɾ 'i ʃ ə s }
guarneix	g w ə ɾ n 'e ʃ }
guarneri	g w ə ɾ n 'ɛ ɾ i }
guarnesc	g w ə ɾ n 'ə s k }
guarnida	g w ə ɾ n 'i ð ə }
guarniem	g w ə ɾ n i 'e m }
guarnien	g w ə ɾ n 'i ə n }
guarnies	g w ə ɾ n 'i ə s }
guarnieu	g w ə ɾ n i 'ə w }
guarnint	g w ə ɾ n 'i n t }
guarnira	g w ə ɾ n 'i ɾ ə }
guarnire	g w ə ɾ n 'i ɾ ə }
guarnirà	g w ə ɾ n i ɾ 'a }
guarniré	g w ə ɾ n i ɾ 'e }
guarnisc	g w ə ɾ n 'i s k }
guarnits	g w ə ɾ n 'i t s }
guarnixo	g w ə ɾ n 'i ʃ o }
guarníem	g w ə ɾ n 'i ə m }
guarníeu	g w ə ɾ n 'i ə w }
guarírem	g w ə ɾ 'i ɾ ə m }
guaríreu	g w ə ɾ 'i ɾ ə w }
guatambú	g w ə t ə m b 'u }
guatlera	g w ə ʎ 'e ɾ ə }
guatlles	g w 'a ʎ ʎ ə s }
guatllot	g w ə ʎ ʎ 'ɔ t }
guatlots	g w ə t l 'ɔ t s }
hurtagua	u ɾ t 'a ɣ ə }
iguadont	i ɣ u ə ð 'o n t }
igualada	i ɣ u ə l 'a ð ə }
igualadi	i ɣ u ə l 'a ð i }
igualadí	i ɣ u ə l ə ð 'i }
igualant	i ɣ u ə l 'a n t }
igualara	i ɣ u ə l 'a ɾ ə }
igualare	i ɣ u ə l 'a ɾ ə }
igualarà	i ɣ u ə l ə ɾ 'a }
igualaré	i ɣ u ə l ə ɾ 'e }
igualats	i ɣ u ə l 'a t s }
igualava	i ɣ u ə l 'a v ə }
igualona	i ɣ u ə l 'o n ə }
igualons	i ɣ u ə l 'o n s }
igualtat	i ɣ u ə l t 'a t }
iguanids	i ɣ u ə n 'i t s }
liguanes	l i ɣ u 'a n ə s }
linguada	l i ŋ g w 'a ð ə }
linguals	l i ŋ g w 'a l s }
linguats	l i ŋ g w 'a t s }
llenguat	ʎ ə ŋ g w 'a t }
macegual	m ə s ə ɣ u 'a l }
malguany	m ə l ɣ w 'a ɲ }
oliaigua	o l i 'a i ɣ u ə }
paraigua	p ə ɾ 'a i ɣ u ə }
parigual	p ə ɾ i ɣ u 'a l }
reguanya	r ə ɣ w 'a ɲ ə }
reguanye	r ə ɣ w 'a ɲ ə }
reguanyi	r ə ɣ w 'a ɲ i }
reguanyo	r ə ɣ w 'a ɲ o }
reguanyà	r ə ɣ u ə ɲ 'a }
reguanyí	r ə ɣ u ə ɲ 'i }
reguarda	r ə ɣ u 'a ɾ ð ə }
Aiguaviva	ə j ɣ u ə v 'i v ə }
Capdaigua	k ə p ð 'a i ɣ u ə }
Dos Aguas	d 'o s } a ɣ 'u ə s }
Guadalest	g w ə ð ə l 'ə s t }
Guadalupe	g w ə ð ə l 'u p ə }
Guanyador	g w ə ɲ ə ð 'o }
Guardamar	g w ə ɾ ð ə m 'a }
Guardiola	g w ə ɾ ð i 'ɔ l ə }
Guatemala	g w ə t ə m 'a l ə }
Masguaret	m ə z ɣ u ə ɾ 'e t }
Nicaragua	n i k ə ɾ 'a ɣ u ə }
aguaitada	ə ɣ u ə j t 'a ð ə }
aguaitant	ə ɣ u ə j t 'a n t }
aguaitara	ə ɣ u ə i t 'a ɾ ə }
aguaitare	ə ɣ u ə i t 'a ɾ ə }
aguaitarà	ə ɣ u ə j t ə ɾ 'a }
aguaitaré	ə ɣ u ə j t ə ɾ 'e }
aguaitats	ə ɣ u ə i t 'a t s }
aguaitava	ə ɣ u ə j t 'a v ə }
aguaneses	ə ɣ u ə n 'e s ə s }
aguanesos	ə ɣ u ə n 'e z o s }
aguantada	ə ɣ u ə n t 'a ð ə }
aguantant	ə ɣ u ə n t 'a n t }
aguantara	ə ɣ u ə n t 'a ɾ ə }
aguantare	ə ɣ u ə n t 'a ɾ ə }
aguantarà	ə ɣ u ə n t ə ɾ 'a }
aguantaré	ə ɣ u ə n t ə ɾ 'e }
aguantats	ə ɣ u ə n t 'a t s }
aguantava	ə ɣ u ə n t 'a v ə }
aigua-ros	ə j ɣ u 'a ɾ o s }
aigua-sal	ə j ɣ u ə z 'a l }
aiguabata	ə j ɣ u ə β 'a t ə }
aiguabate	ə j ɣ u ə β 'a t ə }
aiguabati	ə j ɣ u ə β 'a t i }
aiguabato	ə j ɣ u ə β 'a t o }
aiguabats	ə j ɣ u ə β 'a t s }
aiguabaté	ə j ɣ u ə β ə t 'e }
aiguabatí	ə j ɣ u ə β ə t 'i }
aiguacuit	ə j ɣ u ə k 'u j t }
aiguadeix	ə j ɣ u ə ð 'e ʃ }
aiguadera	ə j ɣ u ə ð 'e ɾ ə }
aiguaders	ə j ɣ u ə ð 'e s }
aiguadura	ə j ɣ u ə ð 'u ɾ ə }
aiguafons	ə j ɣ u ə f 'o n s }
aiguafort	ə j ɣ u ə f 'o ɾ t }
aiguagoma	ə j ɣ u ə ɣ 'o m ə }
aigualada	ə j ɣ u ə l 'a ð ə }
aigualege	ə j ɣ u ə l 'ə ʒ ə }
aigualegi	ə j ɣ u ə l 'ɛ ʒ i }
aigualegí	ə j ɣ u ə l ə ʒ 'i }
aigualeig	ə j ɣ u ə l 'e tʃ }
aigualeix	ə j ɣ u ə l 'e ʃ }
aigualeja	ə j ɣ u ə l 'e ʒ ə }
aigualejo	ə j ɣ u ə l 'ə ʒ o }
aigualejà	ə j ɣ u ə l ə ʒ 'a }
aigualera	ə j ɣ u ə l 'e ɾ ə }
aigualesc	ə j ɣ u ə l 'ə s k }
aigualida	ə j ɣ u ə l 'i ð ə }
aigualiem	ə j ɣ u ə l i 'e m }
aigualien	ə j ɣ u ə l 'i ə n }
aigualies	ə j ɣ u ə l 'i ə s }
aigualieu	ə j ɣ u ə l i 'ə w }
aigualint	ə j ɣ u ə l 'i n t }
aigualira	ə j ɣ u ə l 'i ɾ ə }
aigualire	ə j ɣ u ə l 'i ɾ ə }
aigualirà	ə j ɣ u ə l i ɾ 'a }
aigualiré	ə j ɣ u ə l i ɾ 'e }
aigualisc	ə j ɣ u ə l 'i s k }
aigualits	ə j ɣ u ə l 'i t s }
aigualixo	ə j ɣ u ə l 'i t s o }
aigualosa	ə j ɣ u ə l 'o z ə }
aigualíem	ə j ɣ u ə l 'i ə m }
aigualíeu	ə j ɣ u ə l 'i ə w }
aiguamans	ə j ɣ u ə m 'a n s }
aiguamels	ə j ɣ u ə m 'ə l s }
aiguamoix	ə j ɣ u ə m 'o ʃ }
aiguamoll	ə j ɣ u ə m 'o ʎ }
aiguamort	ə j ɣ u ə m 'o ɾ t }
aiguanafs	ə j ɣ u ə n 'a f s }
aiguanaix	ə j ɣ u ə n 'a ʃ }
aiguaneix	ə j ɣ u ə n 'e ʃ }
aiguaneus	ə j ɣ u ə n 'ə 'u s }
aiguapoll	ə j ɣ u ə p 'o ʎ }
aiguarras	ə j ɣ u 'a r ə s }
aiguarràs	ə j ɣ u ə r 'a s }
aiguatges	ə j ɣ u 'a dʒ ə s }
aiguavent	ə j ɣ u ə v 'e n t }
aiguavivà	ə j ɣ u ə v i v 'a }
alguatzil	ə l ɣ u ə d z 'i l }
anguarina	ə ŋ g w ə ɾ 'i n ə }
anguatibs	ə ŋ g w ə t 'i t s }
biguanida	b i ɣ u ə n 'i ð ə }
caguanets	k ə ɣ ə n 'e t s }
calaguala	k ə l ə ɣ u 'a l ə }
capguarda	k ə p ɣ u 'a ɾ ð ə }
capguarde	k ə p ɣ u 'a ɾ ð ə }
capguardi	k ə p ɣ u 'a ɾ ð i }
capguardo	k ə p ɣ u 'a ɾ ð o }
capguardà	k ə p g w ə ɾ ð 'a }
capguardí	k ə p ɣ u ə ɾ ð 'i }
conguaita	k o ŋ g w 'a j t ə }
dalguaire	d ə l ɣ u 'a j ɾ ə }
desaiguam	d ə z ə i ɣ u 'a m }
desaiguar	d ə z ə i ɣ u 'a }
desaiguas	d ə z ə i ɣ u 'a s }
desaiguat	d ə z ə i ɣ u 'a t }
desaiguau	d ə z ə i ɣ u 'a w }
desguarni	d ə z ɣ u 'a ɾ n i }
desguarní	d ə z ɣ u ə ɾ n 'i }
desguassa	d ə z ɣ u 'a s ə }
desguasse	d ə z ɣ u 'a s ə }
desguassi	d ə z ɣ u 'a s i }
desguasso	d ə z ɣ u 'a s o }
desguassà	d ə z ɣ u ə s 'a }
desguassí	d ə z ɣ u ə s 'i }
desiguala	d ə z i ɣ u 'a l ə }
desiguale	d ə z i ɣ u 'a l ə }
desiguali	d ə z i ɣ u 'a l i }
desigualo	d ə z i ɣ u 'a l o }
desiguals	d ə z i ɣ u 'a l s }
desigualà	d ə z i ɣ u ə l 'a }
desigualí	d ə z i ɣ u ə l 'i }
eguassada	ə ɣ u ə s 'a ð ə }
eguassera	ə ɣ u ə s 'e ɾ ə }
eguassers	ə ɣ u ə s 'e s }
eixaguada	ə ʃ ə ɣ u 'a ð ə }
eixaguall	ə ʃ ə ɣ u 'a ʎ }
eixaguant	ə ʃ ə ɣ u 'a n t }
eixaguarà	ə ʃ ə ɣ u ə ɾ 'a }
eixaguaré	ə ʃ ə ɣ ə ɾ 'e }
eixaguats	ə ʃ ə ɣ 'a t s }
eixaguava	ə ʃ ə ɣ u 'a v ə }
enaiguada	ə n ə j ɣ u 'a ð ə }
enaiguant	ə n ə j ɣ u 'a n t }
enaiguara	ə n ə j ɣ u 'a ɾ ə }
enaiguare	ə n ə j ɣ u 'a ɾ ə }
enaiguarà	ə n ə j ɣ u ə ɾ 'a }
enaiguaré	ə n ə j ɣ u ə ɾ 'e }
enaiguats	ə n ə j ɣ u 'a t s }
enaiguava	ə n ə j ɣ u 'a v ə }
enguantam	ə ŋ g w ə n t 'a m }
enguantar	ə ŋ g w ə n t 'a }
enguantas	ə ŋ g w 'a n t ə s }
enguantat	ə ŋ g w ə n t 'a t }
enguantau	ə ŋ g w ə n t 'a w }
enguantem	ə ŋ g w ə n t 'e m }
