a	ə
neogòtic	n ə o ɣ 'ɔ t i k
neoliberal	n ə o l i β ə ɾ 'a l
neoliberalisme	n ə o l i β ə ɾ ə l 'i z m ə
neoliberalista	n ə o l i β ə ɾ ə l 'i s t ə
neoliberals	n ə o l i β ə ɾ 'a l s
neolliberal	n ə o ʎ i β ə ɾ 'a l
neologisme	n ə o l o ʒ 'i z m ə
neologismes	n ə o l o ʒ 'i z m ə s
neolític	n ə o l 'i t i k
neolítics	n ə o l 'i t i t s
neomudèjar	n ə o m u ð 'ə ʒ ə
neonacionalisme	n ə o n ə s i o n ə l 'i z m ə
neonazi	n ə o n 'a z i
neonazis	n ə o n 'a z i s
neons	n ə 'o n s
neorealisme	n ə o ɾ e ə l 'i z m ə
neorealista	n ə o ɾ e ə l 'i s t ə
neorealistes	n ə o ɾ e ə l 'i s t ə s
neozelandesa	n ə o z ə l ə n d 'ə z ə
neozelandès	n ə o z ə l ə n d 'ə s
neoàrab	n ə o 'a ɾ ə k
nepal	n ə p 'a l
nepalesa	n ə p ə l 'ə z ə
nepaleses	n ə p ə l 'ə z ə s
nepalesos	n ə p ə l 'ə z o s
nepalès	n ə p ə l 'ə s
nepotisme	n ə p o t 'i z m ə
nera	n 'e ɾ ə
nero	n 'e ɾ o
nervadures	n ə ɾ v ə ð 'u ɾ ə s
nervi	n 'ɛ ɾ v i
nerviosa	n ə ɾ v i 'o z ə
nervioses	n ə ɾ v i 'o z ə s
nerviosisme	n ə ɾ v i o z 'i z m ə
nerviosismes	n ə ɾ v i o z 'i z m ə s
nerviosos	n ə ɾ v i 'o z o s
nervis	n 'ɛ ɾ v i s
nerviós	n ə ɾ v i 'o s
nescoltem	n ə s k o l t 'ə m
nestan	n ə s t 'a n
nestava	n ə s t 'a v ə
nestic	n ə s t 'i k
nestripa	n ə s t ɾ 'i p ə
nestà	n ə s t 'a
net	n 'ə t
neta	n 'ə t ə
netament	n ˌ e t ə m 'e n t
netedat	n ə t ə ð 'a t
netegen	n ə t 'e ʒ ə n
netegessin	n ə t ə ʒ 'e s i n
netegeu	n ə t ə ʒ 'ɛ w
netegés	n ə t ə ʒ 'e s
neteja	n ə t 'ɛ ʒ ə
netejador	n ə t ə ʒ ə ð 'o
netejadora	n ə t ə ʒ ə ð 'o ɾ ə
netejadors	n ə t ə ʒ ə ð 'o s
netejant	n ə t ə ʒ 'a n t
netejaparabrisa	n ə t ə ʒ ə p ə ɾ ə β ɾ 'i z ə
netejar	n ə t ə ʒ 'a
netejaries	n ə t ə ʒ ə ɾ 'i ə s
netejarme	n ə t ə ʒ 'a ɾ m ə
netejat	n ə t ə ʒ 'a t
netejaven	n ə t ə ʒ 'a v ə n
netejo	n ə t 'e ʒ o
netes	n 'ə t ə s
nets	n 'ə t s
netscape	n ə t s k 'a p ə
neu	n 'e w
neulers	n ə w l 'e s
neules	n 'e w l ə s
neural	n ə w ɾ 'a l
neures	n 'e w ɾ ə s
neurobiologia	n ə w ɾ o β i o l o ʒ 'i ə
neurobiològiques	n ə w ɾ o β i o l 'ɔ ʒ i k ə s
neurocirurgià	n ə w ɾ o s i ɾ u ɾ ʒ i 'a
neurociència	n ə w ɾ o s i 'ə n s i ə
neurociències	n ə w ɾ o s i 'ə n s i ə s
neuroconductual	n ə w ɾ o k o n d u t t u 'a l
neurofibromatosi	n ə w ɾ o f i β ɾ o m ə t 'ɔ z i
neurofibromatosis	n ə w ɾ o f i β ɾ o m ə t 'ɔ z i s
neurofisiologia	n ə w ɾ o f i z i o l o ʒ 'i ə
neurologia	n ə w ɾ o l o ʒ 'i ə
neurològic	n ə w ɾ o l 'ɔ ʒ i k
neurològica	n ə w ɾ o l 'ɔ ʒ i k ə
neurològics	n ə w ɾ o l 'ɔ ʒ i t s
neurològiques	n ə w ɾ o l 'ɔ ʒ i k ə s
neurona	n ə w ɾ 'o n ə
neuronal	n ə w ɾ o n 'a l
neuronals	n ə w ɾ o n 'a l s
neurones	n ə w ɾ 'o n ə s
neuroquímics	n ə w ɾ o k 'i m i t s
neurosi	n ə w ɾ 'ɔ z i
neurosis	n ə w ɾ 'ɔ z i s
neurotransmissors	n ə w ɾ o t ɾ ə n z m i s 'o s
neuràlgic	n ə w ɾ 'a l ʒ i k
neuràlgics	n ə w ɾ 'a l ʒ i t s
neuròleg	n ə w ɾ 'ɔ l ə k
neuròlegs	n ə w ɾ 'ɔ l ə ɣ s
neuròtic	n ə w ɾ 'ɔ t i k
neuròtica	n ə w ɾ 'ɔ t i k ə
neuròtics	n ə w ɾ 'ɔ t i t s
neus	n 'e w s
neutra	n 'e w t ɾ ə
neutral	n ə w t ɾ 'a l
neutralitat	n ə w t ɾ ə l i t 'a t
neutralitats	n ə w t ɾ ə l i t 'a t s
neutralitza	n ə w t ɾ ə l 'i d z ə
neutralitzacions	n ə w t ɾ ə l i d z ə s i 'o n s
neutralització	n ə w t ɾ ə l i d z ə s i 'o
neutralitzar	n ə w t ɾ ə l i d z 'a
neutralitzarlos	n ə w t ɾ ə l i d z 'a ɾ l o s
neutralitzat	n ə w t ɾ ə l i d z 'a t
neutralitzats	n ə w t ɾ ə l i d z 'a t s
neutrals	n ə w t ɾ 'a l s
neutre	n 'e w t ɾ ə
neutres	n 'e w t ɾ ə s
neutrons	n ə w t ɾ 'o n s
neutròniques	n ə w t ɾ 'ɔ n i k ə s
neva	n 'e v ə
nevada	n ə v 'a ð ə
nevades	n ə v 'a ð ə s
nevar	n ə v 'a
nevarà	n ə v ə ɾ 'a
nevat	n ə v 'a t
nevera	n ə v 'e ɾ ə
neveres	n ə v 'e ɾ ə s
neviscada	n ə v i s k 'a ð ə
neviscar	n ə v i s k 'a
neviscarà	n ə v i s k ə ɾ 'a
newtoniana	n ə β t o n i 'a n ə
nexe	n 'e t s ə
nexes	n 'e t s ə s
neòfit	n ə 'ɔ f i t
neó	n ə 'o
nha	n 'a
nhauria	n ə w ɾ 'i ə
nhavia	n ə v 'i ə
nhe	n 'e
nhem	n 'ə m
nhi	n 'i
ni	n 'i
nia	n 'i ə
niava	n i 'a v ə
nicaragua	n i k ə ɾ 'a g w ə
nicaragüenc	n i k ə ɾ ə g w 'ə ŋ k
niciesa	n i s i 'ə z ə
nico	n 'i k o
nicolau	n i k o l 'a w
nicotina	n i k o t 'i n ə
nidificació	n i ð i f i k ə s i 'o
nidificats	n i ð i f i k 'a t s
nigeriana	n i ʒ ə ɾ i 'a n ə
nigerianes	n i ʒ ə ɾ i 'a n ə s
nigerians	n i ʒ ə ɾ i 'a n s
nigerià	n i ʒ ə ɾ i 'a
nihilisme	n i i l 'i z m ə
nihilista	n i i l 'i s t ə
nihilistes	n i i l 'i s t ə s
niló	n i l 'o
nimbus	n 'i m b u s
nimfa	n 'i m f ə
nimfes	n 'i m f ə s
nimietat	n i m i ə t 'a t
nimietats	n i m i ə t 'a t s
nin	n 'i n
nina	n 'i n ə
nines	n 'i n ə s
nineta	n i n 'ə t ə
ninetes	n i n 'ə t ə s
ninges	n 'i n ʒ ə s
ningun	n i ŋ g 'u n
ninguna	n i ŋ g 'u n ə
ningunes	n i ŋ g 'u n ə s
ninguns	n i ŋ g 'u n s
ningú	n i ŋ g 'u
nino	n 'i n o
ninos	n 'i n o s
ninot	n i n 'ɔ t
ninotaire	n i n o t 'a j ɾ ə
ninotets	n i n o t 'ə t s
ninots	n i n 'ɔ t s
nins	n 'i n s
nintervindria	n i n t ə ɾ v i n d ɾ 'i ə
nipona	n i p 'o n ə
nipones	n i p 'o n ə s
nipons	n i p 'o n s
nipó	n i p 'o
nirvana	n i ɾ v 'a n ə
nissaga	n i s 'a ɣ ə
nissagues	n i s 'a ɣ ə s
nit	n 'i t
nitidesa	n i t i ð 'ə z ə
nitrat	n i t ɾ 'a t
nitrats	n i t ɾ 'a t s
nitrogen	n i t ɾ 'o ʒ ə n
nitrogenats	n i t ɾ o ʒ ə n 'a t s
nits	n 'i t s
niu	n 'i w
nius	n 'i w s
nivell	n i v 'e ʎ
nivells	n i v 'e ʎ s
no	n 'o
nobiliaris	n o β i l i 'a ɾ i s
nobiliària	n o β i l i 'a ɾ i ə
noble	n 'o b b l ə
nobles	n 'o b b l ə s
noblesa	n o β l 'ə z ə
nobrim	n o β ɾ 'i m
noces	n 'o s ə s
nocional	n o s i o n 'a l
nocions	n o s i 'o n s
nociu	n o s 'i w
nocius	n o s 'i w s
nociva	n o s 'i v ə
nocives	n o s 'i v ə s
noció	n o s i 'o
nocompetitivitat	n o k o m p ə t i t i v i t 'a t
nocturn	n o t t 'u ɾ n
nocturna	n o t t 'u ɾ n ə
nocturnes	n o t t 'u ɾ n ə s
nocturnitat	n o t t u ɾ n i t 'a t
nocturns	n o t t 'u ɾ n s
noctàmbul	n o t t 'a m b u l
noctàmbula	n o t t 'a m b u l ə
noctàmbuls	n o t t 'a m b u l s
node	n 'o ð ə
nodes	n 'o ð ə s
nodiscriminació	n o ð i s k ɾ i m i n ə s i 'o
nodreix	n o ð ɾ 'ə ʃ
nodreixen	n o ð ɾ 'ə ʃ ə n
nodria	n o ð ɾ 'i ə
nodrida	n o ð ɾ 'i ð ə
nodriment	n o ð ɾ i m 'e n t
nodriments	n o ð ɾ i m 'e n s
nodrint	n o ð ɾ 'i n t
nodrir	n o ð ɾ 'i
nodrirse	n o ð ɾ 'i ɾ s ə
nodrit	n o ð ɾ 'i t
nodrits	n o ð ɾ 'i t s
nofereix	n o f ə ɾ 'ə ʃ
nogensmenys	n ˌ o ʒ ˌ ə m m 'ə j n s
nogueira	n o ɣ 'e j ɾ ə
noguera	n o ɣ 'e ɾ ə
noi	n 'ɔ j
noia	n 'ɔ j ə
noies	n 'ɔ j ə s
noiet	n o j 'ə t
noieta	n o j 'ə t ə
noietes	n o j 'ə t ə s
nois	n 'ɔ j s
noli	n 'ɔ l i
nom	n 'o m
nomadisme	n o m ə ð 'i z m ə
nombre	n 'o m b ɾ ə
nombres	n 'o m b ɾ ə s
nombrosa	n o m b ɾ 'o z ə
nombroses	n o m b ɾ 'o z ə s
nombrosos	n o m b ɾ 'o z o s
nombrós	n o m b ɾ 'o s
nomena	n o m 'ə n ə
nomenada	n o m ə n 'a ð ə
nomenament	n o m ə n ə m 'e n t
nomenaments	n o m ə n ə m 'e n s
nomenant	n o m ə n 'a n t
nomenar	n o m ə n 'a
nomenarne	n o m ə n 'a ɾ n ə
nomenarà	n o m ə n ə ɾ 'a
nomenat	n o m ə n 'a t
nomenats	n o m ə n 'a t s
nomenava	n o m ə n 'a v ə
nomenclatura	n o m ə ŋ k l ə t 'u ɾ ə
nomenclatures	n o m ə ŋ k l ə t 'u ɾ ə s
nomenclàtor	n o m ə ŋ k l 'a t o
nomenen	n o m 'e n ə n
nomeni	n o m 'ɛ n i
nomenés	n o m ə n 'e s
nominacions	n o m i n ə s i 'o n s
nominació	n o m i n ə s i 'o
nominada	n o m i n 'a ð ə
nominades	n o m i n 'a ð ə s
nominal	n o m i n 'a l
nominalia	n o m i n ə l 'i ə
nominalment	n o m i n ˌ a l m 'e n t
nominals	n o m i n 'a l s
nominat	n o m i n 'a t
nominatiu	n o m i n ə t 'i w
nominats	n o m i n 'a t s
nominen	n o m 'i n ə n
noms	n 'o n s
només	n o m 'e s
nomésque	n o m 'e s k ə
nonagenari	n o n ə ʒ ə n 'a ɾ i
nonagenària	n o n ə ʒ ə n 'a ɾ i ə
nonet	n o n 'ə t
noqueja	n o k 'ɛ ʒ ə
noquejar	n o k ə ʒ 'a
nora	n 'o ɾ ə
noranta	n o ɾ 'a n t ə
norantacinc	n o ɾ ə n t ə s 'i ŋ k
norantados	n o ɾ ə n t 'a ð o s
norantanou	n o ɾ ə n t ə n 'ɔ w
norantaquatre	n o ɾ ə n t ə k w 'a t ɾ ə
norantaset	n o ɾ ə n t ə z 'ə t
norantasis	n o ɾ ə n t 'a z i s
norantatres	n o ɾ ə n t 'a t ɾ ə s
norantau	n o ɾ ə n t 'a w
norantavuit	n o ɾ ə n t ə v 'u j t
norantaú	n o ɾ ə n t ə 'u
norantena	n o ɾ ə n t 'ə n ə
norantenes	n o ɾ ə n t 'ə n ə s
norantens	n o ɾ ə n t 'ə n s
norantes	n o ɾ 'a n t ə s
norantè	n o ɾ ə n t 'ə
nord	n 'o ɾ t
nordafricana	n o ɾ ð ə f ɾ i k 'a n ə
nordamericana	n o ɾ ð ə m ə ɾ i k 'a n ə
nordamericanes	n o ɾ ð ə m ə ɾ i k 'a n ə s
nordamericans	n o ɾ ð ə m ə ɾ i k 'a n s
nordamericà	n o ɾ ð ə m ə ɾ i k 'a
nordcatalanes	n o ɾ k k ə t ə l 'a n ə s
nordcoreanes	n o ɾ k k o ɾ e 'a n ə s
nordest	n o ɾ ð 'e s t
nordoest	n o ɾ ð o 'e s t
nores	n 'o ɾ ə s
norfeu	n o ɾ f 'ɛ w
norma	n 'o ɾ m ə
normal	n o ɾ m 'a l
normalitat	n o ɾ m ə l i t 'a t
normalitza	n o ɾ m ə l 'i d z ə
normalització	n o ɾ m ə l i d z ə s i 'o
normalitzada	n o ɾ m ə l i d z 'a ð ə
normalitzades	n o ɾ m ə l i d z 'a ð ə s
normalitzant	n o ɾ m ə l i d z 'a n t
normalitzar	n o ɾ m ə l i d z 'a
normalitzarse	n o ɾ m ə l i d z 'a ɾ s ə
normalitzat	n o ɾ m ə l i d z 'a t
normalitzats	n o ɾ m ə l i d z 'a t s
normalitzi	n o ɾ m ə l 'i d z i
normalment	n o ɾ m ˌ a l m 'e n t
normals	n o ɾ m 'a l s
normatiu	n o ɾ m ə t 'i w
normatius	n o ɾ m ə t 'i w s
normativa	n o ɾ m ə t 'i v ə
normatives	n o ɾ m ə t 'i v ə s
normativització	n o ɾ m ə t i v i d z ə s i 'o
normativitzador	n o ɾ m ə t i v i d z ə ð 'o
normativitzadora	n o ɾ m ə t i v i d z ə ð 'o ɾ ə
normativitzar	n o ɾ m ə t i v i d z 'a
normes	n 'o ɾ m ə s
nortest	n o ɾ t 'e s t
noruec	n o ɾ u 'ɛ k
noruecs	n o ɾ u 'ɛ t s
noruega	n o ɾ u 'ə ɣ ə
noruegues	n o ɾ u 'ə ɣ ə s
nosa	n 'o z ə
nosaltres	n o z 'a l t ɾ ə s
noses	n 'o z ə s
nosocomials	n o z o k o m i 'a l s
nostra	n 'o s t ɾ ə
nostrada	n o s t ɾ 'a ð ə
nostrades	n o s t ɾ 'a ð ə s
nostrat	n o s t ɾ 'a t
nostrats	n o s t ɾ 'a t s
nostre	n 'o s t ɾ ə
nostres	n 'o s t ɾ ə s
nostàlgia	n o s t 'a l ʒ i ə
nostàlgic	n o s t 'a l ʒ i k
nostàlgica	n o s t 'a l ʒ i k ə
nostàlgics	n o s t 'a l ʒ i t s
nostàlgies	n o s t 'a l ʒ i ə s
nostàlgiques	n o s t 'a l ʒ i k ə s
nota	n 'ɔ t ə
notable	n o t 'a b b l ə
notablement	n o t ˌ a b b l ə m 'e n t
notables	n o t 'a b b l ə s
notació	n o t ə s i 'o
notant	n o t 'a n t
notar	n o t 'a
notaran	n o t ə ɾ 'a n
notarem	n o t ə ɾ 'ə m
notareu	n o t ə ɾ 'ɛ w
notari	n o t 'a ɾ i
notaria	n o t ə ɾ 'i ə
notarial	n o t ə ɾ i 'a l
notarialment	n o t ə ɾ i ˌ a l m 'e n t
notarials	n o t ə ɾ i 'a l s
notaries	n o t ə ɾ 'i ə s
notaris	n o t 'a ɾ i s
notarne	n o t 'a ɾ n ə
notarse	n o t 'a ɾ s ə
notarà	n o t ə ɾ 'a
notat	n o t 'a t
notava	n o t 'a v ə
notaven	n o t 'a v ə n
notem	n o t 'ə m
noten	n 'o t ə n
notes	n 'ɔ t ə s
noteu	n o t 'ɛ w
noti	n 'ɔ t i
noticia	n o t i s 'i ə
noticiable	n o t i s i 'a b b l ə
noticiari	n o t i s i 'a ɾ i
noticiaris	n o t i s i 'a ɾ i s
noticies	n o t i s 'i ə s
notifica	n o t i f 'i k ə
notificacions	n o t i f i k ə s i 'o n s
notificació	n o t i f i k ə s i 'o
notificada	n o t i f i k 'a ð ə
notificador	n o t i f i k ə ð 'o
notificar	n o t i f i k 'a
notificaries	n o t i f i k ə ɾ 'i ə s
notificat	n o t i f i k 'a t
notin	n 'ɔ t i n
noto	n 'o t o
notori	n o t 'ɔ ɾ i
notorietat	n o t o ɾ i ə t 'a t
notoris	n o t 'ɔ ɾ i s
notés	n o t 'e s
notícia	n o t 'i s i ə
notícies	n o t 'i s i ə s
notòria	n o t 'ɔ ɾ i ə
notòriament	n o t ˌ ɔ ɾ i ə m 'e n t
notòries	n o t 'ɔ ɾ i ə s
nou	n 'ɔ w
noucentes	n o w s 'e n t ə s
noucentisme	n o w s ə n t 'i z m ə
noucentista	n ˌ ɔ w s ə n t 'i s t ə
noucents	n o w s 'e n s
nounat	n o w n 'a t
nounats	n o w n 'a t s
nous	n 'ɔ w s
nousnats	n o w z n 'a t s
nouvinguda	n o w v i ŋ g 'u ð ə
nouvingudes	n o w v i ŋ g 'u ð ə s
nouvingut	n o w v i ŋ g 'u t
nouvinguts	n o w v i ŋ g 'u t s
nova	n 'o v ə
novaiorquesa	n o v ə j o ɾ k 'ə z ə
novaiorqueses	n o v ə j o ɾ k 'ə z ə s
novaiorquesos	n o v ə j o ɾ k 'ə z o s
novaiorquès	n o v ə j o ɾ k 'ə s
novament	n ˌ o v ə m 'e n t
novata	n o v 'a t ə
novedosos	n o v ə ð 'o z o s
novela	n o v 'ɛ l ə
novelada	n o v ə l 'a ð ə
novelades	n o v ə l 'a ð ə s
novelar	n o v ə l 'a
novelat	n o v ə l 'a t
novelats	n o v ə l 'a t s
noveles	n o v 'ɛ l ə s
novelesca	n o v ə l 'ə s k ə
novelista	n o v ə l 'i s t ə
novelistes	n o v ə l 'i s t ə s
novell	n o v 'e ʎ
novella	n o v 'e ʎ ə
novelles	n o v 'e ʎ ə s
novells	n o v 'e ʎ s
novelístic	n o v ə l 'i s t i k
novelística	n o v ə l 'i s t i k ə
novembre	n o v 'e m b ɾ ə
novena	n o v 'ə n ə
novenes	n o v 'ə n ə s
novens	n o v 'ə n s
noves	n 'o v ə s
novetat	n o v ə t 'a t
novetats	n o v ə t 'a t s
noviluni	n o v i l 'u n i
novè	n o v 'ə
novíssim	n o v 'i s i m
novíssima	n o v 'i s i m ə
nu	n 'u
nua	n 'u ə
nuca	n 'u k ə
nuclear	n u k l e 'a ɾ
nuclears	n u k l e 'a ɾ s
nucleics	n u k l 'e j t s
nucli	n 'u k l i
nuclis	n 'u k l i s
nudisme	n u ð 'i z m ə
nudista	n u ð 'i s t ə
nuen	n 'u ə n
nues	n 'u ə s
nuesa	n u 'ə z ə
nueve	n u 'e v ə
nul	n 'u l
nula	n 'u l ə
nules	n 'u l ə s
nulitat	n u l i t 'a t
nuls	n 'u l s
numantina	n u m ə n t 'i n ə
numera	n u m 'e ɾ ə
numeració	n u m ə ɾ ə s i 'o
numerades	n u m ə ɾ 'a ð ə s
numerar	n u m ə ɾ 'a
numerari	n u m ə ɾ 'a ɾ i
numeraries	n u m ə ɾ ə ɾ 'i ə s
numeraris	n u m ə ɾ 'a ɾ i s
numerats	n u m ə ɾ 'a t s
numeren	n u m 'e ɾ ə n
numerets	n u m ə ɾ 'ə t s
numero	n u m 'e ɾ o
numismàtic	n u m i z m 'a t i k
numismàtica	n u m i z m 'a t i k ə
numismàtics	n u m i z m 'a t i t s
numèric	n u m 'ə ɾ i k
numèrica	n u m 'ə ɾ i k ə
numèricament	n u m ˌ ə ɾ i k ə m 'e n t
numèrics	n u m 'ə ɾ i t s
numèriques	n u m 'ə ɾ i k ə s
nunci	n 'u n s i
nunciatura	n u n s i ə t 'u ɾ ə
nupcial	n u t s i 'a l
nus	n 'u s
nusos	n 'u z o s
nutricionals	n u t ɾ i s i o n 'a l s
nutrició	n u t ɾ i s i 'o
nutrients	n u t ɾ i 'e n s
nutritiu	n u t ɾ i t 'i w
nuvi	n 'u v i
nuvis	n 'u v i s
nuvolada	n u v o l 'a ð ə
nuvolades	n u v o l 'a ð ə s
nuvolet	n u v o l 'ə t
nuvolets	n u v o l 'ə t s
nuvolositat	n u v o l o z i t 'a t
nuvolós	n u v o l 'o s
nyam	ɲ 'a m
nyap	ɲ 'a p
nyaps	ɲ 'a t s
nyicris	ɲ 'i k ɾ i s
nyu	ɲ 'u
nyus	ɲ 'u s
nàixer	n 'a ʃ ə
nàpols	n 'a p o l s
nàstic	n 'a s t i k
nàufrag	n 'a w f ɾ ə k
nàufrags	n 'a w f ɾ ə ɣ s
nàusea	n 'a w z e ə
nàusees	n 'a w z e ə s
nàutica	n 'a w t i k ə
nàutics	n 'a w t i t s
nàutiques	n 'a w t i k ə s
nèctar	n 'ə t t ə
nédgar	n 'e ð ɣ ə
néixer	n 'ə ʃ ə
nét	n 'e t
néta	n 'e t ə
nétes	n 'e t ə s
néts	n 'e t s
nínxol	n 'i n ʃ o l
nínxols	n 'i n ʃ o l s
níquel	n 'i k ə l
nítid	n 'i t i t
nítida	n 'i t i ð ə
nítidament	n ˌ i t i ð ə m 'e n t
nítids	n 'i t i t s
nòduls	n 'ɔ ð u l s
nòmada	n 'ɔ m ə ð ə
nòmades	n 'ɔ m ə ð ə s
nòmina	n 'ɔ m i n ə
nòmines	n 'ɔ m i n ə s
nòrdic	n 'ɔ ɾ ð i k
nòrdica	n 'ɔ ɾ ð i k ə
nòrdics	n 'ɔ ɾ ð i t s
nòrdiques	n 'ɔ ɾ ð i k ə s
nós	n 'o s
núbil	n 'u β i l
número	n 'u m ə ɾ o
números	n 'u m ə ɾ o s
núpcies	n 'u t s i ə s
núria	n 'u ɾ i ə
núvia	n 'u v i ə
núvies	n 'u v i ə s
núvol	n 'u v o l
núvols	n 'u v o l s
o	'ɔ
oasi	o 'a z i
oasis	o 'a z i s
obaga	o β 'a ɣ ə
obcecació	o t s ə k ə s i 'o
obcecada	o t s ə k 'a ð ə
obcecar	o t s ə k 'a
obcecarvos	o t s ə k 'a ɾ v o s
obcecarà	o t s ə k ə ɾ 'a
obcecats	o t s ə k 'a t s
obcequeu	o t s ə k 'ɛ w
obedient	o β ə ð i 'e n t
obedients	o β ə ð i 'e n s
obediència	o β ə ð i 'ə n s i ə
obediències	o β ə ð i 'ə n s i ə s
obeeix	o β e 'ə ʃ
obeeixen	o β e 'ə ʃ ə n
obeeixi	o β e 'ə ʃ i
obeeixo	o β e 'ə ʃ o
obeint	o β ə 'i n t
obeir	o β ə 'i
obelisc	o β ə l 'i s k
obert	o β 'ɛ ɾ t
oberta	o β 'ɛ ɾ t ə
obertament	o β ˌ ɛ ɾ t ə m 'e n t
obertes	o β 'ɛ ɾ t ə s
oberts	o β 'ɛ ɾ s
obertura	o β ə ɾ t 'u ɾ ə
obertures	o β ə ɾ t 'u ɾ ə s
obesa	o β 'ə z ə
obeses	o β 'ə z ə s
obesitat	o β ə z i t 'a t
obesos	o β 'ə z o s
obeïa	o β ə 'i ə
obeïen	o β ə 'i ə n
obeïssin	o β ə 'i s i n
obeït	o β ə 'i t
objeccions	o d ʒ ə t s i 'o n s
objecció	o d ʒ ə t s i 'o
objecta	o d ʒ 'e t t ə
objectar	o d ʒ ə t t 'a
objectarà	o d ʒ ə t t ə ɾ 'a
objecte	o d ʒ 'e t t ə
objectes	o d ʒ 'e t t ə s
objectiu	o d ʒ ə t t 'i w
objectius	o d ʒ ə t t 'i w s
objectiva	o d ʒ ə t t 'i v ə
objectivació	o d ʒ ə t t i v ə s i 'o
objectivament	o d ʒ ə t t ˌ i v ə m 'e n t
objectives	o d ʒ ə t t 'i v ə s
objectivitat	o d ʒ ə t t i v i t 'a t
objectors	o d ʒ ə t t 'o s
oblida	o β l 'i ð ə
oblidable	o β l i ð 'a b b l ə
oblidables	o β l i ð 'a b b l ə s
oblidada	o β l i ð 'a ð ə
oblidades	o β l i ð 'a ð ə s
oblidant	o β l i ð 'a n t
oblidantse	o β l i ð 'a n s ə
oblidantvos	o β l i ð 'a n t v o s
oblidar	o β l i ð 'a
oblidaran	o β l i ð ə ɾ 'a n
oblidarem	o β l i ð ə ɾ 'ə m
oblidareu	o β l i ð ə ɾ 'ɛ w
oblidarho	o β l i ð 'a ɾ o
oblidaria	o β l i ð ə ɾ 'i ə
oblidarla	o β l i ð 'a ɾ l ə
oblidarlo	o β l i ð 'a ɾ l o
oblidarlos	o β l i ð 'a ɾ l o s
oblidarme	o β l i ð 'a ɾ m ə
oblidarnos	o β l i ð 'a ɾ n o s
oblidarse	o β l i ð 'a ɾ s ə
oblidarsen	o β l i ð 'a ɾ s ə n
oblidarvos	o β l i ð 'a ɾ v o s
oblidarà	o β l i ð ə ɾ 'a
oblidaràs	o β l i ð ə ɾ 'a s
oblidaré	o β l i ð ə ɾ 'e
oblidat	o β l i ð 'a t
oblidats	o β l i ð 'a t s
oblidava	o β l i ð 'a v ə
oblidem	o β l i ð 'ə m
obliden	o β l 'i ð ə n
oblides	o β l 'i ð ə s
oblidessin	o β l i ð 'e s i n
oblideu	o β l i ð 'ɛ w
oblideuvos	o β l i ð 'e w v o s
oblidi	o β l 'i ð i
oblidin	o β l 'i ð i n
oblidis	o β l 'i ð i s
oblido	o β l 'i ð o
oblidés	o β l i ð 'e s
oblidéssim	o β l i ð 'e s i m
oblidéssiu	o β l i ð 'e s i w
obliga	o β l 'i ɣ ə
obligacions	o β l i ɣ ə s i 'o n s
obligació	o β l i ɣ ə s i 'o
obligada	o β l i ɣ 'a ð ə
obligades	o β l i ɣ 'a ð ə s
obligant	o β l i ɣ 'a n t
obligantla	o β l i ɣ 'a n l ə
obligantlo	o β l i ɣ 'a n l o
obligar	o β l i ɣ 'a
obligaran	o β l i ɣ ə ɾ 'a n
obligaria	o β l i ɣ ə ɾ 'i ə
obligarien	o β l i ɣ ə ɾ 'i ə n
obligarla	o β l i ɣ 'a ɾ l ə
obligarlo	o β l i ɣ 'a ɾ l o
obligarlos	o β l i ɣ 'a ɾ l o s
obligarnos	o β l i ɣ 'a ɾ n o s
obligarà	o β l i ɣ ə ɾ 'a
obligat	o β l i ɣ 'a t
obligatori	o β l i ɣ ə t 'ɔ ɾ i
obligatorietat	o β l i ɣ ə t o ɾ i ə t 'a t
obligatoris	o β l i ɣ ə t 'ɔ ɾ i s
obligats	o β l i ɣ 'a t s
obligatòria	o β l i ɣ ə t 'ɔ ɾ i ə
obligatòriament	o β l i ɣ ə t ˌ ɔ ɾ i ə m 'e n t
obligatòries	o β l i ɣ ə t 'ɔ ɾ i ə s
obligava	o β l i ɣ 'a v ə
obligaven	o β l i ɣ 'a v ə n
obligo	o β l 'i ɣ o
obliguen	o β l 'i ɣ ə n
obliguessin	o β l i ɣ 'e s i n
obligueu	o β l i ɣ 'ɛ w
obligui	o β l 'i ɣ i
obliguin	o β l 'i ɣ i n
obligués	o β l i ɣ 'e s
obligà	o β l i ɣ 'a
obliqua	o β l 'i k w ə
obliquament	o β l ˌ i k w ə m 'e n t
oblit	o β l 'i t
oblits	o β l 'i t s
obnubilació	o n n u β i l ə s i 'o
obnubilants	o n n u β i l 'a n s
obnubilava	o n n u β i l 'a v ə
oboè	o β o 'ə
oboès	o β o 'ə s
obra	'o β ɾ ə
obrador	o β ɾ ə ð 'o
obrant	o β ɾ 'a n t
obrar	o β ɾ 'a
obrat	o β ɾ 'a t
obre	'o β ɾ ə
obrecartes	o β ɾ ə k 'a ɾ t ə s
obrellaunes	o β ɾ ə ʎ 'a w n ə s
obren	'o β ɾ ə n
obrer	o β ɾ 'e
obrera	o β ɾ 'e ɾ ə
obreres	o β ɾ 'e ɾ ə s
obrerisme	o β ɾ ə ɾ 'i z m ə
obrers	o β ɾ 'e s
obres	'o β ɾ ə s
obreta	o β ɾ 'ə t ə
obreu	o β ɾ 'ɛ w
