a	ə
enviantlos	ə m b i 'a n l l u s
enviar	ə m b i 'a
enviaran	ə m b i ə ɾ 'a n
enviarem	ə m b i ə ɾ 'ɛ m
enviaren	ə m b i 'a ɾ ə n
enviarhi	ə m b i 'a ɾ i
enviarho	ə m b i 'a ɾ u
enviaria	ə m b i ə ɾ 'i ə
enviarien	ə m b i ə ɾ 'i ə n
enviaries	ə m b i ə ɾ 'i ə s
enviarles	ə m b i 'a r l ə s
enviarli	ə m b i 'a r l i
enviarlo	ə m b i 'a r l u
enviarlos	ə m b i 'a r l u s
enviarme	ə m b i 'a r m ə
enviarse	ə m b i 'a r s ə
enviarvos	ə m b i 'a ɾ β u s
enviarà	ə m b i ə ɾ 'a
enviaré	ə m b i ə ɾ 'e
enviat	ə m b i 'a t
enviats	ə m b i 'a t s
enviava	ə m b i 'a β ə
enviaven	ə m b i 'a β ə n
enviem	ə m b i 'ɛ m
envien	ə m b 'i ə n
envies	ə m b 'i ə s
enviessin	ə m b i 'e s i n
envieu	ə m b i 'ɛ w
enviny	ə m b 'i ɲ
envio	ə m b 'i u
envit	ə m b 'i t
envià	ə m b i 'a
enviés	ə m b i 'e s
enviï	ə m b 'i i
enviïn	ə m b 'i i n
enviïs	ə m b 'i i s
envolta	ə m b 'ɔ l t ə
envoltada	ə m b u l t 'a ð ə
envoltades	ə m b u l t 'a ð ə s
envoltant	ə m b u l t 'a n
envoltar	ə m b u l t 'a
envoltarme	ə m b u l t 'a r m ə
envoltarse	ə m b u l t 'a r s ə
envoltat	ə m b u l t 'a t
envoltats	ə m b u l t 'a t s
envoltava	ə m b u l t 'a β ə
envoltaven	ə m b u l t 'a β ə n
envolten	ə m b 'ɔ l t ə n
envolti	ə m b 'ɔ l t i
envàs	ə m b 'a s
enxampa	ə n ʃ 'a m p ə
enxampar	ə n ʃ ə m p 'a
enxamparlo	ə n ʃ ə m p 'a r l u
enxampat	ə n ʃ ə m p 'a t
enxampats	ə n ʃ ə m p 'a t s
enxampen	ə n ʃ 'a m p ə n
enxampin	ə n ʃ 'a m p i n
enxaneta	ə n ʃ ə n 'ɛ t ə
enxanetes	ə n ʃ ə n 'ɛ t ə s
enyor	ə ɲ 'o r
enyora	ə ɲ 'o ɾ ə
enyorada	ə ɲ u ɾ 'a ð ə
enyorades	ə ɲ u ɾ 'a ð ə s
enyorament	ə ɲ u ɾ ə m 'e n
enyorances	ə ɲ u ɾ 'a n s ə s
enyorant	ə ɲ u ɾ 'a n
enyorança	ə ɲ u ɾ 'a n s ə
enyorar	ə ɲ u ɾ 'a
enyorat	ə ɲ u ɾ 'a t
enyorats	ə ɲ u ɾ 'a t s
enyorem	ə ɲ u ɾ 'ɛ m
enyoren	ə ɲ 'o ɾ ə n
enyoro	ə ɲ 'o ɾ u
enzim	ə n z 'i m
enzims	ə n z 'i m s
ençà	ə n s 'a
enèrgic	ə n 'ɛ r ʒ i k
enèrgica	ə n 'ɛ r ʒ i k ə
enèrgics	ə n 'ɛ r ʒ i k s
enèrgiques	ə n 'ɛ r ʒ i k ə s
enèsim	ə n 'ɛ z i m
enèsima	ə n 'ɛ z i m ə
ep	'e p
epicentre	ə p i s 'e n t ɾ ə
epidemiologia	ə p i ð ə m i u l u ʒ 'i ə
epidemiològic	ə p i ð ə m i u l 'ɔ ʒ i k
epidemiològica	ə p i ð ə m i u l 'ɔ ʒ i k ə
epidemiològics	ə p i ð ə m i u l 'ɔ ʒ i k s
epidemiològiques	ə p i ð ə m i u l 'ɔ ʒ i k ə s
epidemiòleg	ə p i ð ə m i 'ɔ l ə k
epidermis	ə p i ð 'ɛ r m i s
epidèmia	ə p i ð 'ɛ m i ə
epidèmic	ə p i ð 'ɛ m i k
epidèmics	ə p i ð 'ɛ m i k s
epidèmies	ə p i ð 'ɛ m i ə s
epidèrmica	ə p i ð 'ɛ r m i k ə
epifania	ə p i f ə n 'i ə
epigrames	ə p i ɣ ɾ 'a m ə s
epilèpsia	ə p i l 'ɛ p s i ə
epilèptics	ə p i l 'ɛ p t i k s
episcopal	ə p i s k u p 'a l
episcopals	ə p i s k u p 'a l s
episcopat	ə p i s k u p 'a t
episodi	ə p i z 'ɔ ð i
episodis	ə p i z 'ɔ ð i s
epistemològic	ə p i s t ə m u l 'ɔ ʒ i k
epistolar	ə p i s t u l 'a r
epistolari	ə p i s t u l 'a ɾ i
epistolaris	ə p i s t u l 'a ɾ i s
episòdica	ə p i z 'ɔ ð i k ə
epitafi	ə p i t 'a f i
epopeia	ə p u p 'ɛ j ə
epopeies	ə p u p 'ɛ j ə s
epígon	ə p 'i ɣ u n
epígraf	ə p 'i ɣ ɾ ə f
epígrafs	ə p 'i ɣ ɾ ə f s
epíleg	ə p 'i l ə k
epítet	ə p 'i t ə t
epítets	ə p 'i t ə t s
equacions	ə k w ə s i 'o n s
equació	ə k w ə s i 'o
equador	ə k w ə ð 'o
equanimitat	ə k w ə n i m i t 'a t
equatorial	ə k w ə t u ɾ i 'a l
equatoriana	ə k w ə t u ɾ i 'a n ə
equatorians	ə k w ə t u ɾ i 'a n s
equatorià	ə k w ə t u ɾ i 'a
equidistant	ə k i ð i s t 'a n
equidistància	ə k i ð i s t 'a n s i ə
equilibra	ə k i l 'i β ɾ ə
equilibrada	ə k i l i β ɾ 'a ð ə
equilibrades	ə k i l i β ɾ 'a ð ə s
equilibrant	ə k i l i β ɾ 'a n
equilibrar	ə k i l i β ɾ 'a
equilibrat	ə k i l i β ɾ 'a t
equilibrats	ə k i l i β ɾ 'a t s
equilibri	ə k i l 'i β ɾ i
equilibris	ə k i l 'i β ɾ i s
equilibrisme	ə k i l i β ɾ 'i z m ə
equilibristes	ə k i l i β ɾ 'i s t ə s
equinocci	ə k i n 'ɔ k s i
equinoccis	ə k i n 'ɔ k s i s
equip	ə k 'i p
equipa	ə k 'i p ə
equipada	ə k i p 'a ð ə
equipades	ə k i p 'a ð ə s
equipament	ə k i p ə m 'e n
equipaments	ə k i p ə m 'e n s
equipar	ə k i p 'a
equipara	ə k i p 'a ɾ ə
equiparable	ə k i p ə ɾ 'a b b l ə
equiparables	ə k i p ə ɾ 'a b b l ə s
equiparació	ə k i p ə ɾ ə s i 'o
equiparant	ə k i p ə ɾ 'a n
equiparar	ə k i p ə ɾ 'a
equipararse	ə k i p ə ɾ 'a r s ə
equiparat	ə k i p ə ɾ 'a t
equiparen	ə k i p 'a ɾ ə n
equipari	ə k i p 'a ɾ i
equiparse	ə k i p 'a r s ə
equiparà	ə k i p ə ɾ 'a
equipat	ə k i p 'a t
equipatge	ə k i p 'a d ʒ ə
equipatges	ə k i p 'a d ʒ ə s
equipats	ə k i p 'a t s
equipen	ə k 'i p ə n
equipet	ə k i p 'ɛ t
equipo	ə k 'i p u
equips	ə k 'i p s
equipàs	ə k i p 'a s
equitat	ə k i t 'a t
equitatiu	ə k i t ə t 'i w
equitatius	ə k i t ə t 'i w s
equitativa	ə k i t ə t 'i β ə
equitats	ə k i t 'a t s
equival	ə k i β 'a l
equivaldria	ə k i β ə l d ɾ 'i ə
equivalen	ə k i β 'a l ə n
equivalent	ə k i β ə l 'e n
equivalents	ə k i β ə l 'e n s
equivalia	ə k i β ə l 'i ə
equivalien	ə k i β ə l 'i ə n
equivalència	ə k i β ə l 'ɛ n s i ə
equivalències	ə k i β ə l 'ɛ n s i ə s
equivoca	ə k i β 'o k ə
equivocacions	ə k i β u k ə s i 'o n s
equivocació	ə k i β u k ə s i 'o
equivocada	ə k i β u k 'a ð ə
equivocades	ə k i β u k 'a ð ə s
equivocant	ə k i β u k 'a n
equivocantse	ə k i β u k 'a n s ə
equivocar	ə k i β u k 'a
equivocareu	ə k i β u k ə ɾ 'ɛ w
equivocaria	ə k i β u k ə ɾ 'i ə
equivocarme	ə k i β u k 'a r m ə
equivocarnos	ə k i β u k 'a r n u s
equivocarse	ə k i β u k 'a r s ə
equivocat	ə k i β u k 'a t
equivocats	ə k i β u k 'a t s
equivocava	ə k i β u k 'a β ə
equivoco	ə k i β 'o k u
equivoquem	ə k i β u k 'ɛ m
equivoquen	ə k i β 'o k ə n
equivoques	ə k i β 'o k ə s
equivoqueu	ə k i β u k 'ɛ w
equivoqui	ə k i β 'o k i
equivoquin	ə k i β 'o k i n
equivoquis	ə k i β 'o k i s
equànime	ə k w 'a n i m ə
equívoc	ə k 'i β u k
equívoca	ə k 'i β u k ə
equívocs	ə k 'i β u k s
equívoques	ə k 'i β u k ə s
eqüestre	ə k w 'ɛ s t ɾ ə
eqüestres	ə k w 'e s t ɾ ə s
era	'e ɾ ə
eradicació	ə ɾ ə ð i k ə s i 'o
eradicada	ə ɾ ə ð i k 'a ð ə
eradicar	ə ɾ ə ð i k 'a
eradicaran	ə ɾ ə ð i k ə ɾ 'a n
eradicarla	ə ɾ ə ð i k 'a r l ə
eradicarà	ə ɾ ə ð i k ə ɾ 'a
eradicat	ə ɾ ə ð i k 'a t
erari	ə ɾ 'a ɾ i
erecció	ə ɾ ə k s i 'o
erecta	ə ɾ 'ɛ k t ə
eren	'e ɾ ə n
eres	'e ɾ ə s
ergo	'e ɾ ɣ o
eric	ə ɾ 'i k
erigeix	ə ɾ i ʒ 'ɛ ʃ
erigeixen	ə ɾ i ʒ 'ɛ ʃ ə n
erigida	ə ɾ i ʒ 'i ð ə
erigintse	ə ɾ i ʒ 'i n s ə
erigir	ə ɾ i ʒ 'i
erigireu	ə ɾ i ʒ i ɾ 'ɛ w
erigirse	ə ɾ i ʒ 'i r s ə
erigit	ə ɾ i ʒ 'i t
erika	ə ɾ 'i k ə
eriçons	ə ɾ i s 'o n s
erm	'ɛ r m
erma	'ɛ r m ə
ermita	ə r m 'i t ə
ermites	ə r m 'i t ə s
ernest	ə r n 'e s t
erodit	ə ɾ u ð 'i t
erosiona	ə ɾ u z i 'o n ə
erosionables	ə ɾ u z i u n 'a b b l ə s
erosionada	ə ɾ u z i u n 'a ð ə
erosionant	ə ɾ u z i u n 'a n
erosionar	ə ɾ u z i u n 'a
erosionat	ə ɾ u z i u n 'a t
erosionats	ə ɾ u z i u n 'a t s
erosions	ə ɾ u z i 'o n s
erosió	ə ɾ u z i 'o
erotisme	ə ɾ u t 'i z m ə
erra	'e r ə
errada	ə r 'a ð ə
errades	ə r 'a ð ə s
erradicar	ə r ə ð i k 'a
errant	ə r 'a n
errants	ə r 'a n s
errar	ə r 'a
errat	ə r 'a t
errats	ə r 'a t s
erres	'e r ə s
erro	'ɛ r u
erroni	ə r 'ɔ n i
erronis	ə r 'ɔ n i s
error	ə r 'o r
errors	ə r 'o r s
erràtic	ə r 'a t i k
erràtica	ə r 'a t i k ə
erràtics	ə r 'a t i k s
erràtiques	ə r 'a t i k ə s
errònia	ə r 'ɔ n i ə
errònies	ə r 'ɔ n i ə s
erudició	ə ɾ u ð i s i 'o
erudit	ə ɾ u ð 'i t
erudita	ə ɾ u ð 'i t ə
erudites	ə ɾ u ð 'i t ə s
erudits	ə ɾ u ð 'i t s
eruga	ə ɾ 'u ɣ ə
erupcions	ə ɾ u p s i 'o n s
erupció	ə ɾ u p s i 'o
erèctil	ə ɾ 'ɛ k t i l
eròtic	ə ɾ 'ɔ t i k
eròtica	ə ɾ 'ɔ t i k ə
eròtics	ə ɾ 'ɔ t i k s
eròtiques	ə ɾ 'ɔ t i k ə s
es	ə s
esbalaïda	ə z β ə l ə 'i ð ə
esbandint	ə z β ə n d 'i n
esbandir	ə z β ə n d 'i
esbarjo	ə z β 'a r ʒ u
esbart	ə z β 'a r t
esbarts	ə z β 'a r s
esbarzer	ə z β ə r z 'e
esberla	ə z β 'ɛ r l ə
esberlar	ə z β ə r l 'a
esberlat	ə z β ə r l 'a t
esbiaixada	ə z β i ə ʃ 'a ð ə
esbiaixades	ə z β i ə ʃ 'a ð ə s
esbiaixat	ə z β i ə ʃ 'a t
esbojarrada	ə z β u ʒ ə r 'a ð ə
esbojarrades	ə z β u ʒ ə r 'a ð ə s
esbojarrat	ə z β u ʒ ə r 'a t
esbojarrats	ə z β u ʒ ə r 'a t s
esbombar	ə z β u m b 'a
esbombat	ə z β u m b 'a t
esborra	ə z β 'o r ə
esborrada	ə z β u r 'a ð ə
esborrades	ə z β u r 'a ð ə s
esborrajada	ə z β u r ə ʒ 'a ð ə
esborrant	ə z β u r 'a n
esborrany	ə z β u r 'a ɲ
esborranys	ə z β u r 'a ɲ s
esborrar	ə z β u r 'a
esborraries	ə z β u r ə ɾ 'i ə s
esborrarla	ə z β u r 'a r l ə
esborrarlo	ə z β u r 'a r l u
esborrarne	ə z β u r 'a r n ə
esborrarà	ə z β u r ə ɾ 'a
esborrat	ə z β u r 'a t
esborrats	ə z β u r 'a t s
esborrava	ə z β u r 'a β ə
esborren	ə z β 'o r ə n
esborreu	ə z β u r 'ɛ w
esborri	ə z β 'o r i
esborrin	ə z β 'o r i n
esborris	ə z β 'o r i s
esborrona	ə z β u r 'o n ə
esborronadors	ə z β u r u n ə ð 'o s
esbossa	ə z β 'o s ə
esbossar	ə z β u s 'a
esbossat	ə z β u s 'a t
esbossen	ə z β 'o s ə n
esbossos	ə z β 'o s u s
esbotzar	ə z β u d z 'a
esbrina	ə z β ɾ 'i n ə
esbrinant	ə z β ɾ i n 'a n
esbrinar	ə z β ɾ i n 'a
esbrinat	ə z β ɾ i n 'a t
esbrino	ə z β ɾ 'i n u
esbroncada	ə z β ɾ u ŋ k 'a ð ə
esbroncar	ə z β ɾ u ŋ k 'a
esbroncat	ə z β ɾ u ŋ k 'a t
esbroncava	ə z β ɾ u ŋ k 'a β ə
esbudellats	ə z β u ð ə ʎ 'a t s
esbufega	ə z β u f 'ɛ ɣ ə
esbufegués	ə z β u f ə ɣ 'e s
esbós	ə z β 'o s
escabroses	ə s k ə β ɾ 'o z ə s
escabrosos	ə s k ə β ɾ 'o z u s
escac	ə s k 'a k
escacs	ə s k 'a k s
escadussera	ə s k ə ð u s 'e ɾ ə
escafandres	ə s k ə f 'a n d ɾ ə s
escaient	ə s k ə j 'e n
escaients	ə s k ə j 'e n s
escaig	ə s k 'a tʃ
escaigui	ə s k 'a j ɣ i
escaiola	ə s k ə j 'ɔ l ə
escaire	ə s k 'a j ɾ ə
escala	ə s k 'a l ə
escalable	ə s k ə l 'a b b l ə
escalada	ə s k ə l 'a ð ə
escalador	ə s k ə l ə ð 'o
escaladors	ə s k ə l ə ð 'o s
escalafó	ə s k ə l ə f 'o
escalant	ə s k ə l 'a n
escalar	ə s k ə l 'a
escalat	ə s k ə l 'a t
escaldat	ə s k ə l d 'a t
escaldats	ə s k ə l d 'a t s
escales	ə s k 'a l ə s
escaleta	ə s k ə l 'ɛ t ə
escalf	ə s k 'a l f
escalfa	ə s k 'a l f ə
escalfador	ə s k ə l f ə ð 'o
escalfament	ə s k ə l f ə m 'e n
escalfant	ə s k ə l f 'a n
escalfar	ə s k ə l f 'a
escalfarse	ə s k ə l f 'a r s ə
escalfat	ə s k ə l f 'a t
escalfem	ə s k ə l f 'ɛ m
escalfen	ə s k 'a l f ə n
escalfor	ə s k ə l f 'o
escalinata	ə s k ə l i n 'a t ə
escalivada	ə s k ə l i β 'a ð ə
escalones	ə s k ə l 'o n ə s
escaloni	ə s k ə l 'ɔ n i
escalímetres	ə s k ə l 'i m ə t ɾ ə s
escamarlà	ə s k ə m ə r l 'a
escames	ə s k 'a m ə s
escamot	ə s k ə m 'ɔ t
escamots	ə s k ə m 'ɔ t s
escampa	ə s k 'a m p ə
escampada	ə s k ə m p 'a ð ə
escampades	ə s k ə m p 'a ð ə s
escampall	ə s k ə m p 'a ʎ
escampant	ə s k ə m p 'a n
escampar	ə s k ə m p 'a
escamparse	ə s k ə m p 'a r s ə
escampat	ə s k ə m p 'a t
escampats	ə s k ə m p 'a t s
escampava	ə s k ə m p 'a β ə
escampen	ə s k 'a m p ə n
escampi	ə s k 'a m p i
escampin	ə s k 'a m p i n
escandalitza	ə s k ə n d ə l 'i d z ə
escandalitzar	ə s k ə n d ə l i d z 'a
escandalitzarlos	ə s k ə n d ə l i d z 'a r l u s
escandalitzarse	ə s k ə n d ə l i d z 'a r s ə
escandalitzat	ə s k ə n d ə l i d z 'a t
escandalitzats	ə s k ə n d ə l i d z 'a t s
escandalitzaven	ə s k ə n d ə l i d z 'a β ə n
escandalitzem	ə s k ə n d ə l i d z 'ɛ m
escandalitzen	ə s k ə n d ə l 'i d z ə n
escandalitzeu	ə s k ə n d ə l i d z 'ɛ w
escandalitzi	ə s k ə n d ə l 'i d z i
escandalls	ə s k ə n d 'a ʎ s
escandalosa	ə s k ə n d ə l 'o z ə
escandaloses	ə s k ə n d ə l 'o z ə s
escandalosos	ə s k ə n d ə l 'o z u s
escandalós	ə s k ə n d ə l 'o s
escandinau	ə s k ə n d i n 'a w
escandinaus	ə s k ə n d i n 'a w s
escandinava	ə s k ə n d i n 'a β ə
escandinaves	ə s k ə n d i n 'a β ə s
escaneig	ə s k ə n 'ɛ tʃ
escanyament	ə s k ə ɲ ə m 'e n
escanyar	ə s k ə ɲ 'a
escanyolit	ə s k ə ɲ u l 'i t
escapa	ə s k 'a p ə
escapada	ə s k ə p 'a ð ə
escapades	ə s k ə p 'a ð ə s
escapament	ə s k ə p ə m 'e n
escapant	ə s k ə p 'a n
escapar	ə s k ə p 'a
escaparme	ə s k ə p 'a r m ə
escaparne	ə s k ə p 'a r n ə
escaparse	ə s k ə p 'a r s ə
escaparà	ə s k ə p ə ɾ 'a
escapat	ə s k ə p 'a t
escapats	ə s k ə p 'a t s
escapatòria	ə s k ə p ə t 'ɔ ɾ i ə
escapava	ə s k ə p 'a β ə
escapaven	ə s k ə p 'a β ə n
escapen	ə s k 'a p ə n
escapi	ə s k 'a p i
escapin	ə s k 'a p i n
escapisme	ə s k ə p 'i z m ə
escapolirse	ə s k ə p u l 'i r s ə
escapçada	ə s k ə p s 'a ð ə
escapçat	ə s k ə p s 'a t
escapés	ə s k ə p 'e s
escaquer	ə s k ə k 'e
escaquista	ə s k ə k 'i s t ə
escaquistes	ə s k ə k 'i s t ə s
escarabat	ə s k ə ɾ ə β 'a t
escarabats	ə s k ə ɾ ə β 'a t s
escarafalls	ə s k ə ɾ ə f 'a ʎ s
escaramussa	ə s k ə ɾ ə m 'u s ə
escaramusses	ə s k ə ɾ ə m 'u s ə s
escarlata	ə s k ə r l 'a t ə
escarment	ə s k ə r m 'e n
escarmentar	ə s k ə r m ə n t 'a
escarmentats	ə s k ə r m ə n t 'a t s
escarni	ə s k 'a r n i
escarnir	ə s k ə r n 'i
escarola	ə s k ə ɾ 'ɔ l ə
escaroles	ə s k ə ɾ 'ɔ l ə s
escarransida	ə s k ə r ə n s 'i ð ə
escarxofats	ə s k ə r ʃ u f 'a t s
escassa	ə s k 'a s ə
escassedat	ə s k ə s ə ð 'a t
escasses	ə s k 'a s ə s
escassesa	ə s k ə s 'ɛ z ə
escassetat	ə s k ə s ə t 'a t
escassos	ə s k 'a s u s
escassíssima	ə s k ə s 'i s i m ə
escatimar	ə s k ə t i m 'a
escatimat	ə s k ə t i m 'a t
escatir	ə s k ə t 'i
escatologia	ə s k ə t u l u ʒ 'i ə
escatològic	ə s k ə t u l 'ɔ ʒ i k
escatològica	ə s k ə t u l 'ɔ ʒ i k ə
escatològiques	ə s k ə t u l 'ɔ ʒ i k ə s
escau	ə s k 'a w
escauen	ə s k 'a w ə n
escaureli	ə s k ə w ɾ 'ɛ l i
escena	ə s 'ɛ n ə
escenari	ə s ə n 'a ɾ i
escenaris	ə s ə n 'a ɾ i s
escenes	ə s 'ɛ n ə s
escenifica	ə s ə n i f 'i k ə
escenificacions	ə s ə n i f i k ə s i 'o n s
escenificació	ə s ə n i f i k ə s i 'o
escenificada	ə s ə n i f i k 'a ð ə
escenificant	ə s ə n i f i k 'a n
escenificar	ə s ə n i f i k 'a
escenificarà	ə s ə n i f i k ə ɾ 'a
escenificat	ə s ə n i f i k 'a t
escenificats	ə s ə n i f i k 'a t s
escenifiquen	ə s ə n i f 'i k ə n
escenografia	ə s ə n u ɣ ɾ ə f 'i ə
escenografies	ə s ə n u ɣ ɾ ə f 'i ə s
escenogràfic	ə s ə n u ɣ ɾ 'a f i k
escenogràfica	ə s ə n u ɣ ɾ 'a f i k ə
escenogràfics	ə s ə n u ɣ ɾ 'a f i k s
escenogràfiques	ə s ə n u ɣ ɾ 'a f i k ə s
escenògraf	ə s ə n 'ɔ ɣ ɾ ə f
escenògrafs	ə s ə n 'ɔ ɣ ɾ ə f s
escepticisme	ə s ə p t i s 'i z m ə
escindida	ə s i n d 'i ð ə
escindir	ə s i n d 'i
escindit	ə s i n d 'i t
escindits	ə s i n d 'i t s
escissions	ə s i s i 'o n s
escissió	ə s i s i 'o
esclafa	ə s k l 'a f ə
esclafades	ə s k l ə f 'a ð ə s
esclafantles	ə s k l ə f 'a n l l ə s
esclafar	ə s k l ə f 'a
esclafat	ə s k l ə f 'a t
esclafats	ə s k l ə f 'a t s
esclarir	ə s k l ə ɾ 'i
esclat	ə s k l 'a t
esclata	ə s k l 'a t ə
esclatant	ə s k l ə t 'a n
esclatar	ə s k l ə t 'a
esclataria	ə s k l ə t ə ɾ 'i ə
esclatarli	ə s k l ə t 'a r l i
esclatarlos	ə s k l ə t 'a r l u s
esclatarà	ə s k l ə t ə ɾ 'a
esclatat	ə s k l ə t 'a t
esclatava	ə s k l ə t 'a β ə
esclaten	ə s k l 'a t ə n
esclati	ə s k l 'a t i
esclats	ə s k l 'a t s
esclatés	ə s k l ə t 'e s
esclau	ə s k l 'a w
esclaus	ə s k l 'a w s
esclava	ə s k l 'a β ə
esclavatge	ə s k l ə β 'a d ʒ ə
esclaves	ə s k l 'a β ə s
esclavisme	ə s k l ə β 'i z m ə
esclavitud	ə s k l ə β i t 'u t
esclavitzada	ə s k l ə β i d z 'a ð ə
esclavitzar	ə s k l ə β i d z 'a
esclavitzats	ə s k l ə β i d z 'a t s
esclavitzin	ə s k l ə β 'i d z i n
esclerosi	ə s k l ə ɾ 'ɔ z i
escletxa	ə s k l 'e t ʃ ə
escletxes	ə s k l 'e t ʃ ə s
esclops	ə s k l 'ɔ p s
escocesa	ə s k u s 'ɛ z ə
escoceses	ə s k u s 'ɛ z ə s
escocesos	ə s k u s 'ɛ z u s
escocès	ə s k u s 'ɛ s
escola	ə s k 'ɔ l ə
escolanet	ə s k u l ə n 'ɛ t
escolanets	ə s k u l ə n 'ɛ t s
escolania	ə s k u l ə n 'i ə
escolar	ə s k u l 'a r
escolaritat	ə s k u l ə ɾ i t 'a t
escolarització	ə s k u l ə ɾ i d z ə s i 'o
escolaritzada	ə s k u l ə ɾ i d z 'a ð ə
escolaritzar	ə s k u l ə ɾ i d z 'a
escolaritzarlo	ə s k u l ə ɾ i d z 'a r l u
escolaritzats	ə s k u l ə ɾ i d z 'a t s
escolars	ə s k u l 'a r s
escolat	ə s k u l 'a t
escolava	ə s k u l 'a β ə
escoles	ə s k 'ɔ l ə s
escollida	ə s k u ʎ 'i ð ə
escollides	ə s k u ʎ 'i ð ə s
escollien	ə s k u ʎ 'i ə n
escollim	ə s k u ʎ 'i m
escollint	ə s k u ʎ 'i n
escollir	ə s k u ʎ 'i
escolliran	ə s k u ʎ i ɾ 'a n
escolliries	ə s k u ʎ i ɾ 'i ə s
escollirne	ə s k u ʎ 'i r n ə
escollirà	ə s k u ʎ i ɾ 'a
escollit	ə s k u ʎ 'i t
escollits	ə s k u ʎ 'i t s
escolliu	ə s k u ʎ 'i w
escolliune	ə s k u ʎ 'i w n ə
escollís	ə s k u ʎ 'i s
escolta	ə s k 'o l t ə
escoltada	ə s k u l t 'a ð ə
escoltades	ə s k u l t 'a ð ə s
escoltam	ə s k u l t 'a m
escoltant	ə s k u l t 'a n
escoltantla	ə s k u l t 'a n l l ə
escoltar	ə s k u l t 'a
escoltaran	ə s k u l t ə ɾ 'a n
escoltarem	ə s k u l t ə ɾ 'ɛ m
escoltarho	ə s k u l t 'a ɾ u
escoltaria	ə s k u l t ə ɾ 'i ə
escoltaries	ə s k u l t ə ɾ 'i ə s
escoltarla	ə s k u l t 'a r l ə
escoltarles	ə s k u l t 'a r l ə s
escoltarlo	ə s k u l t 'a r l u
escoltarlos	ə s k u l t 'a r l u s
escoltarse	ə s k u l t 'a r s ə
escoltarà	ə s k u l t ə ɾ 'a
escoltaré	ə s k u l t ə ɾ 'e
escoltat	ə s k u l t 'a t
escoltats	ə s k u l t 'a t s
escoltava	ə s k u l t 'a β ə
escoltaven	ə s k u l t 'a β ə n
escoltem	ə s k u l t 'ɛ m
escolten	ə s k 'o l t ə n
escoltes	ə s k 'o l t ə s
escoltessin	ə s k u l t 'e s i n
escolteu	ə s k u l t 'ɛ w
escolti	ə s k 'o l t i
escoltim	ə s k u l t 'i m
escoltin	ə s k 'o l t i n
escoltisme	ə s k u l t 'i z m ə
escolto	ə s k 'o l t u
escoltàvem	ə s k u l t 'a β ə m
escoltés	ə s k u l t 'e s
escolà	ə s k u l 'a
escolàstica	ə s k u l 'a s t i k ə
escombra	ə s k 'o m b ɾ ə
escombrada	ə s k u m b ɾ 'a ð ə
escombrant	ə s k u m b ɾ 'a n
escombrar	ə s k u m b ɾ 'a
escombraria	ə s k u m b ɾ ə ɾ 'i ə
escombraries	ə s k u m b ɾ ə ɾ 'i ə s
escombrat	ə s k u m b ɾ 'a t
escombrats	ə s k u m b ɾ 'a t s
escombrava	ə s k u m b ɾ 'a β ə
escombriaires	ə s k u m b ɾ i 'a j ɾ ə s
escomesa	ə s k u m 'ɛ z ə
escomeses	ə s k u m 'ɛ z ə s
escometre	ə s k u m 'ɛ t ɾ ə
escons	ə s k 'o n s
escopeta	ə s k u p 'ɛ t ə
escopetes	ə s k u p 'ɛ t ə s
escopia	ə s k u p 'i ə
escopinada	ə s k u p i n 'a ð ə
escopinades	ə s k u p i n 'a ð ə s
escopint	ə s k u p 'i n
escopinya	ə s k u p 'i ɲ ə
escopinyes	ə s k u p 'i ɲ ə s
escopir	ə s k u p 'i
escopit	ə s k u p 'i t
escorcoll	ə s k u r k 'o ʎ
escorcolla	ə s k u r k 'o ʎ ə
escorcollades	ə s k u r k u ʎ 'a ð ə s
escorcollant	ə s k u r k u ʎ 'a n
escorcollar	ə s k u r k u ʎ 'a
escorcollat	ə s k u r k u ʎ 'a t
escorcollats	ə s k u r k u ʎ 'a t s
escorcolls	ə s k u r k 'o ʎ s
escorpins	ə s k u r p 'i n s
escorpí	ə s k u r p 'i
escorreguda	ə s k u r ə ɣ 'u ð ə
escorta	ə s k 'o r t ə
escortar	ə s k u r t 'a
escortarme	ə s k u r t 'a r m ə
escortaré	ə s k u r t ə ɾ 'e
escortat	ə s k u r t 'a t
escortats	ə s k u r t 'a t s
escortes	ə s k 'o r t ə s
escorxador	ə s k u r ʃ ə ð 'o
escorxadors	ə s k u r ʃ ə ð 'o s
escorça	ə s k 'ɔ r s ə
escot	ə s k 'ɔ t
escots	ə s k 'ɔ t s
escreix	ə s k ɾ 'e ʃ
escriba	ə s k ɾ 'i β ə
escribes	ə s k ɾ 'i β ə s
escribim	ə s k ɾ i β 'i m
escric	ə s k ɾ 'i k
escridassada	ə s k ɾ i ð ə s 'a ð ə
escridassant	ə s k ɾ i ð ə s 'a n
escridassar	ə s k ɾ i ð ə s 'a
escridassat	ə s k ɾ i ð ə s 'a t
escridassen	ə s k ɾ i ð 'a s ə n
escrigui	ə s k ɾ 'i ɣ i
escriguin	ə s k ɾ 'i ɣ i n
escriguis	ə s k ɾ 'i ɣ i s
escrigué	ə s k ɾ i ɣ 'e
escriptor	ə s k ɾ i p t 'o
escriptora	ə s k ɾ i p t 'o ɾ ə
escriptores	ə s k ɾ i p t 'o ɾ ə s
escriptori	ə s k ɾ i p t 'ɔ ɾ i
