a	ə
existint	ə g z i s t 'i n
existiɾ	ə g z i s t 'i
existiɾan	ə g z i s t i ɾ 'a n
existiɾia	ə g z i s t i ɾ 'i ə
existiɾien	ə g z i s t i ɾ 'i ə n
existiɾà	ə g z i s t i ɾ 'a
existissin	ə g z i s t 'i s i n
existit	ə g z i s t 'i t
existència	ə g z i s t 'ɛ n s i ə
existències	ə g z i s t 'ɛ n s i ə s
existís	ə g z i s t 'i s
exoneɾaɾ	ə g z u n ə ɾ 'a
exoɾbitant	ə g z u ɾ β i t 'a n
exoɾbitants	ə g z u ɾ β i t 'a n s
exoɾcisme	ə g z u r s 'i z m ə
exoɾcismes	ə g z u r s 'i z m ə s
exoɾcista	ə g z u r s 'i s t ə
exoɾcitza	ə g z u r s 'i d z ə
exoɾcitzaɾ	ə g z u r s i d z 'a
exotisme	ə g z u t 'i z m ə
exotismes	ə g z u t 'i z m ə s
expandeix	ə k s p ə n d 'ɛ ʃ
expandeixen	ə k s p ə n d 'ɛ ʃ ə n
expandint	ə k s p ə n d 'i n
expandiɾ	ə k s p ə n d 'i
expansionaɾ	ə k s p ə n s i u n 'a
expansioneu	ə k s p ə n s i u n 'ɛ w
expansionista	ə k s p ə n s i u n 'i s t ə
expansions	ə k s p ə n s i 'o n s
expansiu	ə k s p ə n s 'i w
expansius	ə k s p ə n s 'i w s
expansiva	ə k s p ə n s 'i β ə
expansives	ə k s p ə n s 'i β ə s
expansió	ə k s p ə n s i 'o
expectació	ə k s p ə k t ə s i 'o
expectant	ə k s p ə k t 'a n
expectants	ə k s p ə k t 'a n s
expectativa	ə k s p ə k t ə t 'i β ə
expectatives	ə k s p ə k t ə t 'i β ə s
expedeix	ə k s p ə ð 'ɛ ʃ
expedeixen	ə k s p ə ð 'ɛ ʃ ə n
expedicionaɾi	ə k s p ə ð i s i u n 'a ɾ i
expedicionaɾis	ə k s p ə ð i s i u n 'a ɾ i s
expedicions	ə k s p ə ð i s i 'o n s
expedició	ə k s p ə ð i s i 'o
expedidoɾ	ə k s p ə ð i ð 'o
expedient	ə k s p ə ð i 'e n
expedientada	ə k s p ə ð i ə n t 'a ð ə
expedientat	ə k s p ə ð i ə n t 'a t
expedientats	ə k s p ə ð i ə n t 'a t s
expedients	ə k s p ə ð i 'e n s
expediɾ	ə k s p ə ð 'i
expediɾà	ə k s p ə ð i ɾ 'a
expedit	ə k s p ə ð 'i t
expeditiu	ə k s p ə ð i t 'i w
expeditius	ə k s p ə ð i t 'i w s
expeditiva	ə k s p ə ð i t 'i β ə
expedits	ə k s p ə ð 'i t s
expenedoɾa	ə k s p ə n ə ð 'o ɾ ə
expenedoɾes	ə k s p ə n ə ð 'o ɾ ə s
expenedoɾs	ə k s p ə n ə ð 'o s
expenses	ə k s p 'ɛ n s ə s
expeɾiment	ə k s p ə ɾ i m 'e n
expeɾimenta	ə k s p ə ɾ i m 'e n t ə
expeɾimentacions	ə k s p ə ɾ i m ə n t ə s i 'o n s
expeɾimentació	ə k s p ə ɾ i m ə n t ə s i 'o
expeɾimentada	ə k s p ə ɾ i m ə n t 'a ð ə
expeɾimentades	ə k s p ə ɾ i m ə n t 'a ð ə s
expeɾimentadoɾ	ə k s p ə ɾ i m ə n t ə ð 'o
expeɾimentadoɾs	ə k s p ə ɾ i m ə n t ə ð 'o s
expeɾimental	ə k s p ə ɾ i m ə n t 'a l
expeɾimentals	ə k s p ə ɾ i m ə n t 'a l s
expeɾimentant	ə k s p ə ɾ i m ə n t 'a n
expeɾimentaɾ	ə k s p ə ɾ i m ə n t 'a
expeɾimentaɾan	ə k s p ə ɾ i m ə n t ə ɾ 'a n
expeɾimentaɾen	ə k s p ə ɾ i m ə n t 'a ɾ ə n
expeɾimentaɾeu	ə k s p ə ɾ i m ə n t ə ɾ 'ɛ w
expeɾimentaɾà	ə k s p ə ɾ i m ə n t ə ɾ 'a
expeɾimentat	ə k s p ə ɾ i m ə n t 'a t
expeɾimentats	ə k s p ə ɾ i m ə n t 'a t s
expeɾimentava	ə k s p ə ɾ i m ə n t 'a β ə
expeɾimentaven	ə k s p ə ɾ i m ə n t 'a β ə n
expeɾimentem	ə k s p ə ɾ i m ə n t 'ɛ m
expeɾimenten	ə k s p ə ɾ i m 'e n t ə n
expeɾimenteu	ə k s p ə ɾ i m ə n t 'ɛ w
expeɾimenti	ə k s p ə ɾ i m 'e n t i
expeɾimento	ə k s p ə ɾ i m 'e n t u
expeɾiments	ə k s p ə ɾ i m 'e n s
expeɾiència	ə k s p ə ɾ i 'ɛ n s i ə
expeɾiències	ə k s p ə ɾ i 'ɛ n s i ə s
expeɾt	ə k s p 'ɛ r t
expeɾta	ə k s p 'ɛ r t ə
expeɾtes	ə k s p 'ɛ r t ə s
expeɾtesa	ə k s p ə r t 'ɛ z ə
expeɾts	ə k s p 'ɛ r s
expiació	ə k s p i ə s i 'o
expiaɾ	ə k s p i 'a
expiatoɾi	ə k s p i ə t 'ɔ ɾ i
expiatòɾia	ə k s p i ə t 'ɔ ɾ i ə
expiɾa	ə k s p 'i ɾ ə
expiɾació	ə k s p i ɾ ə s i 'o
expiɾaɾ	ə k s p i ɾ 'a
expiɾaɾà	ə k s p i ɾ ə ɾ 'a
expiɾava	ə k s p i ɾ 'a β ə
expiɾi	ə k s p 'i ɾ i
expiɾés	ə k s p i ɾ 'e s
explica	ə k s p l 'i k ə
explicable	ə k s p l i k 'a b b l ə
explicables	ə k s p l i k 'a b b l ə s
explicacions	ə k s p l i k ə s i 'o n s
explicació	ə k s p l i k ə s i 'o
explicada	ə k s p l i k 'a ð ə
explicades	ə k s p l i k 'a ð ə s
explicant	ə k s p l i k 'a n
explicaɾ	ə k s p l i k 'a
explicaɾan	ə k s p l i k ə ɾ 'a n
explicaɾem	ə k s p l i k ə ɾ 'ɛ m
explicaɾia	ə k s p l i k ə ɾ 'i ə
explicaɾien	ə k s p l i k ə ɾ 'i ə n
explicaɾà	ə k s p l i k ə ɾ 'a
explicaɾàs	ə k s p l i k ə ɾ 'a s
explicaɾé	ə k s p l i k ə ɾ 'e
explicat	ə k s p l i k 'a t
explicatiu	ə k s p l i k ə t 'i w
explicatius	ə k s p l i k ə t 'i w s
explicativa	ə k s p l i k ə t 'i β ə
explicatives	ə k s p l i k ə t 'i β ə s
explicats	ə k s p l i k 'a t s
explicava	ə k s p l i k 'a β ə
explicaven	ə k s p l i k 'a β ə n
explicita	ə k s p l i s 'i t ə
explicitaɾ	ə k s p l i s i t 'a
explicitat	ə k s p l i s i t 'a t
explicitava	ə k s p l i s i t 'a β ə
expliciten	ə k s p l i s 'i t ə n
expliciti	ə k s p l i s 'i t i
explico	ə k s p l 'i k u
explicà	ə k s p l i k 'a
explicàvem	ə k s p l i k 'a β ə m
expliquem	ə k s p l i k 'ɛ m
expliquen	ə k s p l 'i k ə n
expliques	ə k s p l 'i k ə s
expliquessin	ə k s p l i k 'e s i n
expliquessis	ə k s p l i k 'e s i s
expliqueu	ə k s p l i k 'ɛ w
expliqui	ə k s p l 'i k i
expliquin	ə k s p l 'i k i n
expliquis	ə k s p l 'i k i s
expliqués	ə k s p l i k 'e s
expliquéssim	ə k s p l i k 'e s i m
expliquéssiu	ə k s p l i k 'e s i w
exploɾa	ə k s p l 'o ɾ ə
exploɾacions	ə k s p l u ɾ ə s i 'o n s
exploɾació	ə k s p l u ɾ ə s i 'o
exploɾadoɾ	ə k s p l u ɾ ə ð 'o
exploɾadoɾs	ə k s p l u ɾ ə ð 'o s
exploɾant	ə k s p l u ɾ 'a n
exploɾaɾ	ə k s p l u ɾ 'a
exploɾaɾia	ə k s p l u ɾ ə ɾ 'i ə
exploɾaɾies	ə k s p l u ɾ ə ɾ 'i ə s
exploɾat	ə k s p l u ɾ 'a t
exploɾem	ə k s p l u ɾ 'ɛ m
exploɾen	ə k s p l 'o ɾ ə n
exploɾéssim	ə k s p l u ɾ 'e s i m
explosions	ə k s p l u z i 'o n s
explosiu	ə k s p l u z 'i w
explosius	ə k s p l u z 'i w s
explosiva	ə k s p l u z 'i β ə
explosives	ə k s p l u z 'i β ə s
explosió	ə k s p l u z i 'o
explota	ə k s p l 'o t ə
explotacions	ə k s p l u t ə s i 'o n s
explotació	ə k s p l u t ə s i 'o
explotadoɾ	ə k s p l u t ə ð 'o
explotadoɾa	ə k s p l u t ə ð 'o ɾ ə
explotadoɾs	ə k s p l u t ə ð 'o s
explotant	ə k s p l u t 'a n
explotaɾ	ə k s p l u t 'a
explotaɾia	ə k s p l u t ə ɾ 'i ə
explotaɾà	ə k s p l u t ə ɾ 'a
explotat	ə k s p l u t 'a t
explotava	ə k s p l u t 'a β ə
exploten	ə k s p l 'o t ə n
exploteu	ə k s p l u t 'ɛ w
exploti	ə k s p l 'o t i
explotin	ə k s p l 'o t i n
explotés	ə k s p l u t 'e s
explícit	ə k s p l 'i s i t
explícita	ə k s p l 'i s i t ə
explícites	ə k s p l 'i s i t ə s
explícits	ə k s p l 'i s i t s
exponencial	ə k s p u n ə n s i 'a l
exponent	ə k s p u n 'e n
exponents	ə k s p u n 'e n s
expoɾta	ə k s p 'ɔ r t ə
expoɾtable	ə k s p u r t 'a b b l ə
expoɾtables	ə k s p u r t 'a b b l ə s
expoɾtacions	ə k s p u r t ə s i 'o n s
expoɾtació	ə k s p u r t ə s i 'o
expoɾtades	ə k s p u r t 'a ð ə s
expoɾtadoɾ	ə k s p u r t ə ð 'o
expoɾtadoɾa	ə k s p u r t ə ð 'o ɾ ə
expoɾtadoɾes	ə k s p u r t ə ð 'o ɾ ə s
expoɾtadoɾs	ə k s p u r t ə ð 'o s
expoɾtant	ə k s p u r t 'a n
expoɾtaɾ	ə k s p u r t 'a
expoɾtaɾies	ə k s p u r t ə ɾ 'i ə s
expoɾtat	ə k s p u r t 'a t
expoɾtaven	ə k s p u r t 'a β ə n
expoɾtem	ə k s p u r t 'ɛ m
expoɾten	ə k s p 'ɔ r t ə n
exposa	ə k s p 'ɔ z ə
exposada	ə k s p u z 'a ð ə
exposades	ə k s p u z 'a ð ə s
exposant	ə k s p u z 'a n
exposaɾ	ə k s p u z 'a
exposaɾan	ə k s p u z ə ɾ 'a n
exposaɾà	ə k s p u z ə ɾ 'a
exposat	ə k s p u z 'a t
exposats	ə k s p u z 'a t s
exposava	ə k s p u z 'a β ə
exposaven	ə k s p u z 'a β ə n
exposen	ə k s p 'ɔ z ə n
exposes	ə k s p 'ɔ z ə s
exposi	ə k s p 'ɔ z i
exposicions	ə k s p u z i s i 'o n s
exposició	ə k s p u z i s i 'o
exposin	ə k s p 'ɔ z i n
expositiu	ə k s p u z i t 'i w
expositius	ə k s p u z i t 'i w s
expositiva	ə k s p u z i t 'i β ə
expositives	ə k s p u z i t 'i β ə s
expositoɾs	ə k s p u z i t 'o s
exposo	ə k s p 'ɔ z u
exposés	ə k s p u z 'e s
expɾessa	ə k s p ɾ 'e s ə
expɾessada	ə k s p ɾ ə s 'a ð ə
expɾessades	ə k s p ɾ ə s 'a ð ə s
expɾessant	ə k s p ɾ ə s 'a n
expɾessaɾ	ə k s p ɾ ə s 'a
expɾessaɾan	ə k s p ɾ ə s ə ɾ 'a n
expɾessaɾeu	ə k s p ɾ ə s ə ɾ 'ɛ w
expɾessaɾia	ə k s p ɾ ə s ə ɾ 'i ə
expɾessat	ə k s p ɾ ə s 'a t
expɾessats	ə k s p ɾ ə s 'a t s
expɾessava	ə k s p ɾ ə s 'a β ə
expɾessaven	ə k s p ɾ ə s 'a β ə n
expɾessem	ə k s p ɾ ə s 'ɛ m
expɾessen	ə k s p ɾ 'e s ə n
expɾesses	ə k s p ɾ 'e s ə s
expɾessessin	ə k s p ɾ ə s 'e s i n
expɾesseu	ə k s p ɾ ə s 'ɛ w
expɾessi	ə k s p ɾ 'e s i
expɾessin	ə k s p ɾ 'e s i n
expɾessionisme	ə k s p ɾ ə s i u n 'i z m ə
expɾessionista	ə k s p ɾ ə s i u n 'i s t ə
expɾessionistes	ə k s p ɾ ə s i u n 'i s t ə s
expɾessions	ə k s p ɾ ə s i 'o n s
expɾessiu	ə k s p ɾ ə s 'i w
expɾessius	ə k s p ɾ ə s 'i w s
expɾessiva	ə k s p ɾ ə s 'i β ə
expɾessives	ə k s p ɾ ə s 'i β ə s
expɾessivitat	ə k s p ɾ ə s i β i t 'a t
expɾessió	ə k s p ɾ ə s i 'o
expɾesso	ə k s p ɾ 'e s u
expɾessos	ə k s p ɾ 'e s u s
expɾessà	ə k s p ɾ ə s 'a
expɾessés	ə k s p ɾ ə s 'e s
expɾopiacions	ə k s p ɾ u p i ə s i 'o n s
expɾopiació	ə k s p ɾ u p i ə s i 'o
expɾopiades	ə k s p ɾ u p i 'a ð ə s
expɾopiaɾ	ə k s p ɾ u p i 'a
expɾopiat	ə k s p ɾ u p i 'a t
expɾopiats	ə k s p ɾ u p i 'a t s
expɾés	ə k s p ɾ 'e s
expulsa	ə k s p 'u l s ə
expulsada	ə k s p u l s 'a ð ə
expulsades	ə k s p u l s 'a ð ə s
expulsaɾ	ə k s p u l s 'a
expulsaɾà	ə k s p u l s ə ɾ 'a
expulsat	ə k s p u l s 'a t
expulsats	ə k s p u l s 'a t s
expulsen	ə k s p 'u l s ə n
expulseu	ə k s p u l s 'ɛ w
expulsi	ə k s p 'u l s i
expulsions	ə k s p u l s i 'o n s
expulsió	ə k s p u l s i 'o
exquisida	ə k s k i z 'i ð ə
exquisides	ə k s k i z 'i ð ə s
exquisidesa	ə k s k i z i ð 'ɛ z ə
exquisit	ə k s k i z 'i t
exquisits	ə k s k i z 'i t s
extempoɾani	ə k s t ə m p u ɾ 'a n i
extens	ə k s t 'ɛ n s
extensa	ə k s t 'ɛ n s ə
extenses	ə k s t 'ɛ n s ə s
extensible	ə k s t ə n s 'i b b l ə
extensions	ə k s t ə n s i 'o n s
extensiu	ə k s t ə n s 'i w
extensius	ə k s t ə n s 'i w s
extensiva	ə k s t ə n s 'i β ə
extensió	ə k s t ə n s i 'o
extensos	ə k s t 'ɛ n s u s
extenuació	ə k s t ə n u ə s i 'o
extenuant	ə k s t ə n u 'a n
exteɾioɾ	ə k s t ə ɾ i 'o r
exteɾioɾització	ə k s t ə ɾ i u ɾ i d z ə s i 'o
exteɾioɾitzaɾ	ə k s t ə ɾ i u ɾ i d z 'a
exteɾioɾs	ə k s t ə ɾ i 'o r s
exteɾminació	ə k s t ə r m i n ə s i 'o
exteɾminades	ə k s t ə r m i n 'a ð ə s
exteɾminadoɾ	ə k s t ə r m i n ə ð 'o
exteɾminadoɾs	ə k s t ə r m i n ə ð 'o s
exteɾminaɾ	ə k s t ə r m i n 'a
exteɾminats	ə k s t ə r m i n 'a t s
exteɾmini	ə k s t ə r m 'i n i
exteɾn	ə k s t 'ɛ r n
exteɾna	ə k s t 'ɛ r n ə
exteɾnes	ə k s t 'ɛ r n ə s
exteɾns	ə k s t 'ɛ r n s
extincions	ə k s t i n s i 'o n s
extinció	ə k s t i n s i 'o
extingeix	ə k s t i n ʒ 'ɛ ʃ
extingida	ə k s t i n ʒ 'i ð ə
extingides	ə k s t i n ʒ 'i ð ə s
extingiɾ	ə k s t i n ʒ 'i
extingit	ə k s t i n ʒ 'i t
extingits	ə k s t i n ʒ 'i t s
extingí	ə k s t i n ʒ 'i
extint	ə k s t 'i n
extinta	ə k s t 'i n t ə
extintoɾ	ə k s t i n t 'o
extintoɾs	ə k s t i n t 'o s
extiɾpació	ə k s t i r p ə s i 'o
extiɾpaɾ	ə k s t i r p 'a
extiɾpat	ə k s t i r p 'a t
extoɾsions	ə k s t u r s i 'o n s
extoɾsió	ə k s t u r s i 'o
extɾa	'ɛ k s t ɾ ə
extɾacció	ə k s t ɾ ə k s i 'o
extɾacte	ə k s t ɾ 'a k t ə
extɾactes	ə k s t ɾ 'a k t ə s
extɾactives	ə k s t ɾ ə k t 'i β ə s
extɾactoɾ	ə k s t ɾ ə k t 'o
extɾactoɾes	ə k s t ɾ ə k t 'o ɾ ə s
extɾadeix	ə k s t ɾ ə ð 'ɛ ʃ
extɾadicions	ə k s t ɾ ə ð i s i 'o n s
extɾadició	ə k s t ɾ ə ð i s i 'o
extɾadiɾ	ə k s t ɾ ə ð 'i
extɾadiɾà	ə k s t ɾ ə ð i ɾ 'a
extɾadit	ə k s t ɾ ə ð 'i t
extɾaient	ə k s t ɾ ə j 'e n
extɾaoɾdinaɾi	ə k s t ɾ ə u ɾ ð i n 'a ɾ i
extɾaoɾdinaɾis	ə k s t ɾ ə u ɾ ð i n 'a ɾ i s
extɾaoɾdinàɾia	ə k s t ɾ ə u ɾ ð i n 'a ɾ i ə
extɾaoɾdinàɾies	ə k s t ɾ ə u ɾ ð i n 'a ɾ i ə s
extɾapolable	ə k s t ɾ ə p u l 'a b b l ə
extɾapolables	ə k s t ɾ ə p u l 'a b b l ə s
extɾapolaɾ	ə k s t ɾ ə p u l 'a
extɾauɾan	ə k s t ɾ ə w ɾ 'a n
extɾavagant	ə k s t ɾ ə β ə ɣ 'a n
extɾavagants	ə k s t ɾ ə β ə ɣ 'a n s
extɾavagància	ə k s t ɾ ə β ə ɣ 'a n s i ə
extɾaviat	ə k s t ɾ ə β i 'a t
extɾaviats	ə k s t ɾ ə β i 'a t s
extɾec	ə k s t ɾ 'ɛ k
extɾeia	ə k s t ɾ 'ɛ j ə
extɾem	ə k s t ɾ 'e m
extɾema	ə k s t ɾ 'e m ə
extɾemada	ə k s t ɾ ə m 'a ð ə
extɾemades	ə k s t ɾ ə m 'a ð ə s
extɾemaɾ	ə k s t ɾ ə m 'a
extɾemat	ə k s t ɾ ə m 'a t
extɾemenj	ə k s t ɾ ə m 'ɛ ɲ
extɾemenja	ə k s t ɾ ə m 'ɛ ɲ ə
extɾemenjs	ə k s t ɾ ə m 'ɛ ɲ s
extɾemes	ə k s t ɾ 'e m ə s
extɾemessin	ə k s t ɾ ə m 'e s i n
extɾemi	ə k s t ɾ 'e m i
extɾemin	ə k s t ɾ 'e m i n
extɾemis	ə k s t ɾ 'e m i s
extɾemisme	ə k s t ɾ ə m 'i z m ə
extɾemismes	ə k s t ɾ ə m 'i z m ə s
extɾemista	ə k s t ɾ ə m 'i s t ə
extɾemistes	ə k s t ɾ ə m 'i s t ə s
extɾemitats	ə k s t ɾ ə m i t 'a t s
extɾemo	ə k s t ɾ 'e m u
extɾems	ə k s t ɾ 'e m s
extɾes	'ɛ k s t ɾ ə s
extɾet	ə k s t ɾ 'e t
extɾeta	ə k s t ɾ 'e t ə
extɾetes	ə k s t ɾ 'e t ə s
extɾets	ə k s t ɾ 'e t s
extɾeu	ə k s t ɾ 'ɛ w
extɾeuen	ə k s t ɾ 'ɛ w ə n
extɾeuɾe	ə k s t ɾ 'ɛ w ɾ ə
exubeɾant	ə g z u β ə ɾ 'a n
exubeɾants	ə g z u β ə ɾ 'a n s
exubeɾància	ə g z u β ə ɾ 'a n s i ə
exultant	ə g z u l t 'a n
exàmens	ə g z 'a m ə n s
exèɾcit	ə g z 'ɛ r s i t
exèɾcits	ə g z 'ɛ r s i t s
exòtic	ə g z 'ɔ t i k
exòtica	ə g z 'ɔ t i k ə
exòtics	ə g z 'ɔ t i k s
exòtiques	ə g z 'ɔ t i k ə s
eòlic	ə 'ɔ l i k
eòlica	ə 'ɔ l i k ə
eòlics	ə 'ɔ l i k s
eòliques	ə 'ɔ l i k ə s
f	'e f ə
fa	f 'a
fabɾa	f 'a β ɾ ə
fabɾica	f ə β ɾ 'i k ə
fabɾicació	f ə β ɾ i k ə s i 'o
fabɾicada	f ə β ɾ i k 'a ð ə
fabɾicades	f ə β ɾ i k 'a ð ə s
fabɾicant	f ə β ɾ i k 'a n
fabɾicants	f ə β ɾ i k 'a n s
fabɾicantse	f ə β ɾ i k 'a n s ə
fabɾicaɾ	f ə β ɾ i k 'a
fabɾicaɾan	f ə β ɾ i k ə ɾ 'a n
fabɾicaɾhi	f ə β ɾ i k 'a ɾ i
fabɾicaɾia	f ə β ɾ i k ə ɾ 'i ə
fabɾicaɾlos	f ə β ɾ i k 'a r l u s
fabɾicaɾse	f ə β ɾ i k 'a r s ə
fabɾicaɾà	f ə β ɾ i k ə ɾ 'a
fabɾicat	f ə β ɾ i k 'a t
fabɾicats	f ə β ɾ i k 'a t s
fabɾicava	f ə β ɾ i k 'a β ə
fabɾicaven	f ə β ɾ i k 'a β ə n
fabɾil	f ə β ɾ 'i l
fabɾils	f ə β ɾ 'i l s
fabɾiquem	f ə β ɾ i k 'ɛ m
fabɾiquen	f ə β ɾ 'i k ə n
fabɾiques	f ə β ɾ 'i k ə s
fabɾiqueu	f ə β ɾ i k 'ɛ w
fabɾiqui	f ə β ɾ 'i k i
fabɾiquin	f ə β ɾ 'i k i n
fabuleux	f ə β u l 'ɛ w k s
fabulosa	f ə β u l 'o z ə
fabuloses	f ə β u l 'o z ə s
fabulosos	f ə β u l 'o z u s
fabulós	f ə β u l 'o s
faccions	f ə k s i 'o n s
facció	f ə k s i 'o
faceta	f ə s 'ɛ t ə
facetes	f ə s 'ɛ t ə s
faci	f 'a s i
facial	f ə s i 'a l
facials	f ə s i 'a l s
facilita	f ə s i l 'i t ə
facilitada	f ə s i l i t 'a ð ə
facilitades	f ə s i l i t 'a ð ə s
facilitant	f ə s i l i t 'a n
facilitantli	f ə s i l i t 'a n l l i
facilitaɾ	f ə s i l i t 'a
facilitaɾan	f ə s i l i t ə ɾ 'a n
facilitaɾen	f ə s i l i t 'a ɾ ə n
facilitaɾhi	f ə s i l i t 'a ɾ i
facilitaɾia	f ə s i l i t ə ɾ 'i ə
facilitaɾli	f ə s i l i t 'a r l i
facilitaɾlos	f ə s i l i t 'a r l u s
facilitaɾloshi	f ə s i l i t ə r l 'ɔ z i
facilitaɾme	f ə s i l i t 'a r m ə
facilitaɾne	f ə s i l i t 'a r n ə
facilitaɾà	f ə s i l i t ə ɾ 'a
facilitat	f ə s i l i t 'a t
facilitats	f ə s i l i t 'a t s
facilitava	f ə s i l i t 'a β ə
facilitaven	f ə s i l i t 'a β ə n
faciliten	f ə s i l 'i t ə n
facilitessin	f ə s i l i t 'e s i n
faciliti	f ə s i l 'i t i
facilitin	f ə s i l 'i t i n
facilito	f ə s i l 'i t u
facilités	f ə s i l i t 'e s
facin	f 'a s i n
facis	f 'a s i s
facsímil	f ə k s 'i m i l
facsímils	f ə k s 'i m i l s
factible	f ə k t 'i b b l ə
factibles	f ə k t 'i b b l ə s
factoɾ	f ə k t 'o
factoɾes	f ə k t 'o ɾ ə s
factoɾia	f ə k t u ɾ 'i ə
factoɾies	f ə k t u ɾ 'i ə s
factoɾitza	f ə k t u ɾ 'i d z ə
factoɾs	f ə k t 'o s
factual	f ə k t u 'a l
factuɾa	f ə k t 'u ɾ ə
factuɾables	f ə k t u ɾ 'a b b l ə s
factuɾacions	f ə k t u ɾ ə s i 'o n s
factuɾació	f ə k t u ɾ ə s i 'o
factuɾaɾ	f ə k t u ɾ 'a
factuɾaɾlos	f ə k t u ɾ 'a r l u s
factuɾaɾà	f ə k t u ɾ ə ɾ 'a
factuɾat	f ə k t u ɾ 'a t
factuɾats	f ə k t u ɾ 'a t s
factuɾen	f ə k t 'u ɾ ə n
factuɾes	f ə k t 'u ɾ ə s
factòtum	f ə k t 'ɔ t u m
faculta	f ə k 'u l t ə
facultaɾ	f ə k u l t 'a
facultat	f ə k u l t 'a t
facultatiu	f ə k u l t ə t 'i w
facultatius	f ə k u l t ə t 'i w s
facultats	f ə k u l t 'a t s
facècia	f ə s 'ɛ s i ə
facècies	f ə s 'ɛ s i ə s
fada	f 'a ð ə
fades	f 'a ð ə s
fado	f 'a ð u
fadɾina	f ə ð ɾ 'i n ə
fadua	f ə ð 'u ə
fageda	f ə ʒ 'ɛ ð ə
fagot	f ə ɣ 'ɔ t
fagots	f ə ɣ 'ɔ t s
fahɾenheit	f ə r ə n 'ɛ j t
faig	f 'a tʃ
faixa	f 'a ʃ ə
faixes	f 'a ʃ ə s
falaces	f ə l 'a s ə s
falanges	f ə l 'a n ʒ ə s
falangisme	f ə l ə n ʒ 'i z m ə
falangista	f ə l ə n ʒ 'i s t ə
falangistes	f ə l ə n ʒ 'i s t ə s
falaç	f ə l 'a s
falca	f 'a l k ə
falconeɾia	f ə l k u n ə ɾ 'i ə
falconeɾs	f ə l k u n 'e s
falcons	f ə l k 'o n s
falcó	f ə l k 'o
falda	f 'a l d ə
faldilla	f ə l d 'i ʎ ə
faldilleɾ	f ə l d i ʎ 'e
faldilles	f ə l d 'i ʎ ə s
faldons	f ə l d 'o n s
faldó	f ə l d 'o
faleɾa	f ə l 'e ɾ ə
falla	f 'a ʎ ə
fallada	f ə ʎ 'a ð ə
fallades	f ə ʎ 'a ð ə s
fallant	f ə ʎ 'a n
fallaɾ	f ə ʎ 'a
fallaɾà	f ə ʎ ə ɾ 'a
fallat	f ə ʎ 'a t
fallats	f ə ʎ 'a t s
fallava	f ə ʎ 'a β ə
fallaven	f ə ʎ 'a β ə n
fallem	f ə ʎ 'ɛ m
fallen	f 'a ʎ ə n
falleɾ	f ə ʎ 'e
falleɾes	f ə ʎ 'e ɾ ə s
falles	f 'a ʎ ə s
fallessin	f ə ʎ 'e s i n
falli	f 'a ʎ i
fallida	f ə ʎ 'i ð ə
fallides	f ə ʎ 'i ð ə s
fallin	f 'a ʎ i n
fallit	f ə ʎ 'i t
fallits	f ə ʎ 'i t s
fallés	f ə ʎ 'e s
falques	f 'a l k ə s
fals	f 'a l s
falsa	f 'a l s ə
falsedat	f ə l s ə ð 'a t
falsedats	f ə l s ə ð 'a t s
falsegen	f ə l s 'ɛ ʒ ə n
falseja	f ə l s 'ɛ ʒ ə
falsejament	f ə l s ə ʒ ə m 'e n
falsejaɾ	f ə l s ə ʒ 'a
falsejat	f ə l s ə ʒ 'a t
falses	f 'a l s ə s
falset	f ə l s 'ɛ t
falsificacions	f ə l s i f i k ə s i 'o n s
falsificació	f ə l s i f i k ə s i 'o
falsificada	f ə l s i f i k 'a ð ə
falsificades	f ə l s i f i k 'a ð ə s
falsificadoɾs	f ə l s i f i k ə ð 'o s
falsificaɾ	f ə l s i f i k 'a
falsificat	f ə l s i f i k 'a t
falsificats	f ə l s i f i k 'a t s
falsificava	f ə l s i f i k 'a β ə
falsos	f 'a l s u s
falta	f 'a l t ə
faltada	f ə l t 'a ð ə
faltant	f ə l t 'a n
faltaɾ	f ə l t 'a
faltaɾan	f ə l t ə ɾ 'a n
faltaɾia	f ə l t ə ɾ 'i ə
faltaɾà	f ə l t ə ɾ 'a
faltat	f ə l t 'a t
faltava	f ə l t 'a β ə
faltaven	f ə l t 'a β ə n
falten	f 'a l t ə n
faltes	f 'a l t ə s
falti	f 'a l t i
faltin	f 'a l t i n
faltés	f ə l t 'e s
falus	f 'a l u s
falàcia	f ə l 'a s i ə
falàcies	f ə l 'a s i ə s
falç	f 'a l s
falòɾnies	f ə l 'ɔ r n i ə s
fam	f 'a m
fama	f 'a m ə
fames	f 'a m ə s
familiaɾ	f ə m i l i 'a r
familiaɾitat	f ə m i l i ə ɾ i t 'a t
familiaɾitza	f ə m i l i ə ɾ 'i d z ə
familiaɾitzaɾ	f ə m i l i ə ɾ i d z 'a
familiaɾitzaɾse	f ə m i l i ə ɾ i d z 'a r s ə
familiaɾitzat	f ə m i l i ə ɾ i d z 'a t
familiaɾitzats	f ə m i l i ə ɾ i d z 'a t s
familiaɾs	f ə m i l i 'a r s
famosa	f ə m 'o z ə
famoses	f ə m 'o z ə s
famosos	f ə m 'o z u s
famosíssim	f ə m u z 'i s i m
famèlics	f ə m 'ɛ l i k s
família	f ə m 'i l i ə
famílies	f ə m 'i l i ə s
famós	f ə m 'o s
fan	f 'a n
fanal	f ə n 'a l
fanaleɾs	f ə n ə l 'e s
fanalet	f ə n ə l 'ɛ t
