A	'ə
Fornells	f u r n 'e ʎ s
Forestal	f u ɾ ə s t 'a l
Fons	f 'o n s
Fluvià	f l u β i 'a
Fluir	f l u 'i
Floraina	f l u ɾ 'a j n ə
Finestres	f i n 'e s t ɾ ə s
Finança	f i n 'a n s ə
Finances	f i n 'a n s ə s
Fina	f 'i n ə
Films	f 'i l m s
Filla	f 'i ʎ ə
Fill	f 'i ʎ
Festes	f 'e s t ə s
Festa	f 'e s t ə
Ferrocarrils	f ə r u k ə r 'i l s
Fenòmens	f ə n 'ɔ m ə n s
Fent-ho	f 'e n t u
Felicitats	f ə l i s i t 'a t s
Federació	f ə ð ə ɾ ə s i 'o
Faré	f ə ɾ 'e
Fanta	f 'a n t ə
Fan	f 'a n
Facultat	f ə k u l t 'a t
Fabra	f 'a β ɾ ə
Extremadura	ə k s t ɾ ə m ə ð 'u ɾ ə
Extensió	ə k s t ə n s i 'o
Explicar	ə k s p l i k 'a
Explica	ə k s p l 'i k ə
Exempcions	ə g z ə m s i 'o n s
Executa	ə g z ə k 'u t ə
Ewing	ə β 'i ŋ
Estudis	ə s t 'u ð i s
Estudiar	ə s t u ð i 'a
Estudi	ə s t 'u ð i
Estructura	ə s t ɾ u k t 'u ɾ ə
Estira	ə s t 'i ɾ ə
Estiguis	ə s t 'i ɣ i s
Estigui	ə s t 'i ɣ i
Estevan	ə s t ə β 'a n
Estaven	ə s t 'a β ə n
Estat	ə s t 'a t
Estalvien	ə s t ə l β 'i ə n
Estalvi	ə s t 'a l β i
Esports	ə s p 'ɔ r s
Esperit	ə s p ə ɾ 'i t
Esperi	ə s p 'e ɾ i
Esperarien	ə s p ə ɾ ə ɾ 'i ə n
Esperarem	ə s p ə ɾ ə ɾ 'ɛ m
Esperant	ə s p ə ɾ 'a n
Espanyols	ə s p ə ɲ 'ɔ l s
Esdeveniments	ə z ð ə β ə n i m 'e n s
Escullen	ə s k 'u ʎ ə n
Escriptura	ə s k ɾ i p t 'u ɾ ə
Escriptori	ə s k ɾ i p t 'ɔ ɾ i
Escriptori	ə s k ɾ i p t 'ɔ ɾ i
Escolti	ə s k 'o l t i
Ernest	ə r n 'e s t
Erika	ə ɾ 'i k ə
Enyora	ə ɲ 'o ɾ ə
Enumeració	ə n u m ə ɾ ə s i 'o
Entren	'e n t ɾ ə n
Entra	'e n t ɾ ə
Entitat	ə n t i t 'a t
Endavant	ə n d ə β 'a n
Encoratjo	ə ŋ k u ɾ 'a d ʒ u
Enamorats	ə n ə m u ɾ 'a t s
Emprar	ə m p ɾ 'a
Empassant	ə m p ə s 'a n
Emilia	ə m i l 'i ə
Elisenda	ə l i z 'e n d ə
Elisabet	ə l i z ə β 'ɛ t
Elements	ə l ə m 'e n s
Elda	'ɛ l d ə
Elaborar	ə l ə β u ɾ 'a
Eiximenis	ə ʃ i m 'ɛ n i s
Eindhoven	ə j n d 'o β ə n
Ególatra	ə ɣ 'o l ə t ɾ ə
Egipte	ə ʒ 'i p t ə
Efecte	ə f 'e k t ə
Educativa	ə ð u k ə t 'i β ə
Edicions	ə ð i s i 'o n s
Edat	ə ð 'a t
Economia	ə k u n u m 'i ə
Ecoenvasos	ə k u ə m b 'a z u s
Eclipsi	ə k l 'i p s i
Ebre	'e β ɾ ə
Ebre	'e β ɾ ə
EAJA	e 'a ʒ ə
E	'ɛ
Dóna	d 'o n ə
Dubtes	d 'u p t ə s
Dot	d 'ɔ t
Donarem	d u n ə ɾ 'ɛ m
Donar-se	d u n 'a r s ə
Donació	d u n ə s i 'o
Dolors	d u l 'o s
Documents	d u k u m 'e n s
Diversitat	d i β ə r s i t 'a t
Dit	d 'i t
Districtes	d i s t ɾ 'i k t ə s
Distingir	d i s t i n ʒ 'i
Distinció	d i s t i n s i 'o
Dissertaven	d i s ə r t 'a β ə n
Disposició	d i s p u z i s i 'o
Disposem	d i s p u z 'ɛ m
Disposaràs	d i s p u z ə ɾ 'a s
Disposa	d i s p 'o z ə
Disponibilitat	d i s p u n i β i l i t 'a t
Disminuir	d i z m i n u 'i
Disminució	d i z m i n u s i 'o
Discapacitat	d i s k ə p ə s i t 'a t
Dirigida	d i ɾ i ʒ 'i ð ə
Dirigeixo	d i ɾ i ʒ 'ɛ ʃ u
Direcció	d i ɾ ə k s i 'o
Dini	d 'i n i
Dinamarca	d i n ə m 'a r k ə
Digué	d i ɣ 'e
Digues	d 'i ɣ ə s
Diguem-ne	d i ɣ 'ɛ m n ə
Diferenciació	d i f ə ɾ ə n s i ə s i 'o
Diccionari	d i k s i u n 'a ɾ i
Diccionari	d i k s i u n 'a ɾ i
Dic	d 'i k
Diada	d i 'a ð ə
Dia	d 'i ə
Devolució	d ə β u l u s i 'o
Devia	d ə β 'i ə
Detroit	d ə t ɾ 'ɔ j t
Detingut	d ə t i ŋ g 'u t
Detecció	d ə t ə k s i 'o
Detalls	d ə t 'a ʎ s
Desplaçaments	d ə s p l ə s ə m 'e n s
Desitjo	d ə z 'i d ʒ u
Desitjava	d ə z i d ʒ 'a β ə
Descripció	d ə s k ɾ i p s i 'o
Desclot	d ə s k l 'ɔ t
Demano	d ə m 'a n u
Demana	d ə m 'a n ə
Delhi	d 'ɛ l i
Deixà	d ə ʃ 'a
Deixi	d 'e ʃ i
Deixaven	d ə ʃ 'a β ə n
Deixant	d ə ʃ 'a n
Definir	d ə f i n 'i
Defineix	d ə f i n 'ɛ ʃ
Dedicarem	d ə ð i k ə ɾ 'ɛ m
Decideixen	d ə s i ð 'ɛ ʃ ə n
Davallada	d ə β ə ʎ 'a ð ə
Data	d 'a t ə
Darrere	d ə r 'e ɾ ə
Damunt	d ə m 'u n
Damasc	d ə m 'a s k
Dallas	d 'a ʎ ə s
Dakar	d ə k 'a
Càmera	k 'a m ə ɾ ə
Cupido	k u p 'i ð u
Cuina	k 'u j n ə
Cubana	k u β 'a n ə
Crònica	k ɾ 'ɔ n i k ə
Croàcia	k ɾ u 'a s i ə
Criteri	k ɾ i t 'ɛ ɾ i
Crist	k ɾ 'i s t
Creui	k ɾ 'ɛ w i
Creta	k ɾ 'ɛ t ə
Crear	k ɾ e 'a
Creador	k ɾ e ə ð 'o
Corres	k 'o r ə s
Correcte	k u r 'ɛ k t ə
Corpus	k 'ɔ r p u s
Cornelisse	k u r n ə l 'i s ə
Copia-la	k u p 'i ə l ə
Copenhague	k u p ə n 'a ɣ ə
Copa	k 'o p ə
Conèixer	k u n 'ɛ ʃ ə
Control	k u n t ɾ 'ɔ l
Continua	k u n t i n 'u ə
Continguts	k u n t i ŋ g 'u t s
Continent	k u n t i n 'e n
Contenint	k u n t ə n 'i n
Contemporani	k u n t ə m p u ɾ 'a n i
Contem	k u n t 'ɛ m
Contacta	k u n t 'a k t ə
Consumidors	k u n s u m i ð 'o s
Consum	k u n s 'u m
Consulti	k u n s 'u l t i
Construir	k u n s t ɾ u 'i
Construcció	k u n s t ɾ u k s i 'o
Constantí	k u n s t ə n t 'i
Consta	k 'o n s t ə
Connecta	k u n n 'e k t ə
Coneixements	k u n ə ʃ ə m 'e n s
Comunicació	k u m u n i k ə s i 'o
Comptes	k 'o m t ə s
Compta	k 'o m t ə
Comprensió	k u m p ɾ ə n s i 'o
Completar	k u m p l ə t 'a
Complements	k u m p l ə m 'e n s
Comparseros	k u m p ə r s 'e ɾ u s
Comença	k u m 'ɛ n s ə
Comentaris	k u m ə n t 'a ɾ i s
Comences	k u m 'ɛ n s ə s
Combinació	k u m b i n ə s i 'o
Comas	k 'ɔ m ə s
Colino	k u l 'i n u
Cobi	k 'ɔ β i
Club	k l 'u p
Cleveland	k l ə β ə l 'a n
Clar	k l 'a
Ciència	s i 'ɛ n s i ə
Cicle	s 'i k l ə
Chirac	t ʃ i ɾ 'a k
Cheng	t ʃ 'ɛ ŋ
Cercar	s ə r k 'a
Caterina	k ə t ə ɾ 'i n ə
Catedral	k ə t ə ð ɾ 'a l
Catalans	k ə t ə l 'a n s
Catalanes	k ə t ə l 'a n ə s
Castanyada	k ə s t ə ɲ 'a ð ə
Cases	k 'a z ə s
Casat	k ə z 'a t
Casal	k ə z 'a l
Casajuana	k ə z ə ʒ u 'a n ə
Cartellera	k ə r t ə ʎ 'e ɾ ə
Cartago	k ə r t 'a ɣ u
Carreteres	k ə r ə t 'e ɾ ə s
Carreras	k ə r 'e ɾ ə s
Carrer	k ə r 'e
Carpeta	k ə r p 'ɛ t ə
Caroline	k ə ɾ u l 'i n ə
Carnestoltes	k ə r n ə s t 'ɔ l t ə s
Carnaval	k ə r n ə β 'a l
Carme	k 'a r m ə
Carlo	k 'a r l u
Caracas	k ə ɾ 'a k ə s
Caputxeta	k ə p u t ʃ 'ɛ t ə
Capgrossos	k ə b g ɾ 'ɔ s u s
Capell	k ə p 'e ʎ
Cançó	k ə n s 'o
Cançoner	k ə n s u n 'e
Canvi	k 'a m b i
Cantàbria	k ə n t 'a β ɾ i ə
Cansat	k ə n s 'a t
Candi	k 'a n d i
Cancún	k ə ŋ k 'u n
Canberra	k ə m b 'ɛ r ə
Campus	k 'a m p u s
Caminant	k ə m i n 'a n
Cambotja	k ə m b 'ɔ d ʒ ə
Calze	k 'a l z ə
Calculadora	k ə l k u l ə ð 'o ɾ ə
Calcula	k ə l k 'u l ə
Calaixos	k ə l 'a ʃ u s
Cadascuna	k ə ð ə s k 'u n ə
Cadascun	k ə ð ə s k 'u n
Cacumen	k ə k 'u m ə n
Cacaolat	k ə k ə u l 'a t
Ca	k 'a
Bulgària	b u l ɣ 'a ɾ i ə
Bruixa	b ɾ 'u ʃ ə
Bratislava	b ɾ ə t i z l 'a β ə
Brasília	b ɾ ə z 'i l i ə
Borges	b 'ɔ r ʒ ə s
Bons	b 'ɔ n s
Bonificacions	b u n i f i k ə s i 'o n s
Boll	b 'o ʎ
Boix	b 'o ʃ
Boira	b 'ɔ j ɾ ə
Bohigas	b u 'i ɣ ə s
Bogatell	b u ɣ ə t 'e ʎ
Boeing	b u 'ɛ j ŋ
Bodes	b 'o ð ə s
Boada	b u 'a ð ə
Bloca	b l 'ɔ k ə
Blanques	b l 'a ŋ k ə s
Biennal	b i ə n n 'a l
Bielorrusia	b i ə l u r u z 'i ə
Biblioteca	b i β l i u t 'ɛ k ə
Bessones	b ə s 'o n ə s
Bescanó	b ə s k ə n 'o
Bernat	b ə r n 'a t
Berna	b 'ɛ r n ə
Berlín	b ə r l 'i n
Belles	b 'e ʎ ə s
Belgues	b 'ɛ l ɣ ə s
Barraquer	b ə r ə k 'e
Barral	b ə r 'a l
Barcino	b ə r s 'i n u
Barcelonès	b ə r s ə l u n 'ɛ s
Banyuls	b ə ɲ 'u l s
Banyoles	b ə ɲ 'ɔ l ə s
Banotti	b ə n 'ɔ t i
Bancària	b ə ŋ k 'a ɾ i ə
Banc	b 'a ŋ
Baixos	b 'a ʃ u s
Bagdad	b ə g d 'a t
Badia	b ə ð 'i ə
Bacallà	b ə k ə ʎ 'a
Aèria	ə 'ɛ ɾ i ə
Atura	ə t 'u ɾ ə
Atenes	ə t 'ɛ n ə s
Atenció	ə t ə n s i 'o
Asterisc	ə s t ə ɾ 'i s k
Assenteixo	ə s ə n t 'ɛ ʃ u
Asseguts	ə s ə ɣ 'u t s
Assajo	ə s 'a ʒ u
Artèria	ə r t 'ɛ ɾ i ə
Arts	'a r s
Artesà	ə r t ə z 'a
Arriben	ə r 'i β ə n
Arribat	ə r i β 'a t
Arquímedes	ə r k 'i m ə ð ə s
Argel	ə r ʒ 'ɛ l
Aquelles	ə k 'ɛ ʎ ə s
Aplicacions	ə p l i k ə s i 'o n s
Aplicacions	ə p l i k ə s i 'o n s
Aparicio	ə p ə ɾ i s 'i u
Apareixen	ə p ə ɾ 'ɛ ʃ ə n
Apareix	ə p ə ɾ 'ɛ ʃ
Apago	ə p 'a ɣ u
Anònims	ə n 'ɔ n i m s
Anàlisi	ə n 'a l i z i
Anterior	ə n t ə ɾ i 'o r
Antena	ə n t 'ɛ n ə
Anomena	ə n u m 'ɛ n ə
Anne	'a n n ə
Anna	'a n n ə
Anirem	ə n i ɾ 'ɛ m
Anglès	ə ŋ g l 'ɛ s
Anglaterra	ə ŋ g l ə t 'ɛ r ə
Andalusia	ə n d ə l u z 'i ə
Anaren	ə n 'a ɾ ə n
Analitzaran	ə n ə l i d z ə ɾ 'a n
Analitzador	ə n ə l i d z ə ð 'o
Ampliar	ə m p l i 'a
Amor	ə m 'o r
Ambient	ə m b i 'e n
Amat	ə m 'a t
Alta	'a l t ə
Alps	'a l p s
Almeria	ə l m ə ɾ 'i ə
Alhora	ə l 'ɔ ɾ ə
Alfred	ə l f ɾ 'ɛ t
Alemany	ə l ə m 'a ɲ
Alella	ə l 'e ʎ ə
Aldo	'a l d u
Albons	ə l β 'o n s
Alan	ə l 'a n
Ajuts	ə ʒ 'u t s
Aixeca	ə ʃ 'e k ə
Aigües	'a j ɣ w ə s
Aiguaviva	ə j ɣ w ə β 'i β ə
Ai	'a j
Agustí	ə ɣ u s t 'i
Agraeixo	ə ɣ ɾ ə 'ɛ ʃ u
Agenda	ə ʒ 'e n d ə
Afrontà	ə f ɾ u n t 'a
Adell	ə ð 'e ʎ
Adam	ə ð 'a m
Acumulat	ə k u m u l 'a t
Acull	ə k 'u ʎ
Actuen	ə k t 'u ə n
Actualitzador	ə k t u ə l i d z ə ð 'o
Activitats	ə k t i β i t 'a t s
Acostuma	ə k u s t 'u m ə
Aconseguiran	ə k u n s ə ɣ i ɾ 'a n
Aconseguir	ə k u n s ə ɣ 'i
Acluca	ə k l 'u k ə
Accions	ə k s i 'o n s
Accessoris	ə k s ə s 'ɔ ɾ i s
Accessibilitat	ə k s ə s i β i l i t 'a t
Acaronat	ə k ə ɾ u n 'a t
Acabo	ə k 'a β u
Acabaven	ə k ə β 'a β ə n
Abraço	ə β ɾ 'a s u
Abdul	ə b d 'u l
Abaixo	ə β 'a ʃ u
enganxa	ə ŋ g 'a n ʃ ə
el	ə l
desplaçament	d ə s p l ə s ə m 'e n
carrega	k ə r 'ɛ ɣ ə
amb	ə m
és	'e s
trigonomètriques	t ɾ i ɣ u n u m 'ɛ t ɾ i k ə s
responsabilitat	r ə s p u n s ə β i l i t 'a t
promig	p ɾ u m 'i t ʃ
negretes	n ə ɣ ɾ 'ɛ t ə s
meridians	m ə ɾ i ð i 'a n s
majúscula	m ə ʒ 'u s k u l ə
inducció	i n d u k s i 'o
gravar-lo	g ɾ ə β 'a r l u
enregistrem	ə n r ə ʒ i s t ɾ 'ɛ m
dèbils	d 'ɛ β i l s
dient-me	d i 'e m m ə
aranès	ə ɾ ə n 'ɛ s
apagar-lo	ə p ə ɣ 'a r l u
actitudinals	ə k t i t u ð i n 'a l s
Xarrupa	ʃ ə r 'u p ə
Xaret	ʃ ə ɾ 'ɛ t
Víctimes	b 'i k t i m ə s
Viària	b i 'a ɾ i ə
Vivim	b i β 'i m
Viuen	b 'i w ə n
Virus	b 'i ɾ u s
Virrei	b i r 'e j
Viella	b i 'e ʎ ə
Viatjarà	b i ə d ʒ ə ɾ 'a
Veïns	b ə 'i n s
Vesteix	b ə s t 'ɛ ʃ
Verne	b 'ɛ r n ə
Vergés	b ə r ʒ 'e s
Verds	b 'ɛ r s
Vencent	b ə n s 'e n
Venc	b 'ɛ ŋ
Vell	b 'e ʎ
Varem	b ə ɾ 'ɛ m
Vallespinosa	b ə ʎ ə s p i n 'o z ə
Vaja	b 'a ʒ ə
Unitat	u n i t 'a t
Unida	u n 'i ð ə
Ull	'u ʎ
Trípoli	t ɾ 'i p u l i
Trucada	t ɾ u k 'a ð ə
Troba	t ɾ 'ɔ β ə
Tortura	t u r t 'u ɾ ə
Tornàvem	t u r n 'a β ə m
Tiro	t 'i ɾ u
Tingué	t i ŋ g 'e
Tindrem	t i n d ɾ 'ɛ m
Terres	t 'ɛ r ə s
Teresa	t ə ɾ 'ɛ z ə
Teníem	t ə n 'i ə m
Tallín	t ə ʎ 'i n
Suprem	s u p ɾ 'e m
Sudan	s u ð 'a n
Sucre	s 'u k ɾ ə
Sorprèn	s u r p ɾ 'ɛ n
Son	s 'ɔ n
Serra	s 'ɛ r ə
Sens	s 'e n s
Sena	s 'ɛ n ə
Sarsuela	s ə r s u 'ɛ l ə
Sanitat	s ə n i t 'a t
Salvar	s ə l β 'a
Salutacions	s ə l u t ə s i 'o n s
Saludo	s ə l 'u ð u
Salsa	s 'a l s ə
Ruth	r 'u t
Runes	r 'u n ə s
Roser	r u z 'e
Rosana	r u z 'a n ə
Roques	r 'ɔ k ə s
Rodés	r u ð 'e s
Ribó	r i β 'o
Retorn	r ə t 'o r n
Ressegueix	r ə s ə ɣ 'ɛ ʃ
Representar	r ə p ɾ ə z ə n t 'a
Remeno	r ə m 'ɛ n u
Reclama	r ə k l 'a m ə
Raúl	r ə 'u l
Ratpenats	r ə t p ə n 'a t s
Ratolí	r ə t u l 'i
ROM	r 'o m
Querol	k ə ɾ 'ɔ l
Queralt	k ə ɾ 'a l
Pus	p 'u s
Pujava	p u ʒ 'a β ə
Procura	p ɾ u k 'u ɾ ə
Privada	p ɾ i β 'a ð ə
Presa	p ɾ 'ɛ z ə
Prenc	p ɾ 'ɛ ŋ
Prem	p ɾ 'e m
Prefereix	p ɾ ə f ə ɾ 'ɛ ʃ
Predicar	p ɾ ə ð i k 'a
Precompilació	p ɾ ə k u m p i l ə s i 'o
Poso	p 'ɔ z u
Portes	p 'ɔ r t ə s
Pons	p 'ɔ n s
Ponent	p u n 'e n
Poder	p u ð 'ɛ
Plaça	p l 'a s ə
Plataforma	p l ə t ə f 'o r m ə
Plantejament	p l ə n t ə ʒ ə m 'e n
Plantegem	p l ə n t ə ʒ 'ɛ m
Pitàgores	p i t 'a ɣ u ɾ ə s
Piqué	p i k 'e
Pinyana	p i ɲ 'a n ə
Pecompilació	p ə k u m p i l ə s i 'o
Patir	p ə t 'i
Pastrana	p ə s t ɾ 'a n ə
Passarà	p ə s ə ɾ 'a
Passa	p 'a s ə
Parisien	p ə ɾ i z 'i ə n
Pago	p 'a ɣ u
Ottawa	u t 'a β ə
Operació	u p ə ɾ ə s i 'o
Opcions	u p s i 'o n s
Oh	'ɔ
Occident	u k s i ð 'e n
Obriré	u β ɾ i ɾ 'e
Obligatori	u β l i ɣ ə t 'ɔ ɾ i
Netejant	n ə t ə ʒ 'a n
Nen	n 'ɛ n
Nascut	n ə s k 'u t
Multimèdia	m u l t i m 'ɛ ð i ə
Multimèdia	m u l t i m 'ɛ ð i ə
Moralina	m u ɾ ə l 'i n ə
Montmell	m u m m 'e ʎ
Miri	m 'i ɾ i
Miquelet	m i k ə l 'ɛ t
Ministres	m i n 'i s t ɾ ə s
Mestre	m 'ɛ s t ɾ ə
Mes	m 'e s
Menjava	m ə n ʒ 'a β ə
Memòria	m ə m 'ɔ ɾ i ə
Massa	m 'a s ə
Mari	m 'a ɾ i
Maremagnum	m ə ɾ ə m ə g n 'u m
Mantingui	m ə n t 'i ŋ g i
Magí	m ə ʒ 'i
Macià	m ə s i 'a
Mac	m 'a k
MIME	m 'i m ə
Líbia	l 'i β i ə
Líban	l 'i β ə n
Lègolas	l 'ɛ ɣ u l ə s
Luxemburg	l u k s ə m b 'u r k
Lluïment	ʎ u i m 'e n
Lluïmen	ʎ u 'i m ə n
Llotja	ʎ 'ɔ d ʒ ə
Llista	ʎ 'i s t ə
Llimona	ʎ i m 'o n ə
Lliga	ʎ 'i ɣ ə
Llatinoamèrica	ʎ ə t i n u ə m 'ɛ ɾ i k ə
Llatina	ʎ ə t 'i n ə
Le	l 'e
Latino	l ə t 'i n u
Kant	k 'a n
Jutges	ʒ 'u d ʒ ə s
Junta	ʒ 'u n t ə
Juli	ʒ 'u l i
Jugo	ʒ 'u ɣ u
Jugaven	ʒ u ɣ 'a β ə n
Joval	ʒ u β 'a l
Jonc	ʒ 'o ŋ
Joel	ʒ u 'ɛ l
Jartum	ʒ ə r t 'u m
Janeiro	ʒ ə n 'ɛ j ɾ u
Introdueix	i n t ɾ u ð u 'ɛ ʃ
Introducció	i n t ɾ u ð u k s i 'o
Interpretar	i n t ə r p ɾ ə t 'a
Interessa	i n t ə ɾ 'ɛ s ə
Intel	i n t 'ɛ l
Institut	i n s t i t 'u t
Iniciativa	i n i s i ə t 'i β ə
Indecisa	i n d ə s 'i z ə
Illa	'i ʎ ə
Icones	i k 'o n ə s
Ibèria	i β 'ɛ ɾ i ə
Hèlsinki	'ɛ l s i ŋ k i
Humana	u m 'a n ə
Huc	'u k
Hondures	u n d 'u ɾ ə s
Històrica	i s t 'ɔ ɾ i k ə
Hisenda	i z 'e n d ə
Hannover	ə n n u β 'e
Hamburg	ə m b 'u r k
Guernica	g ə r n 'i k ə
Grenoble	g ɾ ə n 'o b b l ə
Grand	g ɾ 'a n
Gomà	g u m 'a
Giro	ʒ 'i ɾ u
Fàdua	f 'a ð u ə
Formiguer	f u r m i ɣ 'e
Fontana	f u n t 'a n ə
Folch	f 'o l k
Finlàndia	f i n l 'a n d i ə
Figuerola	f i ɣ ə ɾ 'ɔ l ə
Fi	f 'i
Ferrer	f ə r 'e
Fas	f 'a s
Faràndula	f ə ɾ 'a n d u l ə
Farallons	f ə ɾ ə ʎ 'o n s
Farallons	f ə ɾ ə ʎ 'o n s
Fantàsica	f ə n t 'a z i k ə
Fangar	f ə ŋ g 'a
Familiar	f ə m i l i 'a r
Fadua	f ə ð 'u ə
Faci	f 'a s i
Explota	ə k s p l 'o t ə
Exclama	ə k s k l 'a m ə
Estigues	ə s t 'i ɣ ə s
Estarem	ə s t ə ɾ 'ɛ m
Esportiva	ə s p u r t 'i β ə
Espinàs	ə s p i n 'a s
Esperança	ə s p ə ɾ 'a n s ə
Escrivia	ə s k ɾ i β 'i ə
Escamarlà	ə s k ə m ə r l 'a
Escalfar	ə s k ə l f 'a
Esborrant	ə z β u r 'a n
Esbalaïda	ə z β ə l ə 'i ð ə
Error	ə r 'o r
Enviant	ə m b i 'a n
Endreço	ə n d ɾ 'e s u
Emulació	ə m u l ə s i 'o
Electric	ə l ə k t ɾ 'i k
Elaboració	ə l ə β u ɾ ə s i 'o
Ela	'e l ə
EUA	'ɛ w ə
Dreamweaver	d ɾ e ə m b e ə β 'e
Doni	d 'o n i
Donar-li	d u n 'a r l i
Discuteixes	d i s k u t 'ɛ ʃ ə s
Directori	d i ɾ ə k t 'ɔ ɾ i
Diputats	d i p u t 'a t s
Dimissió	d i m i s i 'o
Dibuixava	d i β u ʃ 'a β ə
Desi	d 'e z i
Descobrim	d ə s k u β ɾ 'i m
Democràtica	d ə m u k ɾ 'a t i k ə
Democràcia	d ə m u k ɾ 'a s i ə
Deixem-ho	d ə ʃ 'ɛ m u
Dedicada	d ə ð i k 'a ð ə
Decideixo	d ə s i ð 'ɛ ʃ u
Dalt	d 'a l
Cultures	k u l t 'u ɾ ə s
Crivillé	k ɾ i β i ʎ 'e
Crits	k ɾ 'i t s
Cotons	k u t 'o n s
Corona	k u ɾ 'o n ə
Converteix	k u m b ə r t 'ɛ ʃ
Controlador	k u n t ɾ u l ə ð 'o
Contesta	k u n t 'e s t ə
Contenidors	k u n t ə n i ð 'o s
Consulta	k u n s 'u l t ə
Consorci	k u n s 'ɔ r s i
Conselleria	k u n s ə ʎ ə ɾ 'i ə
Conills	k u n 'i ʎ s
Coneixes	k u n 'ɛ ʃ ə s
Condueixi	k u n d u 'ɛ ʃ i
Compto	k 'o m t u
Compleixes	k u m p l 'ɛ ʃ ə s
Compatibilitat	k u m p ə t i β i l i t 'a t
Compareseria	k u m p ə ɾ ə z ə ɾ 'i ə
Comerç	k u m 'ɛ r s
Clota	k l 'ɔ t ə
Clariana	k l ə ɾ i 'a n ə
Cibeles	s i β 'ɛ l ə s
Chamonix	t ʃ ə m u n 'i k s
Central	s ə n t ɾ 'a l
Celta	s 'ɛ l t ə
Celestina	s ə l ə s t 'i n ə
Casualitat	k ə z u ə l i t 'a t
Castellet	k ə s t ə ʎ 'ɛ t
Cartes	k 'a r t ə s
Carretera	k ə r ə t 'e ɾ ə
Carrega	k ə r 'ɛ ɣ ə
Carlota	k ə r l 'ɔ t ə
Canyelles	k ə ɲ 'e ʎ ə s
Canal	k ə n 'a l
Camp	k 'a m
Camarón	k ə m ə ɾ 'o n
Calàbria	k ə l 'a β ɾ i ə
Callas	k 'a ʎ ə s
Calcular	k ə l k u l 'a
Cadascú	k ə ð ə s k 'u
COCO	k 'o k u
Bústia	b 'u s t i ə
Buscar	b u s k 'a
Buesa	b u 'ɛ z ə
Brindisi	b ɾ i n d 'i z i
Brilles	b ɾ 'i ʎ ə s
Blanca	b l 'a ŋ k ə
Blanc	b l 'a ŋ
Biel	b i 'ɛ l
Benet	b ə n 'ɛ t
Ben	b 'e n
Beirut	b ə j ɾ 'u t
Base	b 'a z ə
Barcelona	b ə r s ə l 'o n ə
Banca	b 'a ŋ k ə
Balcans	b ə l k 'a n s
Baixes	b 'a ʃ ə s
Avall	ə β 'a ʎ
Atocha	ə t 'ɔ t ʃ ə
Arturet	ə r t u ɾ 'ɛ t
Artur	ə r t 'u r
Aprofito	ə p ɾ u f 'i t u
Aprendrem	ə p ə n d ɾ 'ɛ m
Anàvem	ə n 'a β ə m
Anvers	ə m b 'ɛ r s
Anaven	ə n 'a β ə n
Amèrica	ə m 'ɛ ɾ i k ə
Amic	ə m 'i k
Alça	'a l s ə
Altura	ə l t 'u ɾ ə
Altres	'a l t ɾ ə s
Alternativa	ə l t ə r n ə t 'i β ə
Alsina	ə l s 'i n ə
Algún	ə l ɣ 'u n
Alfons	ə l f 'o n s
Alfils	ə l f 'i l s
Alfacs	ə l f 'a k s
Agnelli	ə g n 'e ʎ i
Agafava	ə ɣ ə f 'a β ə
Actual	ə k t u 'a l
Acostumo	ə k u s t 'u m u
Accessible	ə k s ə s 'i b b l ə
Acabem	ə k ə β 'ɛ m
big	b 'i t ʃ
fig	f 'i k
mig	m 'i t ʃ
uig	'u t ʃ
Baig	b 'a t ʃ
Caig	k 'a t ʃ
Deig	d 'ɛ t ʃ
Faig	f 'a t ʃ
Gaig	g 'a t ʃ
Goig	g 'ɔ t ʃ
Maig	m 'a t ʃ
Puig	p 'u t ʃ
Roig	r 'ɔ t ʃ
afig	ə f 'i t ʃ
amig	ə m 'i t ʃ
boig	b 'ɔ t ʃ
brig	b ɾ 'i t ʃ
duig	d 'u t ʃ
faig	f 'a t ʃ
frig	f ɾ 'i t ʃ
fuig	f 'u t ʃ
gaig	g 'a t ʃ
goig	g 'ɔ t ʃ
haig	'a t ʃ
maig	m 'a t ʃ
muig	m 'u t ʃ
peig	p 'ɛ t ʃ
puig	p 'u t ʃ
raig	r 'a t ʃ
reig	r 'ɛ t ʃ
roig	r 'ɔ t ʃ
saig	s 'a t ʃ
trig	t ɾ 'i t ʃ
vaig	b 'a t ʃ
veig	b 'ɛ t ʃ
àzig	a z i k
Aluig	ə l 'u t ʃ
Càlig	k 'a l i t ʃ
Molig	m u l 'i t ʃ 
Tírig	t 'i ɾ i t ʃ
abrig	ə β ɾ 'i k
aleig	ə l 'ɛ t ʃ
allig	ə ʎ 'i t ʃ
apuig	ə p 'u t ʃ
artig	ə r t 'i k
bolig	b u l 'i k
cueig	k u 'ɛ t ʃ
desig	d ə z 'i t ʃ
embig	ə m b 'i t ʃ
enfig	ə n f 'i k
enmig	ə n m 'i t ʃ
enuig	ə n 'u t ʃ
espig	ə s p 'i k
fatig	f ə t 'i k
fumig	f u m 'i k
fúlig	f 'u l i k
girig	ʒ i ɾ 'i t ʃ
graig	g ɾ 'a t ʃ
greig	g ɾ 'ɛ t ʃ
irrig	i r 'i t ʃ
levig	l ə β 'i t ʃ
litig	l i t 'i k
lleig	ʎ 'ɛ t ʃ
mitig	m i t 'i k
oblig	u β l 'i k
