A	'ə
filantròpica	f i l ə n t ɾ 'ɔ p i k ə
filantròpics	f i l ə n t ɾ 'ɔ p i k s
filantròpiques	f i l ə n t ɾ 'ɔ p i k ə s
filar	f i l 'a
filares	f i l 'a ɾ ə s
filat	f i l 'a t
filats	f i l 'a t s
filera	f i l 'e ɾ ə
filet	f i l 'ɛ t
filetejar	f i l ə t ə ʒ 'a
filferro	f i l f 'ɛ r u
fili	f 'i l i
filiada	f i l i 'a ð ə
filiades	f i l i 'a ð ə s
filial	f i l i 'a l
filiar	f i l i 'a
filiat	f i l i 'a t
filiats	f i l i 'a t s
Filip	f i l 'i p
filipí	f i l i p 'i
filipina	f i l i p 'i n ə
Filipines	f i l i p 'i n ə s
filipines	f i l i p 'i n ə s
filipins	f i l i p 'i n s
filisteu	f i l i s t 'ɛ w
fill	f 'i ʎ
filla	f 'i ʎ ə
fillastra	f i ʎ 'a s t ɾ ə
fillastre	f i ʎ 'a s t ɾ ə
fillet	f i ʎ 'ɛ t
fills	f 'i ʎ s
film	f 'i l m
filmació	f i l m ə s i 'o
filmada	f i l m 'a ð ə
filmades	f i l m 'a ð ə s
filmar	f i l m 'a
filmat	f i l m 'a t
filmats	f i l m 'a t s
fílmic	f 'i l m i k
filòleg	f i l 'ɔ l ə k
filologia	f i l u l u ʒ 'i ə
filològic	f i l u l 'ɔ ʒ i k
filològica	f i l u l 'ɔ ʒ i k ə
filològics	f i l u l 'ɔ ʒ i k s
filològiques	f i l u l 'ɔ ʒ i k ə s
filós	f i l 'o s
filòsof	f i l 'ɔ z u f
filosofia	f i l u z u f 'i ə
filosòfic	f i l u z 'ɔ f i k
filosòfica	f i l u z 'ɔ f i k ə
filosòfics	f i l u z 'ɔ f i k s
filosòfiques	f i l u z 'ɔ f i k ə s
filtració	f i l t ɾ ə s i 'o
filtracions	f i l t ɾ ə s i 'o n s
filtrada	f i l t ɾ 'a ð ə
filtrades	f i l t ɾ 'a ð ə s
filtrar	f i l t ɾ 'a
filtrat	f i l t ɾ 'a t
filtrats	f i l t ɾ 'a t s
filtre	f 'i l t ɾ ə
filtris	f 'i l t ɾ i s
fimbrar	f i m b ɾ 'a
fímbria	f 'i m b ɾ i ə
fina	f 'i n ə
final	f i n 'a l
finalista	f i n ə l 'i s t ə
finalització	f i n ə l i d z ə s i 'o
finalitzada	f i n ə l i d z 'a ð ə
finalitzades	f i n ə l i d z 'a ð ə s
finalitzar	f i n ə l i d z 'a
finalitzat	f i n ə l i d z 'a t
finalitzats	f i n ə l i d z 'a t s
finals	f i n 'a l s
finançada	f i n ə n s 'a ð ə
finançades	f i n ə n s 'a ð ə s
finançament	f i n ə n s ə m 'e n
finançar	f i n ə n s 'a
finançat	f i n ə n s 'a t
finançats	f i n ə n s 'a t s
financer	f i n ə n s 'e
financera	f i n ə n s 'e ɾ ə
financi	f i n 'a n s i
finar	f i n 'a
finca	f 'i ŋ k ə
fines	f 'i n ə s
finès	f i n 'ɛ s
finés	f i n 'e s
fineses	f i n 'ɛ z ə s
finesos	f i n 'ɛ z u s
finestra	f i n 'e s t ɾ ə
finestral	f i n ə s t ɾ 'a l
finestreta	f i n ə s t ɾ 'ɛ t ə
finestró	f i n ə s t ɾ 'o
fingir	f i n ʒ 'i
finida	f i n 'i ð ə
finides	f i n 'i ð ə s
finint	f i n 'i n
finir	f i n 'i
finirà	f i n i ɾ 'a
finiria	f i n i ɾ 'i ə
finit	f i n 'i t
finits	f i n 'i t s
finlandesa	f i n l ə n d 'ɛ z ə
finlandeses	f i n l ə n d 'ɛ z ə s
finlandesos	f i n l ə n d 'ɛ z u s
Finlàndia	f i n l 'a n d i ə
finor	f i n 'o
finques	f 'i ŋ k ə s
fins	f 'i n s
finta	f 'i n t ə
fio	f 'i u
fiquem	f i k 'ɛ m
fiques	f 'i k ə s
fira	f 'i ɾ ə
firmada	f i r m 'a ð ə
firmades	f i r m 'a ð ə s
firmament	f i r m ə m 'e n
firmar	f i r m 'a
firmat	f i r m 'a t
firmats	f i r m 'a t s
firmo	f 'i r m u
fisc	f 'i s k
fiscal	f i s k 'a l
fiscalia	f i s k ə l 'i ə
físic	f 'i z i k
física	f 'i z i k ə
fisiòleg	f i z i 'ɔ l ə k
fisiologia	f i z i u l u ʒ 'i ə
fisiològic	f i z i u l 'ɔ ʒ i k
fisiològica	f i z i u l 'ɔ ʒ i k ə
fisiològics	f i z i u l 'ɔ ʒ i k s
fisiològiques	f i z i u l 'ɔ ʒ i k ə s
fisonomia	f i z u n u m 'i ə
fissió	f i s i 'o
fit	f 'i t
fita	f 'i t ə
fitar	f i t 'a
fitat	f i t 'a t
fites	f 'i t ə s
fitó	f i t 'o
fitxa	f 'i t ʃ ə
fitxada	f i t ʃ 'a ð ə
fitxades	f i t ʃ 'a ð ə s
fitxar	f i t ʃ 'a
fitxat	f i t ʃ 'a t
fitxatge	f i t ʃ 'a d ʒ ə
fitxats	f i t ʃ 'a t s
fitxer	f i t ʃ 'e
fix	f 'i k s
fixa	f 'i k s ə
fixada	f i k s 'a ð ə
fixades	f i k s 'a ð ə s
fixar	f i k s 'a
fixares	f i k s 'a ɾ ə s
fixat	f i k s 'a t
fixats	f i k s 'a t s
fixi	f 'i k s i
flabiol	f l ə β i 'ɔ l
flac	f l 'a k
flaca	f l 'a k ə
flagell	f l ə ʒ 'e ʎ
flagrant	f l ə ɣ ɾ 'a n
flairada	f l ə j ɾ 'a ð ə
flairades	f l ə j ɾ 'a ð ə s
flairar	f l ə j ɾ 'a
flairat	f l ə j ɾ 'a t
flairats	f l ə j ɾ 'a t s
flaire	f l 'a j ɾ ə
flairós	f l ə j ɾ 'o s
flaix	f l 'a ʃ
flam	f l 'a m
flama	f l 'a m ə
flamant	f l ə m 'a n
flamarada	f l ə m ə ɾ 'a ð ə
flamenc	f l ə m 'ɛ ŋ
flamenca	f l ə m 'ɛ ŋ k ə
flamencs	f l ə m 'ɛ ŋ s
flanc	f l 'a ŋ
Flandes	f l 'a n d ə s
flanquejada	f l ə ŋ k ə ʒ 'a ð ə
flanquejades	f l ə ŋ k ə ʒ 'a ð ə s
flanquejar	f l ə ŋ k ə ʒ 'a
flanquejat	f l ə ŋ k ə ʒ 'a t
flanquejats	f l ə ŋ k ə ʒ 'a t s
flaó	f l ə 'o
flasc	f l 'a s k
flascó	f l ə s k 'o
flauta	f l 'a w t ə
flautí	f l ə w t 'i
flautista	f l ə w t 'i s t ə
flebitis	f l ə β 'i t i s
fleca	f l 'ɛ k ə
fleques	f l 'ɛ k ə s
flerovi	f l ə ɾ 'ɔ β i
fletxa	f l 'e t ʃ ə
fletxes	f l 'e t ʃ ə s
fleuma	f l 'ɛ w m ə
flexibilitat	f l ə k s i β i l i t 'a t
flexibilitzar	f l ə k s i β i l i d z 'a
flexible	f l ə k s 'i b b l ə
flexió	f l ə k s i 'o
flirt	f l 'i r t
flirtada	f l i r t 'a ð ə
flirtades	f l i r t 'a ð ə s
flirtar	f l i r t 'a
flirtat	f l i r t 'a t
flirtats	f l i r t 'a t s
flirtejada	f l i r t ə ʒ 'a ð ə
flirtejades	f l i r t ə ʒ 'a ð ə s
flirtejar	f l i r t ə ʒ 'a
flirtejat	f l i r t ə ʒ 'a t
flirtejats	f l i r t ə ʒ 'a t s
floc	f l 'ɔ k
flocs	f l 'ɔ k s
flonjo	f l 'ɔ n ʒ u
flor	f l 'ɔ
flora	f l 'ɔ ɾ ə
floració	f l u ɾ ə s i 'o
floral	f l u ɾ 'a l
floravia	f l u ɾ ə β 'i ə
Florència	f l u ɾ 'ɛ n s i ə
floret	f l u ɾ 'ɛ t
floreta	f l u ɾ 'ɛ t ə
florí	f l u ɾ 'i
florida	f l u ɾ 'i ð ə
florides	f l u ɾ 'i ð ə s
floridura	f l u ɾ i ð 'u ɾ ə
florir	f l u ɾ 'i
florista	f l u ɾ 'i s t ə
floristeria	f l u ɾ i s t ə ɾ 'i ə
florit	f l u ɾ 'i t
florits	f l u ɾ 'i t s
flors	f l 'ɔ s
flota	f l 'ɔ t ə
flotada	f l u t 'a ð ə
flotades	f l u t 'a ð ə s
flotar	f l u t 'a
flotat	f l u t 'a t
flotats	f l u t 'a t s
floten	f l 'ɔ t ə n
flotes	f l 'ɔ t ə s
floti	f l 'ɔ t i
flotilla	f l u t 'i ʎ ə
flotilles	f l u t 'i ʎ ə s
flotin	f l 'ɔ t i n
flotis	f l 'ɔ t i s
floto	f l 'ɔ t u
flotó	f l u t 'o
fluctuada	f l u k t u 'a ð ə
fluctuades	f l u k t u 'a ð ə s
fluctuant	f l u k t u 'a n
fluctuar	f l u k t u 'a
fluctuat	f l u k t u 'a t
fluctuats	f l u k t u 'a t s
fluid	f l 'u j t
fluïda	f l u 'i ð ə
fluïdes	f l u 'i ð ə s
fluídica	f l u 'i ð i k ə
fluir	f l u 'i
fluïres	f l u 'i ɾ ə s
fluït	f l u 'i t
fluïts	f l u 'i t s
fluix	f l 'u ʃ
fluixejar	f l u ʃ ə ʒ 'a
fluixesa	f l u ʃ 'ɛ z ə
fluor	f l u 'o
fluoració	f l u u ɾ ə s i 'o
fluorat	f l u u ɾ 'a t
fluorescència	f l u u ɾ ə s 'ɛ n s i ə
fluorescents	f l u u ɾ ə s 'e n s
fluorita	f l u u ɾ 'i t ə
fluorur	f l u u ɾ 'u r
fluvial	f l u β i 'a l
flux	f l 'u k s
fòbia	f 'ɔ β i ə
foc	f 'ɔ k
foca	f 'o k ə
focs	f 'ɔ k s
focus	f 'o k u s
foga	f 'ɔ ɣ ə
fogar	f u ɣ 'a
fogassa	f u ɣ 'a s ə
fogata	f u ɣ 'a t ə
fogo	f 'ɔ ɣ u
fogó	f u ɣ 'o
fogonejar	f u ɣ u n ə ʒ 'a
foguen	f 'ɔ ɣ ə n
foguera	f u ɣ 'e ɾ ə
fogues	f 'ɔ ɣ ə s
fogui	f 'ɔ ɣ i
foguin	f 'ɔ ɣ i n
foguis	f 'ɔ ɣ i s
foia	f 'ɔ j ə
Foix	f 'o ʃ
folc	f 'o l k
folgar	f u l ɣ 'a
folgat	f u l ɣ 'a t
folgo	f 'ɔ l ɣ u
folguen	f 'ɔ l ɣ ə n
folgues	f 'ɔ l ɣ ə s
folgui	f 'ɔ l ɣ i
folguin	f 'ɔ l ɣ i n
folguis	f 'ɔ l ɣ i s
folklore	f u l k l 'ɔ ɾ ə
foll	f 'o ʎ
folla	f 'o ʎ ə
follada	f u ʎ 'a ð ə
follades	f u ʎ 'a ð ə s
follar	f u ʎ 'a
follat	f u ʎ 'a t
follats	f u ʎ 'a t s
follen	f 'ɔ ʎ ə n
folles	f 'o ʎ ə s
follet	f u ʎ 'ɛ t
folli	f 'ɔ ʎ i
follia	f u ʎ 'i ə
follin	f 'ɔ ʎ i n
follis	f 'ɔ ʎ i s
follo	f 'ɔ ʎ u
folra	f 'ɔ l r ə
folrada	f u l r 'a ð ə
folrades	f u l r 'a ð ə s
folrar	f u l r 'a
folrat	f u l r 'a t
folrats	f u l r 'a t s
folre	f 'o l r ə
folren	f 'ɔ l r ə n
folres	f 'ɔ l r ə s
folro	f 'ɔ l r u
foment	f u m 'e n
fomentada	f u m ə n t 'a ð ə
fomentades	f u m ə n t 'a ð ə s
fomentador	f u m ə n t ə ð 'o
fomentat	f u m ə n t 'a t
fomentats	f u m ə n t 'a t s
fon	f 'o n
fonament	f u n ə m 'e n
fonamental	f u n ə m ə n t 'a l
fonamentalisme	f u n ə m ə n t ə l 'i z m ə
fonamentals	f u n ə m ə n t 'a l s
fonda	f 'o n d ə
fondària	f u n d 'a ɾ i ə
fondes	f 'o n d ə s
fondo	f 'o n d u
fondos	f 'o n d u s
fondran	f u n d ɾ 'a n
fondre	f 'o n d ɾ ə
fonema	f u n 'ɛ m ə
fonen	f 'ɔ n ə n
foner	f u n 'e
fonètic	f u n 'ɛ t i k
fonètica	f u n 'ɛ t i k ə
fonètics	f u n 'ɛ t i k s
fonètiques	f u n 'ɛ t i k ə s
fong	f 'o ŋ
fongs	f 'o ŋ s
fònic	f 'ɔ n i k
fònica	f 'ɔ n i k ə
fònics	f 'ɔ n i k s
fòniques	f 'ɔ n i k ə s
fonògraf	f u n 'ɔ ɣ ɾ ə f
fonògrafs	f u n 'ɔ ɣ ɾ ə f s
fonòleg	f u n 'ɔ l ə k
fonoll	f u n 'o ʎ
fonollada	f u n u ʎ 'a ð ə
fonollassa	f u n u ʎ 'a s ə
fonologia	f u n u l u ʒ 'i ə
fonològic	f u n u l 'ɔ ʒ i k
fonològica	f u n u l 'ɔ ʒ i k ə
fonològics	f u n u l 'ɔ ʒ i k s
fonològiques	f u n u l 'ɔ ʒ i k ə s
fonòmetre	f u n 'ɔ m ə t ɾ ə
fonòmetres	f u n 'ɔ m ə t ɾ ə s
fons	f 'o n s
font	f 'ɔ n
foques	f 'o k ə s
for	f 'o
fora	f 'ɔ ɾ ə
fóra	f 'o ɾ ə
forada	f u ɾ 'a ð ə
foradada	f u ɾ ə ð 'a ð ə
foradades	f u ɾ ə ð 'a ð ə s
foradar	f u ɾ ə ð 'a
foradat	f u ɾ ə ð 'a t
foradats	f u ɾ ə ð 'a t s
foragitada	f u ɾ ə ʒ i t 'a ð ə
foragitades	f u ɾ ə ʒ i t 'a ð ə s
foragitar	f u ɾ ə ʒ i t 'a
foragitat	f u ɾ ə ʒ i t 'a t
foragitats	f u ɾ ə ʒ i t 'a t s
foral	f u ɾ 'a l
forassenyat	f u ɾ ə s ə ɲ 'a t
foraster	f u ɾ ə s t 'e
forat	f u ɾ 'a t
forc	f 'o r k
forca	f 'o r k ə
força	f 'ɔ r s ə
forçà	f u r s 'a
forçada	f u r s 'a ð ə
forçades	f u r s 'a ð ə s
forcadura	f u r k ə ð 'u ɾ ə
forcar	f u r k 'a
forçar	f u r s 'a
forçarà	f u r s ə ɾ 'a
forçaràs	f u r s ə ɾ 'a s
forçares	f u r s 'a ɾ ə s
forçaria	f u r s ə ɾ 'i ə
forcat	f u r k 'a t
forçat	f u r s 'a t
forçats	f u r s 'a t s
forçava	f u r s 'a β ə
forcen	f 'ɔ r s ə n
forces	f 'ɔ r s ə s
forci	f 'ɔ r s i
forcin	f 'ɔ r s i n
forcis	f 'ɔ r s i s
forco	f 'ɔ r k u
forcó	f u r k 'o
forço	f 'ɔ r s u
forçós	f u r s 'o s
forçosa	f u r s 'o z ə
foren	f 'o ɾ ə n
fores	f 'o ɾ ə s
forfet	f u r f 'ɛ t
forgen	f 'ɔ r ʒ ə n
forges	f 'ɔ r ʒ ə s
forgi	f 'ɔ r ʒ i
forgin	f 'ɔ r ʒ i n
forgis	f 'ɔ r ʒ i s
forja	f 'ɔ r ʒ ə
forjada	f u r ʒ 'a ð ə
forjades	f u r ʒ 'a ð ə s
forjar	f u r ʒ 'a
forjat	f u r ʒ 'a t
forjats	f u r ʒ 'a t s
forjo	f 'ɔ r ʒ u
forma	f 'o r m ə
formació	f u r m ə s i 'o
formada	f u r m 'a ð ə
formades	f u r m 'a ð ə s
formal	f u r m 'a l
formalització	f u r m ə l i d z ə s i 'o
formar	f u r m 'a
format	f u r m 'a t
formatge	f u r m 'a d ʒ ə
formatgeria	f u r m ə d ʒ ə ɾ 'i ə
formatget	f u r m ə d ʒ 'ɛ t
formatiu	f u r m ə t 'i w
formatius	f u r m ə t 'i w s
formativa	f u r m ə t 'i β ə
formatives	f u r m ə t 'i β ə s
formats	f u r m 'a t s
formen	f 'o r m ə n
formes	f 'o r m ə s
formi	f 'o r m i
formidable	f u r m i ð 'a b b l ə
formiga	f u r m 'i ɣ ə
formigó	f u r m i ɣ 'o
formigueig	f u r m i ɣ 'ɛ t ʃ
formiguer	f u r m i ɣ 'e
formin	f 'o r m i n
formis	f 'ɔ r m i s
formo	f 'o r m u
formula	f u r m 'u l ə
fórmula	f 'o r m u l ə
formulació	f u r m u l ə s i 'o
formulada	f u r m u l 'a ð ə
formulades	f u r m u l 'a ð ə s
formular	f u r m u l 'a
formulares	f u r m u l 'a ɾ ə s
formulat	f u r m u l 'a t
formulats	f u r m u l 'a t s
forn	f 'o r n
fornada	f u r n 'a ð ə
fornal	f u r n 'a l
fornejada	f u r n ə ʒ 'a ð ə
fornejades	f u r n ə ʒ 'a ð ə s
fornejar	f u r n ə ʒ 'a
fornejat	f u r n ə ʒ 'a t
fornejats	f u r n ə ʒ 'a t s
Fornells	f u r n 'e ʎ s
fornica	f u r n 'i k ə
fornicació	f u r n i k ə s i 'o
fornicada	f u r n i k 'a ð ə
fornicades	f u r n i k 'a ð ə s
fornicar	f u r n i k 'a
fornicarem	f u r n i k ə ɾ 'ɛ m
fornicares	f u r n i k 'a ɾ ə s
fornicaria	f u r n i k ə ɾ 'i ə
fornicat	f u r n i k 'a t
fornicats	f u r n i k 'a t s
fornicava	f u r n i k 'a β ə
fornico	f u r n 'i k u
fornícula	f u r n 'i k u l ə
fornida	f u r n 'i ð ə
fornides	f u r n 'i ð ə s
forniquem	f u r n i k 'ɛ m
forniques	f u r n 'i k ə s
fornir	f u r n 'i
fornit	f u r n 'i t
fornits	f u r n 'i t s
forquen	f 'ɔ r k ə n
forques	f 'o r k ə s
forqueta	f u r k 'ɛ t ə
forqui	f 'ɔ r k i
forquilla	f u r k 'i ʎ ə
forquin	f 'ɔ r k i n
forquis	f 'ɔ r k i s
forrellat	f u r ə ʎ 'a t
forroll	f u r 'o ʎ
fort	f 'ɔ r t
forta	f 'ɔ r t ə
fortalesa	f u r t ə l 'ɛ z ə
fortes	f 'ɔ r t ə s
fortificada	f u r t i f i k 'a ð ə
fortificades	f u r t i f i k 'a ð ə s
fortificar	f u r t i f i k 'a
fortificat	f u r t i f i k 'a t
fortificats	f u r t i f i k 'a t s
fortor	f u r t 'o
fortuït	f u r t u 'i t
fortuna	f u r t 'u n ə
fortunes	f u r t 'u n ə s
fòrum	f 'ɔ ɾ u m
fos	f 'o s
fosa	f 'o z ə
fosc	f 'o s k
fosca	f 'o s k ə
foscor	f u s k 'o
foscos	f 'o s k u s
foscúria	f u s k 'u ɾ i ə
foses	f 'o z ə s
fosfat	f u s f 'a t
fosfata	f u s f 'a t ə
fosfatar	f u s f ə t 'a
fosfati	f u s f 'a t i
fosfato	f u s f 'a t u
fosfazè	f u s f ə z 'ɛ
fosfè	f u s f 'ɛ
fòsfor	f 'ɔ s f u r
fosfur	f u s f 'u r
fosques	f 'o s k ə s
fossat	f u s 'a t
fòssil	f 'ɔ s i l
fossilització	f u s i l i d z ə s i 'o
fossilitzacions	f u s i l i d z ə s i 'o n s
fossilitzar	f u s i l i d z 'a
fossin	f 'o s i n
fossis	f 'o s i s
foten	f 'o t ə n
fotesa	f u t 'ɛ z ə
fotgen	f 'ɔ d ʒ ə n
fotges	f 'ɔ d ʒ ə s
fotgi	f 'ɔ d ʒ i
fotgin	f 'ɔ d ʒ i n
fotgis	f 'ɔ d ʒ i s
foti	f 'o t i
fotim	f u t 'i m
fotin	f 'o t i n
fotis	f 'o t i s
fotjar	f u d ʒ 'a
fotjo	f 'ɔ d ʒ u
foto	f 'o t u
fotó	f u t 'o
fotocòpia	f u t u k 'ɔ p i ə
fotocopiada	f u t u k u p i 'a ð ə
fotocopiades	f u t u k u p i 'a ð ə s
fotocopiar	f u t u k u p i 'a
fotocopiares	f u t u k u p i 'a ɾ ə s
fotocopiat	f u t u k u p i 'a t
fotocopiats	f u t u k u p i 'a t s
fotogènia	f u t u ʒ 'ɛ n i ə
fotogènic	f u t u ʒ 'ɛ n i k
fotogènica	f u t u ʒ 'ɛ n i k ə
fotogènics	f u t u ʒ 'ɛ n i k s
fotogèniques	f u t u ʒ 'ɛ n i k ə s
fotògraf	f u t 'ɔ ɣ ɾ ə f
fotògrafa	f u t 'ɔ ɣ ɾ ə f ə
fotografia	f u t u ɣ ɾ ə f 'i ə
fotografiable	f u t u ɣ ɾ ə f i 'a b b l ə
fotografiada	f u t u ɣ ɾ ə f i 'a ð ə
fotografiades	f u t u ɣ ɾ ə f i 'a ð ə s
fotografiar	f u t u ɣ ɾ ə f i 'a
fotografiat	f u t u ɣ ɾ ə f i 'a t
fotografiats	f u t u ɣ ɾ ə f i 'a t s
fotogràfic	f u t u ɣ ɾ 'a f i k
fotogràfica	f u t u ɣ ɾ 'a f i k ə
fotogràfics	f u t u ɣ ɾ 'a f i k s
fotogràfiques	f u t u ɣ ɾ 'a f i k ə s
fotograma	f u t u ɣ ɾ 'a m ə
fotogrametria	f u t u ɣ ɾ ə m ə t ɾ 'i ə
fotogravada	f u t u ɣ ɾ ə β 'a ð ə
fotogravades	f u t u ɣ ɾ ə β 'a ð ə s
fotogravar	f u t u ɣ ɾ ə β 'a
fotogravat	f u t u ɣ ɾ ə β 'a t
fotogravats	f u t u ɣ ɾ ə β 'a t s
fotòmetre	f u t 'ɔ m ə t ɾ ə
fotos	f 'o t u s
fotosintètica	f u t u z i n t 'ɛ t i k ə
fotovoltaic	f u t u β u l t 'a j k
fotovoltaica	f u t u β u l t 'a j k ə
fotovoltaics	f u t u β u l t 'a j k s
fotovoltaiques	f u t u β u l t 'a j k ə s
fotral	f u t ɾ 'a l
fotran	f u t ɾ 'a n
fotre	f 'o t ɾ ə
fotuda	f u t 'u ð ə
fotudes	f u t 'u ð ə s
fotut	f u t 'u t
fotuts	f u t 'u t s
fou	f 'o w
fracàs	f ɾ ə k 'a s
fracassada	f ɾ ə k ə s 'a ð ə
fracassades	f ɾ ə k ə s 'a ð ə s
fracassar	f ɾ ə k ə s 'a
fracassat	f ɾ ə k ə s 'a t
fracassats	f ɾ ə k ə s 'a t s
fracció	f ɾ ə k s i 'o
fractal	f ɾ ə k t 'a l
fractura	f ɾ ə k t 'u ɾ ə
fracturada	f ɾ ə k t u ɾ 'a ð ə
fracturades	f ɾ ə k t u ɾ 'a ð ə s
fracturar	f ɾ ə k t u ɾ 'a
fracturat	f ɾ ə k t u ɾ 'a t
fracturats	f ɾ ə k t u ɾ 'a t s
Fraga	f ɾ 'a ɣ ə
fragància	f ɾ ə ɣ 'a n s i ə
fragant	f ɾ ə ɣ 'a n
fragassa	f ɾ ə ɣ 'a s ə
fragata	f ɾ ə ɣ 'a t ə
fragatí	f ɾ ə ɣ ə t 'i
fràgil	f ɾ 'a ʒ i l
fragilitat	f ɾ ə ʒ i l i t 'a t
franc	f ɾ 'a ŋ
franca	f ɾ 'a ŋ k ə
França	f ɾ 'a n s ə
francès	f ɾ ə n s 'ɛ s
francés	f ɾ ə n s 'e s
francesa	f ɾ ə n s 'ɛ z ə
Francesc	f ɾ ə n s 'ɛ s k
Francesca	f ɾ ə n s 'ɛ s k ə
franceses	f ɾ ə n s 'ɛ z ə s
francesos	f ɾ ə n s 'ɛ z u s
franci	f ɾ 'a n s i
fràncic	f ɾ 'a n s i k
franciscà	f ɾ ə n s i s k 'a
franciscana	f ɾ ə n s i s k 'a n ə
franciscanes	f ɾ ə n s i s k 'a n ə s
franciscans	f ɾ ə n s i s k 'a n s
francmaçó	f ɾ ə ŋ m ə s 'o
francmaçònic	f ɾ ə ŋ m ə s 'ɔ n i k
francòfil	f ɾ ə ŋ k 'ɔ f i l
francòfon	f ɾ ə ŋ k 'ɔ f u n
francòfona	f ɾ ə ŋ k 'ɔ f u n ə
francòfones	f ɾ ə ŋ k 'ɔ f u n ə s
francofonia	f ɾ ə ŋ k u f u n 'i ə
francòfons	f ɾ ə ŋ k 'ɔ f u n s
Francònia	f ɾ ə ŋ k 'ɔ n i ə
francs	f ɾ 'a ŋ s
franctirador	f ɾ ə ŋ t i ɾ ə ð 'o
frangible	f ɾ ə n ʒ 'i b b l ə
franja	f ɾ 'a n ʒ ə
frankfurt	f ɾ ə ŋ k f 'u r t
franquejable	f ɾ ə ŋ k ə ʒ 'a b b l ə
franquejar	f ɾ ə ŋ k ə ʒ 'a
franques	f ɾ 'a ŋ k ə s
franquesa	f ɾ ə ŋ k 'ɛ z ə
franquet	f ɾ ə ŋ k 'ɛ t
franquícia	f ɾ ə ŋ k 'i s i ə
franquisme	f ɾ ə ŋ k 'i z m ə
frare	f ɾ 'a ɾ ə
fraret	f ɾ ə ɾ 'ɛ t
frase	f ɾ 'a z ə
frasejar	f ɾ ə z ə ʒ 'a
fratern	f ɾ ə t 'ɛ r n
fraterna	f ɾ ə t 'ɛ r n ə
fraternes	f ɾ ə t 'ɛ r n ə s
fraternitat	f ɾ ə t ə r n i t 'a t
fraternitzada	f ɾ ə t ə r n i d z 'a ð ə
fraternitzades	f ɾ ə t ə r n i d z 'a ð ə s
fraternitzar	f ɾ ə t ə r n i d z 'a
fraternitzat	f ɾ ə t ə r n i d z 'a t
fraternitzats	f ɾ ə t ə r n i d z 'a t s
fraterns	f ɾ ə t 'ɛ r n s
frau	f ɾ 'a w
fraula	f ɾ 'a w l ə
fre	f ɾ 'ɛ
frec	f ɾ 'ɛ k
frecs	f ɾ 'ɛ k s
fred	f ɾ 'ɛ t
freda	f ɾ 'ɛ ð ə
fredejada	f ɾ ə ð ə ʒ 'a ð ə
fredejades	f ɾ ə ð ə ʒ 'a ð ə s
fredejar	f ɾ ə ð ə ʒ 'a
fredejat	f ɾ ə ð ə ʒ 'a t
fredejats	f ɾ ə ð ə ʒ 'a t s
fredeluc	f ɾ ə ð ə l 'u k
fredeluca	f ɾ ə ð ə l 'u k ə
fredeluga	f ɾ ə ð ə l 'u ɣ ə
Frederic	f ɾ ə ð ə ɾ 'i k
fredes	f ɾ 'ɛ ð ə s
fredolic	f ɾ ə ð u l 'i k
fredor	f ɾ ə ð 'o
freds	f ɾ 'ɛ t s
frega	f ɾ 'ɛ ɣ ə
fregada	f ɾ ə ɣ 'a ð ə
fregades	f ɾ ə ɣ 'a ð ə s
fregador	f ɾ ə ɣ ə ð 'o
fregall	f ɾ ə ɣ 'a ʎ
fregant	f ɾ ə ɣ 'a n
fregapeus	f ɾ ə ɣ ə p 'ɛ w s
fregar	f ɾ ə ɣ 'a
fregat	f ɾ ə ɣ 'a t
fregata	f ɾ ə ɣ 'a t ə
fregats	f ɾ ə ɣ 'a t s
fregida	f ɾ ə ʒ 'i ð ə
fregides	f ɾ ə ʒ 'i ð ə s
fregir	f ɾ ə ʒ 'i
fregit	f ɾ ə ʒ 'i t
fregits	f ɾ ə ʒ 'i t s
frego	f ɾ 'ɛ ɣ u
freguen	f ɾ 'ɛ ɣ ə n
fregues	f ɾ 'ɛ ɣ ə s
fregui	f ɾ 'ɛ ɣ i
freguin	f ɾ 'ɛ ɣ i n
freguis	f ɾ 'ɛ ɣ i s
freixura	f ɾ ə ʃ 'u ɾ ə
Frejús	f ɾ ə ʒ 'u s
frena	f ɾ 'ɛ n ə
frenada	f ɾ ə n 'a ð ə
frenades	f ɾ ə n 'a ð ə s
frenar	f ɾ ə n 'a
frenat	f ɾ ə n 'a t
frenats	f ɾ ə n 'a t s
frenen	f ɾ 'ɛ n ə n
frenes	f ɾ 'ɛ n ə s
frenètic	f ɾ ə n 'ɛ t i k
frenètica	f ɾ ə n 'ɛ t i k ə
frenètics	f ɾ ə n 'ɛ t i k s
frenètiques	f ɾ ə n 'ɛ t i k ə s
freni	f ɾ 'ɛ n i
frènic	f ɾ 'ɛ n i k
frènica	f ɾ 'ɛ n i k ə
frènics	f ɾ 'ɛ n i k s
frenin	f ɾ 'ɛ n i n
frèniques	f ɾ 'ɛ n i k ə s
frenis	f ɾ 'ɛ n i s
freno	f ɾ 'ɛ n u
frens	f ɾ 'ɛ n s
freqüència	f ɾ ə k w 'ɛ n s i ə
freqüentar	f ɾ ə k w ə n t 'a
freqüentment	f ɾ ə k w ə m m 'e n
fres	f ɾ 'ɛ s
fresa	f ɾ 'ɛ z ə
fresar	f ɾ ə z 'a
fresc	f ɾ 'ɛ s k
fresca	f ɾ 'ɛ s k ə
frescor	f ɾ ə s k 'o
